rating,review
bad,Best job. WORST “Manager.” This “Operation” is a complete joke! I think the Colorado labor department would be interested in management’s dealings when it comes to forcing employees to take breaks to save the operation money.
bad,You will be terminated with no excuses if you use tech time that is allowed per their guidelines. You will be suspended for 30 days or more then will be terminated without any reasons! Do yourself and your family and stay away from jetblue and go to southwest instead!
bad,Poor Management and lack of commitment to their values.  All work groups are going union because of the poor management.  Small airline who is forgetting where they are coming from and trying to compete with the big boys.  Don't see a great future with the company
bad,"The worst job ever, they will fired people every 5 years so you dont qualify for benefits. That's why they hire almost every month. You don't see southwest hiring people every month or Delta. Answer that question!!!!"
bad,"During my interview I mentioned numerous times that I would be unable to travel daily, was told that that would not be an issue and that the company was flexible.  The first time I worked from home, I was told I was not allowed to.."
bad,"Two primary motivation factors for working at JetBlue: Flight benefits and opportunity to work from home."
bad,"The atmosphere of the leadership culture brings down the employees' morale. It's very low and almost complete lack of integrity from leaders including upper management making the place ""every day its  your last day"" ( no job security ) the push your buttons and consequently you work risking your life with the hazardous environment working in the ramp which the employee suppose to have all attention to avoid accidents. In short, there is not care for the employees because the employees reflect it working without passion. I regret to spend 5 years of my life working in such an unpleasant company. It's very sad that there are still employees that Jet Blue was or is the best company they ever worked for and don't realize because either they are too young, need the really bad, or are newcomers from the Caribbean and poor countries without means to know better"
bad,Dispuesta a trabajar con presión y armonia.  Seria un placer trabajar para esta distinguida empresa.  Reconozco que el ambiente  y servirle al publico siempre me tendrá a tida disposición.
bad,"Discrimination...Discrimination...Discrimination...Discrimination...Discrimination... "
bad,"I am a professional with a Master's Degree.  After many years of working my field, I decided for what I thought would be a relax, enjoyable field.  I knew the hours would be bad but never expected them to be so terrible that 3 days can go by without seeing my family more than 5 minutes.  The constant herrasment over every second is so stressful that you prefer to not eat all day so you dont have to go to the bathroom and get a flag.  Supervisors are terrible to approach. You know your calls are constantly monitored so you work in fear on, by experience, getting a pop-up on your screen from a supervisor, while you are with a customer on the phone, you tell you what you are doing wrong, during the call; you know after that the call will only get worse.  Yes, you fly free standby, but when?  Pay is third world country pay, specially for all the demand from you.  Rather go back to my field that deal with a company that only thinks about their pockets."
bad,I would not recommend this company to anyone.  I have worked in customer service for many years including 4 at Southwest Airlines.  This company was abusive and the pay was awful.  The flight benefits were not worth working there for.  The system for customer service agents was slow and made customers extremely angry.  There were many problems that could not be solved and escalating calls did not help.  I have never been so frustrated and sad with a company before.  They want it to be cool and fun and like Southwest but they took advantage of employees by offering the not great flight benefits and working from home which was a nightmare. I always felt I was taking on the customers wrath on my own everyday.  I really hope Jetblue can figure it out because it was the worst year and a half of my life.
bad,Everyone is pretty much children of 2nd grade. Your just another number with Jetblue they dont care to much of your personal issue. Only time they do is if your kissing one of the management rear end. Plain and simple if you can go to ANY OTHER AIRLINES DO IT! Least to say that Spirit airlines has a better staff then Jetblue!
bad,Don't go to work here.  They will butter you up and tell you that the culture is amazing and look at all the things you can do.  I bought into it.  After 8 years of loyalty I was let go.  Management is terrible.  They will turn on you very quickly.  Pay is terrible.  Do yourself a favor and find somewhere else to work.  JetBlue is minor league.
bad,Overworked never any raises and contract was suspended. Laid off over 500 employees. learned in class room for 3 months to be laid off 3 months later.
bad,"Perhaps if they stopped firing flight attendants they wouldn't be looking to hire them all the time.  Folks beware, if you get hired, do not trust management.  No matter what they say, they are not on your side.  They have many fine respectable human beings that they get rid of on a daily basis. I questioned this, I was told there was a good reason for each of them.  Practice the integrity you preach!  A union is definitely necessary to protect the flight attendants."
bad,"I work here and am seeking another job because I love Savannah,Ga. The Management is terrible! They have no skills! They allow their employees to talk down to each other and disrespect one another. You can contact Jet Blue corporate, They will pretend like they care. They will come in and do nothing. If you want a job that works you all hours, bad pay, work with a management team that is ignorant and allows their employees to disrespect each other, you will never be able to use your flight benefits because of the way they schedule you! If you go to their training you are threatened through out the whole time that they are going to fire you. Mean while you study yourself till your sick and starve. They feed you a dry one sliced meat sandwich on a hard roll that you can not even chew! and they give you a 35 cent bag of chips plan on living on that and whatever cheap free breakfast they have at the hotel if you even have time to eat it cause you will be studying so much for fear you will be fired! Save your time this is NO PLACE TO WORK!"
bad,"jetBlue sells itself as a fun place to work but nothing could be further from the truth. The job is difficult, the workforce is fragmented and the compensation is next to nothing. Management was very inept and consiquently the workforce was very ineffective. Promised pledges of cross-training for other positions w/in the company were almost never realized."
bad,"Great place to work if your looking for a fast pace working environment. "
bad,Its all about favoritism with this company. The work is non stop and not worth the pay or benefits. It was a big disappointment working for this company.
bad,"There is to many “chiefs”. Everybody wants to micromanage everyone and everything. If you’re not favored or one of the supervisors/managers has an issue with you, they will seek to find things that can get you terminated from the company. They lack consideration for employees and their slogan of instilling humanity on the ground and in the air only Apply’s to customers. The benefits of flying are literally the only plus to the job."
bad,"JetBlue will try to get you to leave or buy you out long before retirement. Human resources are a bunch of idiots and lie constantly.  They rarely treat employees like their own core values they preach. Total mismanagement at corporate. Dont plan on making JetBlue a career and do not believe what they say about long term employment. JetBlue is in a dive and their tail is on fire, dont be surprised if they sell out to the big carriers."
bad,Ok company. Completely biased in career advancement. Zero opportunity for professional growth unless you know someone. Management has no idea what its underdogs go through on a daily basis.
bad,"Benefits:"
bad,Very good work place with supporting managers. Very comfortable office timings. Giving more chance to learn new things.
bad,"The management is horrible. There is no union so they can fire you for any little thing. The manager will tell you one thing, the supervisor will tell you another and then you have to figure it out on your own. A lot of the times when I was working there, when there was bad weather and flights would be delayed for more than 2 hours, supervisors never could be found and the people wanted to speak with a supervisor. Part time is great because you can take more advantage of the flying. The pay isn't great to live on your own but if you want to travel, have at it."
bad,"I've had many customer service jobs and JetBlue was one of the worst. Advancement is solely based on who you are friends with rather than on performance. They constantly change expectations. For example if you ""make the customer happy"" then you get in trouble for giving too many credits/refunds, if you cut back on credits/refunds then you get in trouble for not making the customer happy. They provide vague directions, refuse to provide direction in writing, then write up who they don't like (on a personal level) for following the instructions given. They set you up to fail."
bad,All of your managers and the GM are all back stabbers.  They act like your friend and then say you do things that get you in trouble.  The fellow crew members are just as bad. Very strict on the dress code.  Does not let you be yourself.  Horrible company in Denver to work for.
bad,"If the Base Managers in JFK cared about their Supervisor's and their Inflight Crewmembers the company would benefit in so many positive ways. Sending Base Managers from MCO to JFK is such a mistake in use of power by upper Management, with negative results on moral. There is no caring value whatsoever from the Base Managers in JFK. A Crewmember would be separated for a reason and another Crewmember would stay employed for that same reason under the current Base Management. Supervisor's work so hard and put in so many hours and are treated terribly by the Base Managers. The CEO needs to take a look at who is awarded these high up management positions and how these managers operate their Bases and hopefully said CEO can make change for the better in the future."
bad,"They are excellent to their customers but suck as a company. They have a very high turn over rate as far as the Boston station goes. When I left If you didn't sleep w upper management or suck up, your not going to get an advancement. "
bad,Certain people get away with many things others get punished. They talk about guests behind their backs and treat employees badly constantly telling them how they can replaced
bad,jetblue used to be a place where you would enjoy working. years passed and no supervisor or management would respect you. i been in that company for 9 yrs and seniority doesn't mean nothing. lots pf favoritism and very poor management. you will stay with a final pay rate. HORRIBLE. the only thing good about working for jetblue is the flexibility .. thats it
bad,If you’re okay with making 1200$ a month then this airline will work for you. If not seek out a legacy airline or be willing to work a second job if you can find one that will fit in with the schedule
bad,"SLC center has terrible management. Would not recommend. Nearly impossible to promote and they don't recognize talent when they see it. if you have a college degree, you will be discriminated against b/c managers don't have degrees and they are threatened by you."
bad,"The hours often changed.  We had to shift bid every 4 months."
bad,"I started at JetBlue as a pilot, in the first year of their existence. They have a record of low-pay and poor benefits, which has led to an atmosphere of bad employee morale."
bad,JetBlue states they are focused on employee relations and culture however their employment model is designed to wash through employees and have a 5 year or less longevity. JetBlue has no desire to have highly compensated long term employees. They have disparity in the way they treat employees depending on how you are favored among managers.
bad,"The problem working with Jet Blue is their management, and the decisions they make that impact not only the work environment but your life. Their management is a group of kids that have no experience whatsoever yet they get those positions because they either kiss up or personally know someone higher up. their pay is the lowest in the airline industry, and they are not unionized which is another problem. They can do whatever they want with you and you have no say whatsoever."
bad,"Jetblue really needs to take care of there employees as much as they try to take care of their customers."
bad,Start very early and work very late. very stressful job. Got to do multi tasking. Get beat up by the passengers verbally. getting to travel on other airlines is the benefit
bad,"The company used to be what every airline should model after, but after they began to grow, they turned into every other airline. You get free flight benefits, but the pay and hours are awful. There ins't room for advancement here in Denver. You would have to relocate to NYC if you can figure out how to survive on $12 an hour in Queens."
bad,"The manager of web services team does not know what he wants or, how he wants to grow his team. His lack of experience fails him to have a clear roadmap of what he wants for his team's advancement. The worst part being that the office does not have enough seats. The web services team manager has 60:40 ratio when it comes to having dedicated seats for its resources. Many resources are compelled to work remotely becos there is not enough seat within the office."
bad,Management and supervisors always writing you up so as to terminate you.  They don’t want long term employees and are trying to not meet with the union reps on any topic. Unfair work rules and long exhausting days.
bad,"This is by far one of the worst companies to ever be employed by. Do not waste your time or sanity. The company as a whole is OK and I say that loosely. However, local managers are terrible and walk around trying to make their subordinates afraid of them"
bad,"Stocking/Rec/Picking & packing of airplane parts,answering phones. i learned how much goes into the upkeep of a airline."
bad,If you want a job or a paycheck work here. It is boring and you can stay in the same position for years. Unless you are one of the good old boys. Then the opportunities are unlimited.
bad,"My typical day consisted of duties including assisting crewmembers, no clear cut rules,  the rules are unclear and vary by employee.The values are not taken into consideration. Everyone is treated differently. No consistent leadership."
bad,"Most of the issues JetBlue has is a result of leadership overstepping authority and making poverty wages the first few years. Crewmembers would be so much happier if they had leaders who cared instead of writing everyone up all of the time and made enough money to where they did not have to live with 20 other people in the bases, life would be a lot better for everyone."
bad,"JetBlue likes to tout how forward thinking they are. How they are titans of the industry and the first to do things. How disappointing it must be to do it first but execute it so poorly. Sharply functioning websites and on-time performance shouldn't be a privilege. The last three months at JetBlue were horrendous. Website errors, software/program issues, data not correctly populating and my personal favorite - LATE NIGHT/EARLY AM phone calls (yes, plural) asking for OT. System issues are abound and replicate daily. BUT wait, here's some pics and a video of our NEO aircraft. "
bad,"The airline promises allot. I worked for the airline for six years. I was an early favorite. You have a wealth of opportunity if you are the right tone,gender and orientation. "
bad,"Jetblue Doesn't have a union. They used to be a company that puts the employees first, now they put the shareholders above all. They will work their employees to the brink of exhaustion and demand you work even harder. They used to live their values but not anymore."
bad,"In order to work here you must be a robot. Never get sick, never expect to take time off to enjoy your benefits,  and don't expect support from your leader."
