rating,review
bad,"If you make a mistake you will get sacked even though they break so many laws they will make you go out over loaded and come back the same, the supervisor is polish and treats the drivers with disrespect ! You really dont wanna work there trust me you will regret it!"
bad,The other employees where very deceitful and the training was the training was horrific ! and the people would put blame on someone that was training !  I did not feel at home what;s so ever !
bad,Everyone thinks they have a higher power.  Returning back to a job where my health isn't important to them. Account Managers are smh who to call on about my company ?
bad,They are a nepotism company so unless you have family that works there it is very difficult to get hired on permanently.  Yes management shows favoritism and picks and chooses who they in force rules and policies on if you’re a favorite you can get away with anything
bad,"Chefs très arrogants, qui ont leurs préférences, peu importe le rendement de l'employé. Traité comme un pion. Le seul point positif que je retiens est la sympathie des collègues."
bad,Being related and knowing someone important will get you farther at this location. It doesn’t matter about what you know. The challenges will be felt during training. Also when the lies about how great things are.
bad,heard it was like a cult before joining...can't disagree after working there. so disappointed in the amount of power veterans have there despite being morally and ethically corrupt.
bad,Don't join this company if you get a role here in Production/Processing. One of the most dysfunctional supervisors and managers you find here. Beware if you are working in midnight shifts because the supervisor in that shift is a very shady and a con-man. Micromanaging is at its best and rate of hiring/firing is very cyclical. Not recommended at all for long term career here.
bad,supervisors and management think they are better then you wont listen when you have a problem but quick to jump on you when something goes wrong wouldnt wish this on my worst enemy
bad,they have fake people working there and just accuse innocent people..when time comes i will have to tell the truth if the time is not favor of me..thanks
bad,"The company goes through so much reorg you cant grow your career here. East Coast vs West Coast,  he said she said, always traveling and always in meetings and then spending after hours going through email. No thanks to travel."
bad,"Doc Control department is run by man eating sharks. They sabotage any employee they do not ""like"". This makes the sharks look smarter!!! "
bad,"The management doest treat people right. At times you feel like a kind beaing told off by the teachers. Like in many big warehouses, working people are nothing and the management feels like gods."
bad,"This is the kind of job you want to work at if you require no supervision, no sleep, no sanity, and no living wage. Expect 10-12 hour days with no communication from your team members, no support on tickets, no context on submitted issues. Also, expect the clients to not respond to emails, phone calls or anything. Along with this, your clients are almost always either 2 blocks away from you and never in the office, or in another part of the world that conveniently does not have anyone in the office when you're on your shift."
bad,Nem existe mais. Era um negócio informal onde pude dar meus primeiros passos na mecânica automotiva.
bad,Johnson & Johnson isn't a company that help you grow. It is all about pushing their products and not moving up. The training's are quick and you have to catch on the first time around if not your fired
bad,"When I first started I was so excited, then it went downhill.   Contractors are treated like non-humans.  Horrible place to work unless your permanent."
bad,Very poor management. Manager with no clarity of what work needs to be done. No work/process training. No clear guidance. Less pay for a senior position. Always seen unfair and irrelevant decisions from manager. Groupism and target new member. You will always feel down if you are working as contractor.
bad,only good if a person in need of quick money. Poor company overall to work for. Management and line leaders were prejudice and not cooperative. Would not recommend this company to anyone.
bad,"They keep temps for years and years and refuse to hire anyone. It should be illegal what goes on here.  They hire in employees doing the same jobs but are treated better, paid better, get benefits and vacation. Contractors don’t get anything and are treated like second class citizens. They are at work more days out of the year than any employee and do more work. Managers just shuffle people around to make it look like they are temporary employees, but they aren’t. It is impossible to get hired anywhere becuse of the lowly status and lack of development."
bad,"No training , no supervision, bad environment moral very low. Some employees have been there for years and are still temporary employees. I would not recommend at least this division."
bad,"Found the IT Management very weak and narrow-minded. Excellent tools were published to manage programs and projects. However, due to lack of knowledge or retention were not properly utilized and many became a non-value added activity, due to corporate insistence."
bad,"Honestly I was working a night shift for them , the managers were kind of harassing me , like my first or second night 1 of the managers was asking me out to dinner..another one was trying to bargain me with a permanent position.. you will be standing 12 hours - no reasonable breaks .."
