rating,review
good,"Excellent learning opportunity for anyone considering a career in HVAC sales. Management was supportive, and the learning environment was open and welcome."
bad,"The supervisor expects to be in the loop on every small step of the job that he has no idea of the means or purpose of tests. He does not have any training in the largest part of his field responsibility. The service manager cannot tell a customer ""no"" for fear of not making every last cent from them, even at the expense of his employees."
bad,"Não existe melhoria contínua, os mesmos erros são cometidos em todas as obras e alguns poucos precisam corrigir problemas deixados pra trás, quem sai da empresa pra corrigir problemas não consegue crescer e não tem nenhum tipo de benefício ou reconhecimento por resolver problemas que a própria empresa causou seja com vendas erradas, funcionários incompetentes em campo ou no gerenciamento das obras."
bad,The company is going through an identity crisis. The culture is toxic and no inclusive. Finding operational people to execute the work is few and far between
bad,"I hated going to work. It is a typical call center job. Honestly, I really wanted growth in this company but not that division of Johnson Controls Inc."
bad,"Where do I start? JCI is the worst company I have ever worked for. It's a cesspool of corrupt executives & board members, cowards against corporate mandates, and structures of power that would please any dictator. "
bad,They dont treat new employees well and they dont train new employees like they should.you will always be sent home when something on line breaks down however mino the issue is
bad,The worst thing about JCI is poor management. There are few management people in place at the Louisville branch. The ones that are in place are terrible to work for. They have no business being in management and that is the reason MANY employees have left the company.
bad,"Williston Vermont Office -- This is a very unprofessional office that lacks professional managers.  The management in this office have been there for years and have only kept their positions by lying and accusing employees of not doing their job properly so that they are not held accountable and look good.  There is constant verbal abuse and accusations from the managers and they get away with it because it is a remote office with little supervision from senior management.  The service managers do not have college degrees and are unable to problem solve and do not understand technology.   When faced with a problem that they do not understand, they blame the customer or the employee. They are all related through family and friends and favor one another making it difficult to voice an opinion without getting shut down if you are not part of their inner circle.  They are constantly looking for ways to take opportunities from sales or to overcharge the customers. It is the most unprofessional environment I have ever worked in.  Do yourself a favor and stay away from this company!"
bad,"If are you looking for micro manager self low job & you like to snitch and be micromanage this is the perfect place for you. We started out in my class with 15 employees by the time 6 months came in  it was  only 3 of left from my class, by the time I left I was the only one left in my class. HR  reach out to me via email and wanted to know why I Left, but did nothing to change the toxic environment."
bad,One of the worst jobs I worked at. They have little to no communication and when they trained me they get attitudes with you if you not learning as fast they want you to they’ll send you out the door and tell you not to come back.
bad,"One week vacation and they treat CSA’s (dispatchers) like gold, technicians like the hired help...which we were, Union contract employees, not JCI employees. No pay over scale, no training, nepotism rampant. Great place for OJT to take to a mechanical contractor, whose pay and benefits package will make you feel appreciated."
bad,"they will move your job over seas, can you move departments before they eliminate your job? management will give you a bad review every review. i know this because worked in several depts, and its the same tacit. make you work harder and yet they find ways to find something wrong. then they will send that dept over seas.  "
bad,"There is not enough characters to describe working at Johnson Controls.No life work balance,Don’t care about employees in general,Management is horrible.I wouldn’t recommend nobody to work for this Idiots."
bad,"If you are a professional who works within teams and expects professionalism instead of politics, move along. JCI is a failing business with no future"
