rating,review
bad,"the company has no leadership, too many politics.  "
bad,"Excellent workplace to work"
bad,good working place
bad,Dysfunctional environment. Senior Management lacking standards and professionalism. Organizational planning and design was subject to constant change.
bad,"The hiring process mentioned having a mentor and a transfer of info from the project manager. Nothing could be further from the truth ... you are brought in, thrown to the sharks and reprimanded when going to your manager with concerns."
bad,Little opportunity for growth.  Fragmented organization with very little structure.  No consideration of work life balance although talked about often.
bad,"Most of the products delivered regarding feature functionality, the management was constantly in flux (from the CEO all the way down to my direct manager) and then when my manager left, they did a bad job of backfilling and all the sudden the job went from decent to terrible overnight. They didn't care when I brought it up to upper management and the team was in total disarray when I left."
bad,"Management has no plan, focus or objectives. No growth in revenue in years  and no real plan to grow.  Lots of flowery words but no real plan.  Look else where or you will be disappointed"
bad,Mid managers would walk on the backs of lower managers and employees.  When you would try to bring it up to HR they would just turn the other way.  Not a great company to climb in.  Shaddy management.
bad,"Boring work place, Bad Managers who feel themselves as CEOs. Bad work culture and so much work pressure."
bad,"Juniper had an exciting, fast paced corporate culture with many intelligent, passionate people. People were put in management positions who were technical but have no soft skills. As a result a lot of top talent was lost. The NOC's were also greatly understaffed leaving many engineers with 50-70 active cases to work. This was on some of the newest technology. Engineers told me it was impossible to meet SLA's because they couldn't follow up on open cases in a timely manner let alone work on hot issues."
bad,Not female friendly at all. Women are being scrutinized existentially over male counterparts under new management. Prior to that I was thriving in job
bad,Juniper is plagued by mediocre management with lack of management skills. The work culture is very isolated and employees don't feel they are part of the team culture.
bad,"Silo management leads to poor communication of departmental goals and objectives. Poor decisions cannot be challenged as employees will be reprimanded for not following instructions. Limited career growth, low to no annual raises and poor work/life balance impact morale and lead to turnover and dissatisfied employees"
bad,CEO trying to transition company into a software only model and it isn't working. Juniper is now missing the rev numbers for 2 quarters in a row.  Theres no reality based plan to move from being primarily a Networking HW company to being a Cloud SW company. Most folks are just worried about all the layoffs and not really focused on what the VP's or Execs are talking about. There's too many Upper Mgmt types that are all ego and no substance and its dragging down the employees who actually do the work.
bad,"Maintenance Tech, the day can vary from painting, to HVAC repairs, setting up for corporate meeting, changing filter on HVAC units, HVAC round, we have 6 building to maintain"
bad,This company is huge and does not have the fun perks of many startups. Day to day life is a massive land of cubicles.
bad,Hectic to work as there is no stopping to the work. The more u do the more is expected from you to deliver. Never satisfied by the work done by an individual. we get the freedom of flexible work time and work from home but the work culture and management is not up to the mark.
bad,Behind the competition but great networking product company. They need to invent and innovate to catch up with companies like Cisco and HPE.
bad,Too many processes and meetings. Meeting at night or early mornings due to cross sites branches. Work hours are not very flexible.
bad,"This is highly regarded in the routing and switching field not just because of their founders or initial success but also because of the talent pool they have. Instead of picking the right person to lead, they pick the yes man or woman and it' sonly downhill from there."
bad,"Too many managers in different locations. The culture is one based on fear rather than collaboration."
bad,Great place to meet people and make great work connections. Unfortunately the work place doesn't foster growth or job skills.
bad,Nice people to work with but top management does not seem to know where to go. No clear commitment to the plans and  takes forever to make any decision.
bad,Need to make other locations belong to ONE company - not just a west coast company
good,"I was an intern here worked for 9 months. Work was ok . ..intally they paid 26000rupee/ month. However Juniper networks india private limited the story is completely different....Bangalore office is full of Brahmins,Tamils. idiotic senior managers, who don't care about young intern turned contract employees."
good,"a good company to work. it was fun. I made good friends and learnt a lot about new technologies. Campus facilities are good, they have proper cab facility."
good,Some really good things about Juniper are the peers you work with.  Really bad things are things are the miss management at the VP Level.  VP did not empower people to make decisions and did not outline clear levels of responsibility.  A lot of long time employees who created a clique and not open to change.
good,Strong engineering team but company is led by engineering leadership rather than business leadership. Time to market is slow and growth is flat to slightly negative. Overall relaxed environment but opportunities to grow are limited.
good,"Juniper has lot of talent, many experts working in silos. What drives me is to get together cross functional teams to achieve a common goal of getting things done"
good,"Getting anything done there is comparable to moving and aircraft carrier.  Leaders, on a global level, have archaic ideas and strategies.  Political infighting and maneuvering.   Seems like the old guard is putting their own survival ahead of what the company really requires."
good,"Hardest and most challenging part of the job"
