rating,review
bad,"They dont give out too many hours due to them not wanting to pay at least minimumwage. they over work their employees at times,since thay are diffferent language they will talk down on their workers in their language."
bad,KBR is focused on how much you can do for them. Even though they hire you there comes a time when they don’t need you so they let you go with no reason no explanation just walk you out the door.
bad,"Don’t hire people over 50 , age discriminaton for years. One year they took away holidays to pay the share holders. Not a good company to work for. Boys club"
bad,"Its a shocking company to work for. Management dont care about staff, they dont know what confidentiality is any problem you went to them about within hours the problem was known by everyone personal or not."
bad,communication was non existent Team leads are rude and abusive shop supervisors are rude and abusive most all of the other techs acted like 3rd graders tried harder trying to get out of work than just doing there job it took forever to get parts
bad,From the start my supervisor and lead did not like me and they did their best to make me quit. I would never recommend this company to work for unless your into highschool drama.
bad,"Not safe job if you were working in area where its not safe and war going on,You will have to performance your duties no mater what circumstances you will be under."
bad,"i am not surprized that KBR does not exsit anymore, they are an aweful company who gives no respect to anyone. if the were still around, I would never work for them again"
bad,This by far the worst place I've ever worked. Staff are treated like children. Work place bullying is not treated seriously by managers and HR are a massive joke. Staff turn over is high and the job is very stressful with no support from management
bad,"just an awful place to work, right wing managers and the shifts are dire. so stressful. the night shifts are great though you can just chill out and take like 8 calls a night."
bad,upper management is good but on the floor or ship management is terrible. they have bad attitudes and do not care about any one. in fact they strive and look forward to see you fail. they are horrible people and they have a high turn over rate because they will do nothing about the jerks that are running every one off.
bad,"Management has no respect for employees. There was an unexpected snowstorm and we did not paid for that day. Employees are always getting flexed for no reason. This was a temporary job, so everyone was always looking for steady and permenant positions elsewhere, and when you would call in to have the day off or report in late, you were penalized. If the work is temporary they have to know that people are looking for another job. They claimed they needed an excuse to be off at least 3 weeks in advance, so that they can call someone in to work in your place. The time that I worked there I never seen them call in a replacement for an individual."
bad,KBR was the first company to give me the opportunity to work when I left the Army.They provided training and guidance for my advancement.Safety was paramount and I was given the opportunity to work as a safety proctor and safety in training.
bad,"The company is restricted by budget. The discussions go on but nothing happens because there is no budget. They do not fulfil offer letter promises."
bad,Worked with a great group of people who were committed to producing a outstanding product for the company. Management was very open to new ideas and valued every employees input.
bad,Job was contract and had no security in keeping your job. When it was over they stopped you and walked you out of the building. No notice of this. One day you have a job next day you don't.
bad,"Bad safety culture,  you are just a number and as soon as they no longer want or need you they find a way to try and discredit anything you do.  If have a medical problem or disability never let them know they will get rid of you sooner."
bad,Company was poorly organized as well as poorly managed which led to its downfall as a company. Never quoted jobs correctly which led to loss of money and time for other jobs.
bad,"KBR has great advancements for MEN. Women are only allowed to ""clean the floors or do office work."" The money is in the field. They make double what women do in most cases. Women are allowed to become certified for a job through their ""in house"" testing and certifications but are still only offered Janitorial or Office positions with completion of these tasks.It's hard work, the pay is average, but they do offer excellent benefits. If you're a man, go for it. If you're a woman, my advice is to stay far away. Also, the men are very degrading and sexist. This is viewed as acceptable on the work site."
bad,"Awesome place to work at, they care about the person technical development and people are very friendly to work with. They enjoy different offices with different work environment which one can shift between them if work load allowed."
bad,"the company in the present position does not take care of there "
bad,KBR is a very tricky company and have some of the worst management I have ever dealt with. They have bosses who cant even read drawings and try to tell the employees it looks wrong. When they come to a job site they try to take it over.
bad,"Boring place for work, no benefits nearby Qatar border, no food provided, no job guaranty, long work time period, not good salary, overall not good,"
bad,Need a change at the helm to preserve the integrity of this company.
bad,Enjoying working for this company; A very organized work environment with management support and plenty of materials to do the job.
bad,"This company has been run the same since it was Allstates design and development company.  You will sign an agreement form not to seek lawsuit against the company.  The Italian men run the company the Italian women run the administration.  The black men can climb only up to mid management, black women and the rest of the mix of diversity is either contract or limited climability up the ladder.  Rudeness,  arrogance,  short tempers and cussing throughout the daily office and northeast dumbness prevail.  They get you in, give you work,  when they done with you get a layoff.  Same thing each year like 2008 layoff.  Name change to absorb bad reputation.  Kbr Houston hardly talks about the Delaware office.  Newark de employs 4 states of people in this lil office at university plaza.  Some temps get high pay some don't.  Your overall skills don't mean much and isn't needed to do the project work. If you kiss butt,  it won't amount to much despite many do.  You will work for aholes but as contractor.  Remember this is a job and nothing more at this kbr office site."
bad,Same old thing that gets KBR run off all their job sites----The buddy system in management.   Pushing for footage and not quality.   Safety is thrown right out the door  as long as the pipe is lashed and they get  their footage.  No one has had any kind of formal pipe welding school or pipefitter apprenticeship training. Ignorance is bliss in West Palm Beach.  The most dangerous ones to work with have been doing their trade wrong for 15 plus years and don't have a clue  From GF to Worker totally uneducated and inexperience.
bad,"this company is the worst company out there, i do believe if satan himself could make a business this would be it"
bad,"-Organize all procurement activities relating to request for proposals, sealed bids, and price quotes."
bad,We would always work group and their was always good communication. I learned how to work with safety. Their was really good communication between me and my co-workers. The hardest part of the job in when we would have to work in uncomfortable places. The most enjoyable part of the job was when the job we had to do was done correctly.
