rating,review
bad,All im going to say is once you apply here be prepared. Hours change managers start to nag on you harder people turn into more of a dick than normal. Just trash
bad,"Would not recommend this place to anyone. "
bad,I would prefer to keep my personal opinion about the company to myself. I left the company on good terms and didn't have any negative feelings about anyone.
bad,"Kapstone was the worst place I ever worked period."
bad,"I've been at this company for 2 years. When I started it was already headed downhill but it has continued to dip in that direction. Management utterly is clueless, they never consult with the people on the floor who know what's going on. The schedule is terrible and is always changing, rodents frequent the break rooms, they never buy parts to fix our machines, etc..."
bad,I worked in the dry kilen and stacker. Was a forklift driver for 7 months. I trained 6 people and none of them stayed because of the way the opp treated them like they were there workers. As the kilen operators would sleep in Kilen office #4
bad,"Customer Service supervisor acts like she's in junior high, doesn't know the job and plays favorites if you're the kind of person that likes kissing up."
bad,You actually need to run to keep up with production needed. The management knows nothing about the floor only charts. A very poor stressed out place to work. Some of the floor supervisors are good but they are stressed to max also because of high overage.
bad,This company will work you a long time and then will make out as if they are going to hire you but never will.The job is good but you never know when you my get hired
bad,"Management did nothing but blame others for their inability to run a successful business."
bad,"Terrrible union "
bad,"The pay is not in an equitable range of other employers  for electricians."
bad,"Management will lie and throw you under the bus for anything and everything, no matter who you are."
bad,"Literally hate this place, sooooo disorganized and unprofessional. The AP management is a joke tbh, the company does not care for their employees. I am surprised this place is still up and running. I will not recommend this place unless you can put up with totally bs work. Just wasted my time here. Becareful whom you trust, never know who will turn on you."
bad,They have a plant manger that doesn't care about the people who works for them wasted 2 years of my life there. No matter how good of a job you do he always finds something wrong to say to you.
bad,"I wouldn't wish this job on my worst enemy. The company does not care about its employees AT ALL!  You can never get a straight answer from anyone in management. They tell you what they think you want to hear.  They work every employee excessive hours and do not care if you have a family of any sort of life outside of work. You make decent money if you're uneducated, but for any educated person this job will make you crazy."
bad,I worked so hard for this place. And right before our 90 days to go full time.  They let all us new hires go. They do this over and over again.  Stay away.
bad,"Terrible General Manager, Plant Manager was lazy. They brought me into to change the culture and help with back log management. "
bad,"I was hired and thought things were going well. Went in to work on a Thursday called in to office and told I was being let go. No other reason given. This is what I know new manager hired crunching numbers. And 2 previous men being brought back. One will only work days the other nights. A busy of mine had signed acceptance for a position they told him there was a hiring freeze."
bad,"I worked at the Lake Mary FL facility. The hours are fantastic 6am to 1:30. Very attractive 401 Contribution."
bad,Terrible place to work.  Work every Saturday from April to December.  They do not appreciate their employees or give any consideration to work/life balance nor do they care.
bad,Management is awful. They just bully you into non stop overtime and threaten to punish you if you can't stay. The place is always dirty with dust in the air and machine leaks constinatly. All corporate cares about is money and doesn't care about employees and it shows. I would not recommend this job to anyone. It's just not worth the stress and constant headache management throws at you.
bad,"This company is a very turbulent work environment. They advertise family environment, but won't hesitate to ""eliminate"" your job any day. The day to day environment is very harsh. There is way too much politics for this to be an enjoyable company to work for."
bad,"the only good thing about kapstone which is now wesrock was the pay, other than that it was a terrible place to work. they treat you very poorly and don't care about anything but what you produce. They don't care about your personal life or if you even have one outside of work because your life is your job working 12 to 16 hour shifts 6 days a week. with no notice till 30 mins till you are supposed to go home. so you cant plan anything because you don't know if you will have to stay over for 12 or 16 hours. they wrongfully fire people and do a lot of illegal things that could get them in a lot of trouble if caught with L&I."
bad,a typical work day is at least 12 hours. I learned a lot about the paper industry. management however is lacking in every aspect. workplace culture was good for the most part the hardest part of the job was dealing with poor management and the most enjoyable part was putting in a days work knowing I gave it my best everyday and working with my coworkers.
bad,"Its not a good place to work they are more about themselves and complain about production when they have unqualified people in places that need the highest production numbers and the ""union"" lays down for the company ."
