rating,review
bad,"Keurig attempted to enter the soda market and failed to launch a successful product. Combined with other major missteps, the organization required layoffs and an angel investor."
bad,"This company is rampant with a cut throat mentality with an obvious buddy system. Don't expect to get any decent raises, or promotions unless your the managers buddy because it doesn't matter how well you do or work, you simply won't get it."
bad,"No room for advancement. Pay as a material handler is below average, pay is below average for position as a material handler"
bad,"I was part of the company that made it was, then power and money got in the way and we were taken in a direction that cost everyone a lot. They should stick with coffee and appliances and leave all other’s alone"
bad,"Management is the biggest issue, they don't know what's going on. They don't care about safety or fairness. Management is clueless to the work process and flow, they're to busy hiding in breakrooms that are unaccessible to employees"
bad,"do not recommend working here. I've seen people leaving within a the year they were hired. Benefits have been slowly taken away. Managers are all about the company, not about the employee. Don't expect help from anyone."
bad,"Very cutthroat and stressful  pay is not even equal to what the company expects of a person, they also like to make up rules as they go and expect people to confirm to their changes as need be,the only thing good their was benefits"
bad,"This place treats you very horribly. The HR department has done a huge turnover.  There is now one HR guy that has been there for less than a year, and all the others have quit because of poor treatment.  The Plant manager has barely been there a year, and the production manager was just hired.  The same goes for a safety manager.  When upper level management and HR staff don't even want to work there, that speaks volumes. "
bad,This used to be a wonderful place to work however with the new CEO doest care about the people or the culture this company has always been known for. The managers treat people as if they are their puppets.
bad,"Once the owner was forced out and corporate forces took over, you never knew if you were going to have a job by the end of the day. It was all about the money, thus the work/life balance was way off unless you fought against it. They installed very bad managers who far outnumbered the very good managers. Loved my team, but grew to dislike everything the company stood for. Keurig did not appreciate their greatest assets; the employees and the coffee culture. Hope for the sake of the people that are still there, that things are changing for them since the private buy-out."
bad,"I worked in the knoxville plant for 4 yrs,at first it was great until I started to figure out who the brown nose experts were,if you weren't spending your time with your nose up the bosses rear end you could forget it.They preach safety but that only applied when someone had an accident,they preached cleanliness but that only applied when they knew an audit was coming.The HR was a major joke and management was full of the buddy system.Go ahead and apply and pray you don't get hired!"
bad,This job sucked they worked you long hours they don’t care about your safety they only worry about producing cups they suck here big time don’t go plz
bad,"Poor Leadership and Not quality minded anymore. All the love and compassion for this  ""once great company"" has been replaced by the bottom line... Your Money!!"
bad,"Typical manufacturing plant/ push, push, push."
bad,Keurig Green Mountain is ran very poorly by upper management. Very nasty supervisors who like to pick on works and creates a hostile environment for workers to work in.
bad,"A typical day is fighting one fire with another and rearranging fires to make room for more.  With so many rounds of layoffs, it has created a very tense atmosphere for new and old employees alike.  There are a few members of Senior Management who have their own favorites and make it clear if you are one of them.  One in particular is a bully to many and HR has chosen to protect this individual for years,regarless of how many complaints they have received.  It's a shame what has become of this."
bad,"The changes over the last 5 years have been unbelievable.  Any position that could be outsourced has been or will be as soon as possible.  Very top heavy organization.  Good leadership at top level for most part, poor at mid and lower levels.  Due to high degree of outsourcing, little or no opportunity for advancement.  Most positions are filled from outside when there is an opening.  Moral for most is generally poor, with a fairly large exodus of employees.  "
bad,This is a company you work hard and management don't care about there employees.  They come on the floor don't speak.  They don't back you up when there is a problem.  They don't engage with employees.  It is hard for African Americans to advance in this company.  You have all the qualifications to do a job but they will tell you they are trying something different with the culture.  That's not telling me anything. The pay will okay.  The benefits are okay.  By the company not having a union the rules change as they see fit.
bad,"What used to be a great and supportive company culture is no longer.  Senior Management plays favorites and on Manager in particular is a flat out bully that HR has protected for years, even though countless employees have complained about his behavior."
bad,HR manger is not fit for his job or day to day tasks. HR manger is not on the same page as the plant and has no knowledge of whats happening on the floor.
bad,Senior leadership needs to do a better job or ensuring the company's priorities get escalated down through the entire organization. A lack of true focus and prioritization results in many people working too long of hours and working on projects that end up not having an impact. There are many highly intelligent and driven people who help make Keurig a better place to work. If only the company would utilize their employees more effectively.
bad,You're gonna need all that free coffee to make this one trick pony business continue to stay viable.  JAB needs to make money on its $14B investment and sales are slowing.  Sr and Executive management will cash out big while the rest get roasted.
bad,"They talk about fairness and equality,  but treat most employees like cogs in the Keurig money machine.  Pretend to listen to employees, then ignore or take credit for there ideas."
bad,"Nice place to work and great benefits. "
bad,"It pains me to write this because I had such hopes for this company. After all  from the surface it had all the qualities that I admired in a company. It was local, it was growing, it advertised the values of honesty and hard work. It also gave back to the community, was green. Well I guess I was the only thing green. "
bad,"Company has internal conflicts between offices that does not allow flexible work schedules and long hours."
bad,Keurig had difficulties when the businesses obscene growth curve flattened in a few month's time.  The free-wheeling entrepreneurial approach to the business yielded to micro-management and heavy control of all aspects of the business such that the best talent left.
bad,Typical day is 9 to 12 hours of non-stop driving and working The company's turnover rate is high and this makes it difficult to get days off because of how understaffed they are.
bad,"Job started out great. Then after the Dr Pepper merger last summer (which most employees now believe was a complete buyout) we have no benefits. We no longer got free coffee, discounts on brewers, and the bonus we got right before Christmas (which helped TREMENDOUSLY) was put off until after the first of the year when Dr Pepper employees received theirs. Dr Pepper employees were offered our ""half off"" beverage incentive, but we have yet to see any benefit from working with or 'alongside' them. The insurance was complete garbage. It's honestly cheaper to die than try to meet your deductible. You have a lot of work placed on you, with no reasonable amount of time to get things done. Changeovers are always a disaster. It was a wonderful job when I started, but Dr Pepper dragged us down quicker than expected."
bad,"I've worked at this job four three years, it all started out great in the beginning then things started to change rapidly. This job has very poor management, and they're racist and they discriminate TERRIBLE! Bad place to work as far as with the people/management but they pay very good money (Annual salary atleast 45,000/year) and have GREAT benefits. I hope something gets done soon about the management to make the job a better place again."
bad,"Over the years, the company grew into a corporate giant and the senior and mid level positions were filled with people that only thought about profits. This created an atmosphere in which different departments would blame other departments due to the pressure from above."
