rating,review
bad,Desorden total en el área de ventas falta de criterio
bad,"swing shifts will end you almost as quickly as the incompetent management. four paid breaks are really nice, although it's hard to appreciate that when you're racing the clock and utilizing an outdated tracking system that checks your productivity"
bad,Worst company to work for they cut your hours and the pay sucks for how hard you work. They send u home not giving you your full hours they work you to death to where u pass out or faint and become dehydrated often
bad,"For someone looking for a asap check, but not long term, but if you kiss some butt it may take you a little further. When i started i knew the first day i was not gone be there long"
bad,I was fired cus my mom got into a car accident and I stepped out side to check on her & my brother that has stage 3 cancer. First time in trouble and I was terminated. My mother picks me up from work and with her being in and accident my other brother texted me to find my own ride home. I been a temp there since 2017 and got hired on this summer and I worked very hard to get there. Stayed when the work got slow and when people wouldn’t show up. Trained people without pay.So for them to get rid of me like that without asking what was going on was disrespectful. If my mother or brother would of been killed in the accident I bet they would of still fired me. They let me go for stealing time. But when I mentioned my family they still didn’t care. The work environment is the closet thing to modern day slavery. They don’t care about their people just about their numbers.
bad,"If you where not conceived in a plant bathroom. you will be treated as a outsider. This company is very clannish., and plays a lot of games. It told the employees it was closing. Just so it can have way with the union, and receives state benefits."
bad,Once great company but the new management team is a bunch of micro managing control freaks. Mill manager runs the operation through fear intimidation and threats. Team members are so terrified of the safety program that they conceal injuries in fear of being fired. They have cut our maintenance budget to nothing so machines are falling apart and equipment is being destroyed all so they can make their numbers green and get a good end of year review. They are stripping this place dry and taking out all the money and codes so they can shut it down.
bad,Started off as a good job to be at until they threatened workers to close the plant down. As a worker we lost a lot of benefits so the plant could remain open.
bad,"Place is ran with stressful constant berating environment. No safety culture just a list of rules used to harass hourly workers. 70% of the people do nothing, hard workers are rewarded with more work, more responsibility, and same pay."
bad,I can't really say anything about the work place. It was an okay job working on the line.. Some of the people there was not very work friendly... Didn't work there very long.. Overall nice environment..
bad,This company scammed the state of WI to give them huge tax breaks to keep them in WI but are now trying to use a 3rd Party company called MAU to hire people to replace all the forklift drivers who load the truck at a much lower pay rate! I can only hope the Mayors of Neenah and Fox Crossing find out how the company scammed them for the huge tax breaks
bad,Some people are decent here but most of the Kimberly Clark employees act like the rest of us are scum and treat as that way. Enforces rules on contingent workers but they don't follow their own rules. It's no wonder they are closing down.
bad,"dark and dingy, felt allergic to that place, most boring people ever, progress is so slow it drives me crazy. Now on the forefront of any new technology."
bad,It was hot & very stressful really no help u was just there. It’s not a good place to work so unorganized Kimberly-Clark need a whole lot of things done
bad,Very unhealthy place to work - cut throat and negative.  KC used to be a company that cared about employees and the culture.  Now it is all about making the quarter number for investors.  Short term decisions cloud long term strategies.
bad,It was very hot in Kimberly Clark. Pouring sweat as soon as you walked in the factory. Very humid. Hard to breathe sometimes. I did not like the way we were treated. Couldn't be friendly to others.
bad,Every 2 years like clockwork it's 2018 they just announced another.  So many jobs cut to be moved overseas.  Would not suggest to anyone that wants to have anything more than a career starter.
bad,No hay crecimiento laboral para subir de puesto tienes que ser amigo del supervisor
bad,working here i had the worst experince and i would not work for them anymore they dont treat you fairly and you will do more than what your paid for and they are just unprofessional
bad,"I learned a lot during my tenure at KC, and overall enjoyed the time in my career.  However, advancement is not open to the average worker and advancement is based on who likes who the best instead of performance and true best fit for the role. "
bad,"Pagan poco, descansas poco, te explotan mucho y te tratan de la patada y según por las utilidades que dan"
bad,Management is an absolute joke. Always looking to get after someone and if one person doesn't like you then you are made a target. Saw this on a few occasions. Go in with eyes on the bavk of your head and steer away from the days people as they're on the hunt.
bad,If you are looking for a job that does not pay well for the long hours you put in or the hard work you do this is the job for you.
bad,"Did not like working at KC, the employees were lazy."
bad,No longer in business as Fort Howard. Bought out by another manufactures
bad,"Worked for KC for ten years. Watch your manager! Saw a lot of good engineers get the $haft, some 23 year plus tenure. Cannot recommend this company. If you work there and like it then you are the problem. No real "" security"" ."
bad,This company isn't around anymore. They left and fired all of the employees so that they didn't have to pay a union and take care of the workers.
bad,Empressa com grande comhecimento mas com pouca possibilidade de crescimento proficional
bad,"A backstabbing culture- worst place I ever worked!"
bad,If you weren’t used to fast paced jobs then Kimberly clark wasn’t the job for you. You would have to ignore some of the co workers but most were pretty cool and were just trying to get the day over with.
bad,Tough place to work. The management cares very little for the employees. I would not recommend this company as there is a lot of favoritism. The existing team makes it hard to fit in and so information sharing is not in abundance. The rules put in place by the CEO are set up so that the new guys will never get a fair deal. New guys always get the night shift work.
bad,No me gustó trabajar para ellos porque peliaban por los bonos y los turnos no me gustaron mucho
bad,Horrible place to work as a contracted employee through a cleaning company called Compass Group. The actual Kimberly Clark Corporation is okay...the people are okay...complains a lot but it was okay. They pay is terrible...so is management. I would not recommend working for or through this company.
bad,"De 5 años trabajados. 4 y medio pensando que me echaban. A los 6 meses de entrar anunciaron una reestructuracion y me sacaron del puesto al que hsbia entrado que era implementar un software por otro puesto que no tenia nada que vet con mi carera profesional en el area de soporte de redes. En la que era mi posicion pusieron a la esposa de un gerente. Despues me maltraron durante 3 años exigiendome que aprendiera sola mi nuevo puesto de redes cuando no estudie sistemas soy ingeniera industrual y me desarrolle en Sap. En mi area anterior entraron dos contratados. Dicen que les importa el desarrollo de carrera del empleado pero a mi me sacaron del puesto al que me postule y todas las veces que me sente a hablar sobre el desarrolo de mi carrera que era volver al puesto del que me sacaron de prepo la respuesta era nada arreglate solo aprende solo. 4,5 años con miedo permanente. Finalmente me echaron. De 7 empresas que trabaje la peor de todas nunca respeyaron mi carrera de 20 años. La unicaempresa que de undia psra el otro se le ocurre csmbiar a tofos de sus trabajos. No tiene sinducato ni nadie que te defirnda. Ye obligan a viajat a paises de ruesgo como El Salvador viajando todo el fin de semana y no te pagan extrs ni te reponen el sabado y domingo. Un dessstre, sufrimirntp condtsnte"
bad,"The teach their employees to tell on everyone.  They treat everyone differently, it just depends on who you are. Department leads sleep behind closed doors."
bad,"Do not work here if  you want a life they make you work at least 5 12 hour shifts with 24 hours off week after week."
bad,Not a good environment nor any leaders worthy of leading people.  The primary leadership team has very average skill and are good at pretending to be important.  The culture is very much about back stabbing and doing anything to move up. A very sad place to work indeed.
bad,"Local management has several managers who were promoted because of who they know, not what they know. "
bad,"Pesimo ambiente laboral, acoso. "
bad,"They pay you only $9.50 to $10 per hour. Management is rude and they don’t know how to talk to people. Very stressful due the fact that no one knows what to do or where to go. One lead was actually stealing from peoples purses."
bad,"The culture looked good from the outside but the banners didn't match what was going on inside.  Poor Leadership, unrealistic work expectations and a team leader who didn't understand the category.  Team members leaving and were not replaced continued to make work life balance more difficult."
bad,A empresa aparenta ter uma dinqamica saudavel porém mostra que o cenario é adverso a isso.
bad,The company won't be around long.  They shutdown plant that provides material for the other.  Upper management are horrible.  People don't want to teach you anything.
bad,"I was a long term employee of Kimberly Clark and with the  new  way the management team is now, if they suddenly get one of their favorites ruffled, you can lose your job. I am 58 and not far from retirement, but now out of a job because the pets get mad when you tell to do there job.Just not right, or a good way to operate a business."
bad,"I worked at the Fullerton Mill for 1 1/2 years. Putting in 60 hours a week was the norm with no comp time, pay, or appreciation. I had to work holidays since that is when the machines were down. Over thanksgiving week I worked 96 hours with no comp time, and my boss decided I was responsible for being 1 day late in getting a major overhaul done."
