rating,review
good,Enjoyed working there.  Wish management had been more honest with employees.  Would recommend others to apply with the Kroger family.
good,"Serving customers was always number one priority. I did just that. I made my customers happy. Only problem is that some customers require more attention than what management is allowing you to give. This was a problem for me as I did not like to be rude or short with customers. Benefits were good. Vacations, sick days, and personal days. However rules were strick and changed often. It was hard to keep up with changes."
good,"Well on a normal day I would clock in about 5 min before my shift started and get to my station. Once in my department I would find out what needed to be completed and get right on it. I would make salads and begin prep for the food bars for the next day. All the while keeping my eye on the counter to assist customers as they need it."
good,Within the Kroger Co. is a very good company to gain solid management experience.  I have had several successes within the organization and have not complaints.
good,"I found that the job was pretty easy but didn't get many hours each week. other than that its a nice place to work, the people are fun and friendly. Also they offer great benefits."
good,I was a cashier at Kroger for a while and a typical day included one on one time with customers for the entire shift. Working here has improved my customer service skills including how to deal with mistakes or bad situations with a level head. I worked with a great group of people that kept me entertained during long shifts yet we all worked hard to reach our goal for that specific day.
good,"Mostly pretty busy, many people always around to help. Learned a decent amount about how to help customers and how to deal with difficult customers. Management was at times absent and not always easy to get help from. Lack of communication and sometimes incompetent coworkers were a fairly common problem. Meeting many new friendly people and building friendships."
good,The benefits that Kroger offers is better than most other retail businesses.
good,A typical day at depends on the time of year. A typical day can start off slow and gradually pick up. I see that in a job like this I feel that in most instances that Kroger takes care of their employees such as discounts and adequate pay. I also have learned a smile can make a big difference in a person's day. My co-workers are very loving and approachable. The hardest part about my job is dealing with situations I can't change. The most enjoyable part of the job is interacting with the people. Satisfying the needs of others and being helpful to those in need.
good,"A typical day of work entailed unloading pallets off of a grocery truck, followed by breaking down the pallets and organizing the product on to u-boat type carts. then we'd take the carts out and stock the product to the shelves. "
good,Overall this is a great job if you are in great condition and have no restrictions. after being here for 2 months i became pregnant and was given a not by my dr on my restriction of no heavy lifting. upon giving this to my manager i was told it was not a good enough excuse and i should still continue to unload the truck and carry the 50 gal icing buckets which weigh a good 40 lbs frozen. Upon refusing to risk my pregnancy i was fired.
good,"The work environment in stores seems like it was better when I worked there years ago. Currently I believe cut-throat budgeting has made it difficult for employees to do their jobs well (I'm told), but that's the case everywhere."
good,"A typical day included bagging groceries, providing carry out service, conduct price checks, gather shopping carts, sweep and mop floors, quick checkout service. I learned how to be quick and efficient in multitasking. In addition i learned how to work alone efficiently as well as being a team player. The hardest part of the job was learning the store quickly enough to assist customers. The most enjoyable part of the job was interacting with the customers."
good,"Its retail so holidays and weekends are a must. After a while i was allowed Sunday's off because I got cool with the manager. The pay was deplorable compared to the likes of HEB for example, the benefits were ok on the other hand. Most of my coworkers hated the job, but i enjoyed it after a while. My only meaningful complaint is the pay which is so low to the ground its not even funny. And don't even think about a raise, not even if one moved up to a supervisor did one get a raise."
good,"Well typical day at the place break down pallets, and sorting them to what aisle they belong to. and trying to finish everything under certain time limit.  I've learn that multi-tasking is very much the key on how to get the job done, interact with customers and stocking shelves. some managers are okay others.... my co-workers are awesome helping me out much as I can to be able to get my part of the work done."
good,This job was on of the most fast-paced job i have ever had.I got a chance to meet all different types of people.
good,The Kroger store I worked at was always busy so I never was bored. The pay was outstanding even though it was a minimum wage job as a college student I enjoyed working there and with the other employees that also worked there. My co- workers were very friendly and me being in produce they were always happy to see my face from time to time.
good,"Duties would consist of: Oven prep,Deli prep,Showcase prep,Food prep,buffet prep,Taking special order request,"
good,"Work there was nice, had a really nice working environment, but there were not many places for advancement. The job was not very hard but it was tiring."
good,I was a front end cashier at Kroger. They trained me very well at the beginning of my time there. I also learned many new things along the way that made the job easier. But overall being a cashier was not that difficult.
good,"On a typical day at Kroger, I will bounce continuously between different departments helping out and performing different tasks. I've learned how to provide excellent customer service and how to quickly master any task. "
good,"I had a good time working for Kroger, I can't really say there is much to complain about there is definitely a few things I could have handled differently. I may consider working again for something similar."
good,"stock product, recieve trks and ship trucks, receive milk trucks and break down work trucks, assist customers find the products they need and came in for"
good,"I made a lot of friends while working here, its a very easy place to work in."
good,"The employer is good to work for but the management team is very unfair, they wrongfully terminate employees whom dedicated to there work."
good,"My days at Kroger, is terrible. I have learned that you go to work and do what you have to do. The management their is lack of communication. They walk around  NOT doing nothing, and its NOT far. I only had one enjoyable moment at work, that was when we got a chance to pie one of our ex managers in his face."
good,"My Kroger store has the unfortunate reputation for being unruly and too much overtime (something I'm guilty as well) We often get complaints from the Headquarter in Atlanta on why we have so much overtime. For a long time I was a bitter person on the inside of myself. I left in a effort to work on my shortcomings, strive to becoming a better person and let go of my bitterness. I want to live."
good,You worked from the time you started to the time you went home.
good,"This job is good for college kids and teenagers and older people who don't have families to support. The Union sucks they do nothing for you, but take your money, management only cares about the bonus they get at the end of the year. You are not paid for the work you do. the raises suck."
good,i loved working in the deli it was fun and exciting most days. management could have been a little better
good,"very easy going, no leadership, no motivation, no benefits unless your fulltime"
good,I enjoy working at Kroger. I feel as though Im very underpaid and the extra money I put out in union dues isnt worth it. I just recieved a raise but dont see any of it on my check. My hours are constantly wrong. I have to wait until the following week until I can get my page/ Whick in turn is taxed again so i really dont see it. I like the people and what I do. I just dont make enough to stay afloat.
good,Most of my career at Kroger I would describe as a above average experience. I didn't leave as I would've preferred but while I was there I enjoyed working there for the most part.
good,"Courtesy Clerk"
good,A typical day at work was hard working and continuous movement. Management could've been a lot better the associates seemed to do way more work. The most enjoyable part of the job was interacting with customers in person and being able to assist them.
good,"I wanted to change my professional state."
