rating,review
bad,Management is out to get their employees rather than uplifting and encouraging them. Poor pay and absolutely no room for growth. Management is lacking serious integrity and basic work ethics.
bad,"low pay brings in wrong people, promotes people with out training.people constantly missing work with departments not fully staffed. core group of around 15 people that have been there in the 3 years i have worked there out of 100 + employees"
bad,They are not very organized and they make up rules as they go. They have now moved to commission based pay and they work to do is to much for what they are offering
bad,"Upper mgnt doesn’t work, they just believe in some fairy tail of a past like they once had. welcome to corporate cool aid drinking. If upper mgnt had a clue it maybe the most successful junk sale on earth"
bad,no communication no help when needed the managers are out to get you constantly if your not moving your wrong managements really screwed up there I did not enjoy my time working there
bad,Management is horrible. Nobody knew their jobs and everyone was everywhere doing everything. No actually set job duties and expected to do 3 people's jobs and not get paid for doing that. No appreciation at this place Omaha Ne Location at least. Operated by a druggie and when doesn't have his dose starts firing everyone.
bad,"Was fired, because I was African American. They didn't want to pay me when I was eligible for a raise. I work for lkq for three years. I got wrote up just to lose my job"
bad,"My experience with this company after working for them for two years was the worst. I get injured the process was  slow and at the end I did not get any help.  Management was never in the same page, one supervisor said something the other one something else, employees were always confuse."
bad,"Don't waste your time. Management is awful, the regional sales manager is a moron. No quality control in their products. And blame reps for everything going wrong even when its not their fault."
bad,"I worked at the Exeter, pa location as a level 2 tech and all they care about is the service desk call q. They would drop me in the call q at a whim and never have time to do my L2 tickets. Management is Terrible and no promotions offered."
bad,I am really disappointed with the way this company is managing the associate's and everything is disorganized. This is the main reason the company has a high turnover rate.
bad,"Warehouse was in horrible shape."
bad,"Transitioned to sales rep was promised a $2 raise. After 4 months I reviewed my pay stub and noticed I had only been given a $1 raise. When I brought this to their attention they would not let me contest it. Also was informed they had been paying me incorrect for 4 months and that I owed the company $11,000. After working her for 3 years I was astounded at my treatment. WOULD NOT TECOMMEND TO ANYONE."
bad,"Management sucks."
bad,"I was told I would be getting my own accounts after "
bad,"Wasted 5 years working here. No advancement. Love the job, customers! Don't want to go to work anymore.  Dreadful environment.  Only Managers and Accounting recieve Bonuses. Thats why they push you every day. What a disappointment.  Learned my lesson. Moving on to a better Company!"
bad,"Poor manangment."
bad,"Worst job in the world, management sucks and if you don’t have personal relationships with them it’s a problem or you’re a target. Working conditions a horrible!"
bad,Working here has its perks. But working here also drains you of your positivity and drive. If you love being micromanaged and having NO control over your actual job then this is the place to work. They say we go through workers like crazy and we need to find people with a drive to work here. When it's not the people it's the management. If they would let go of the manager
bad,It was a very slow job and the management was awful. The management has no care. The management played favorites. The employees were so mean to each other.
bad,Not enough money not enough safety  to much work for the pay. Manager doesn't care about you employee's not friendly at all. They do not give raises. That's not good
bad,Too many employee cliques. Everything there is political. You got to fit in where you get in. Half the employees are drunks or drug attics. If you are a decent person do not work there.
bad,"Horrible place to work. Managers treat you awfully and you get lied to all the time."
bad,"Stroke your boss’s ego and you might get supervisor! Don’t forget to always throw your coworkers under the bus since remember it’s not your fault as long as you point the finger. No real benefits, job pretty much cost me my marriage and not one manager no matter how persistent you are and ask for advancement they would rather you quit since you don’t fit their clique."
bad,"it’s a cool temp job if you don’t plan staying long "
bad,Poor management and leadership left you stressed an miserable behind a five line phone constantly ringing with no real guidance or development.  Outdated systems and no SOP to facilitate issues or concerns left me with constantly chasing my own tail. Total chaos and madness.
bad,Lkq in Lakewood is a corrupt company and do not care about their employees. Warehouse management will harass you insult you so just think do you want to work for this horrible company
bad,"Abusive Bosses not paid attention when you had a emergency in your family they don't care about .If got sick they don't give a break  to  resolve the problem, especially when you ask  for a day off for appointment"
bad,"Yard 383 the ernies salvage yard in martinsburg is a big joke they take all ur money including no overtime. No bounus, no pto and then mess with your regular hours. When asked about this or if you report it its not their fault its someone elses and never gets fixed multiple people have this issue. Now When they call u in the office for something trivial they have thrown pens and papper at us. And have talked down on our families and home life they try to tell us jow to run our life and tell us tgat the job is more important then haveing a place to sleep next day and more important then. Your kids getting to school. Now me and about four others have come close to putting themthrew the wall. When you call them out on what they said or did they call you a liar they are like 5 year olds hate being wrong. My dog has more respect. A cocroach cares more about people then the morons at yard 383. Come join us at the beautiful and wonderful scrap yard. Oh and if you like paying 3x times as much for parts then other places wellhere u go come on down."
bad,Horrible place to work very low pay raise. Inexperienced night shift lead. the bathroom stay dirty the lunch room is dirty to  you can find a much better place then LKQ ILL NEVER GO BACK
bad,"Going to work not wanting to be there, but must pay your bills."
bad,working at lqk   have allfull bosses play favorites  and discriminating against other. let other employes assault you a they blame you. I cant and wont work a place that blames the guy how got assaulted that a horrible company.
bad,i never worked at a place where employees would be new everyday.parts were always damaged.the manager didnt really care for you it was all about numbers.your forced 2 do 2 routes and they expect you to fly from delivery to delivery.
bad,Slave drivers. Don't waste your time you won't make anything and they change the rules daily without telling anyone. They won't fix pay issues and have favoritism with a select few employees. Don't expect heat inside in the winter either half the time it don't work.
bad,"Starting with the top Saint P and his incredibly sales minors, down to his female HR department who just fallow their male counterparts is a joke!"
bad,"Time for a review from last year 2018 ex staff, (van/warehouse),glad I left best day of my life :)."
bad,"Lazy managment, low wages, careless employees, hazardous conditions.  "
bad,"The ceo and management walk all over the workers, If you  speak up, you are fired. "
bad,the commission rate was so low and others could and did steal your sales and management did not care the place sucks do not wast your time. Management is horrible and the customer service is horrible they do not care about their customers at all.
bad,Management sucks They overwork you for Low pay they always giving people the run around with the parts and over tax on the parts that you get also them new parts are cheaper then a use parts
bad,Dans fond ter un soldat qui cour cour cour pour un salaire de creve faim
bad,"All they do is yell at you,nag,criticize, and put you down and the managers are so disrespectful most employees quit because of that they cut back on overtime and they always move the times up"
bad,"Yeah you just have to be pushy to get a position you want, open your mouth if you dont wanna buff, place still sucks, dont be a sand blaster, OT is a must"
bad,The location I worked at was purchased by LKQ several years ago and had previous employees with bad habits. Poor upper management. Very low pay scale. I worked in outside car buying with no incentives or training.
bad,The stars speak for themselves. Very poor management and racism. Human resources is friends with the managers and takes their sides when you try to file a complaint.
bad,"If you enjoy working 50+ hours a week, then read no further.  Working 50-60 hrs per week, delivering the wrong or broken parts to customers. Management is clueless.  The warehouse is filthy, and unorganized."
bad,"This job has horrible communication your over worked and over looked by guys who are friends there is no advancement no raises or opportunity to grow with this company you have 25-30 stops to make with and overloaded truck to the point you cant secure you load and you are still accountable for damages and missing stops you have 6 or more mechanicals (engines,transmissions) and still must make a way to pick more up with an loaded truck this is also an blame the driver company even if they know you have sales,dipatch,supervisors,and also upper management giving orders which can be confusing during deliveries overall this is a place to get by while you look for a job you can really gain success and grow with this also is a company who give raises due to who they like not how hard they work people call off you get stuck woth their route plus yours and no one will appreciate the effort you put in for that day or even acknowledge what you did raises are 10 to 30 cent max some people didnt get one at all hopefully you will be the chosen one and receive one i give it 10 thumbs down!!!"
bad,I worked at LKQ for a couple of months the management was awful doesnt care about their employees always trying to pass the buck down onto the little guys if the messed up something upstairs which makes the employees cut throat nobody is willing to help each other out and they are ready to sell each other out in a heart beat also they pay biweekly which isn't bad the bad thing is in my time working with this company I was never able to get 80 hours on my pay check and when I brought it up to management  I was basically told tough luck
bad,"I worked there 9 yrs,Really liked my job.New management came in and changed everything.No raises,more work and changed everyones attitude.my job was elimated and had to take pt-time or nothing.I was given 1hr to deciede.Im still there pt-time but need something closer.working there pt-time just dont pay the bills."
bad,One of the most stressful environments you can work in. Bad management. Huge turnover. Been here almost a year and can't even count how many different people I've worked with. Parts always going missing or are damaged. Everybody lacks training. Corporate involvement is a joke. Would not recommend this place to anybody. You can work 100 hours plus in a two week pay period and still be told you're not doing enough.
bad,"Awful, straight commission rate in cut throat, dishonest business.   Management was equally awful and dishonest."
bad,Completely unprofessional company none of the High Reps or managers know how to run the department there in charge of it's just another buddy system where the bosses hire their friends and treat their employees like garbage if you do not agree with the way you are treated you'll be told you can quit or they were look for whatever they can to fire you
bad,"Horrible moral, no feedback or encouragement from management unless mistakes are made. Management has bad attitudes towards the drivers and most of all no respect. Old school mentality and family run, extremely unprofessional. Management also will not hesitate to throw ppl under the bus or lie straight to your face intentionally. Seems like a legit company from the outside but this is not the case, unfortunately."
bad,"The job would actually be enjoyable if the management were worth more than squat.  No direction, leadership, incentive, raises. Nothing. The end. Do not recommend."
bad,"The GM has no people skills, he doesn't communicate well at all, very sarcastic and rude. The turn-over at this location is becoming more realistic. No growth opportunities, your work goes unnoticed, you cannot move up at all, literally sweat shop work. It takes strong leadership to lead and build a company and this company lacks alot of that. Corporate and employees are all for self, no training. If issues arise and you email management before hand numerous times it's only when the customer calls then maybe it will be resolved, work at your own risk. Strickly a pay check. No yearly raise as promised in interview, if you work there 5 years you might get .30 cent raise."
bad,"Long tedious hours,  little compensation for those hours.  ""good ole boy"" mindset.  One or two sales people will make decent money,  but everybody else will be below poverty income.  Managers make great money,  but there is no trickle down.  If you are a good employee,  the more you do,  the more you may do.  Never any thanks or positive reinforcement, but mess up and you are called in to be berated.  Thank goodness I no longer work there.  It was the longest few years of my life.  Have never been so happy to know I no longer had to go to that horrible  job!"
bad,Horrible place to work and horrible people to work with. Everyone comes in intoxicated crashing into thing and nothing is done about it. Managment belittles you and treats you like youre an outcast along with the crew members.
bad,Not a very good place to work at all . Very long hours with poor pay and management. Upper management doesnt seem to care about employees or customers at all
bad,I wake up and thank God every morning I left this place.    Management is sorely lacking.  Driver came in smelling of booze most days yet nothing was done about it.  Bi-polar woman in warehouse is never let go due to management being fearful. Unless your house is about to be foreclosed on.....stay far away from this place
bad,this place is terrible no team work and way under paid to put up with all the bs that goes on here. can never ask for pto day because we r way under staff and none of the workers have any experience
bad,"Company is ran by unexperienced and rude managers who operate on a duoble standard. Employees act just as rude. Too much street like attitudes, very unprofessional  ."
bad,"Terrible management"
bad,"Took a pay cut to work here, because Sales manager & Plant manager boast about making 6 figures, great work environment, Fortune 500 company. But, this work place is hostile. Commission reps, take your head off if you try to take care of their customers, on their days off. Everyone is for themselves. Every employee makes the company over 50k a month, but they don't even make 10% of what they make the company. Call system is jacked up, calls come from all over the world. DON'T WORK FOR THIS COMPANY, IT'S A DEAD END JOB."
bad,Hires family members to work for the company and in turn favors them over other employees.  Culture of nepotism abounds here with little chance for advancement
bad,Manager is always on your back. Down talk you because he thinks he's better than you. Expects you to run when he says so. Except you not to take any breaks.
bad,"Tough place to work. Very disorganized company. Not customer oriented, consistent shift in management. I dont know anyone who has enjoyed working for this company. Prison work environment!"
bad,"""optional"" friday overtimes are actually mandatory and if you don't work you are pretty much fired.  Not worth it at all especially with terrible benefits, attendance policy, work environment, and absolutely no chance of advancement."
bad,"LKQ typically tries to keep you in a box. They don't like to have people advance and a lot of the progression bookmarks you would like to know they keep in the dark. I worked there for 6 months and was never told how you accumulate PTO or if I'm not mistaken you have to work there a year to receive 5 days of vacation. I may be wrong because no one ever gave me clarity on that. And I became sick and the manager asked me while I'm in the hospital, ""when are you coming back in"" not a get well or nothing. I wouldn't recommend that job to anyone."
bad,Micromanaged..Work is very repetitive and gets boring fast! If you don't kiss managements you know what your days will be numbered. Lots of fake people.
bad,Raises and comission was promised many times. but was never given. LKQ breached a FMLA contract after two days. MAnagement was swapped over 4 times during one year. You are never supported by management.
bad,Is not a fair place to work if you're not in a management clique. Also they treat their employees unfair and cheat you out your hours that you work they change your time they really need to close the place down
bad,Not worth your time or effort. They will work you to the bone and not even care one bit. Once you start making some good money they change the pay structure and you make less money.
bad,"The management team lies every chance they get. They want you to work 15 hour of work in a 9 hour shift. They don't care if you get hurt. They do NOT have workman comp. They will lie to get out of paying the bill. "
bad,"Every morning starts at 5:30 am. Drivers come in and verify car parts to be loaded on truck and load the truck. Car parts include anything as small as a fog lamp or window trim to large drivetrain parts such as engines, transmissions, or front and rear axles, and you are given a fifth wheel puller (that is a metal hook about 3 feet long with a handle on one end for those who don't know) to move these parts off your truck throughout the day. Management consistently runs around with no clue of what to do, and if a driver calls in to work you are very likely to get your workload doubled for that day if you come in and show that you are good at what you do, because management has no backup plan to help fill in the holes that are made when a driver calls on or quits (which happens a lot, terrible turnover rate). Nobody wants to stay here to work, very negative environment and no room for moving up. You come in at $12/hr and you will leave at 12/hr. Veteran drivers, who have been there for 5 plus years (there aren't very many of those) are still making the same as when they started. Plus you earn PTO time, that means if you get sick and need to call in just once or twice in a 1 year period then there is no such thing as a week long paid vacation for you, because they take that time you were off and take it out of your vacation. This place may be great for some people but I for one would like to do something with myself and no feel shafted every day at work."
bad,"LKQ Corporation is an extremely poorly manged, poorly run, company. They treat both their customers and employees like total garbage, and are of little consideration to the company."
