rating,review
good,Lam Research is a great place to work! Amazing people guided by solid core values. It is fun to be directly involved in cutting edge technology that will change the world as we know it.
bad,"Management is a bunch of clowns and back stabbers. If you're not their ""friend "", youll never get anywhere in the company. "
bad,"Bad mgt, bad pay, not on par with market, no collab b/w groups."
bad,"Grade f racial racism "
bad,IT Operations Completely Dysfunctional. Some real b&st&rds working here.  Subject matter experts ignored.   InfoSys has a stranglehold on IT.  Tons of meetings.
bad,"They will have you train your replacement before laying you off. There are people there who have been on temporary employment with lam for over 8 years. You will spend your nights assembling hyper expensive machinery to allow this company to make billions in profit, and they will not even give you full time employment status in return. The work enviroment is extremely unprofessional, coworkers and managers were often hostile. I regret quitting my other job to work for LAM."
bad,"Worst place to work for, they don't have stable work orders, so when you complete of what they need, they let you go,  many people did very good job, but they have to let them go because they running out of work, they don' t need you anymore."
bad,"The only way guaranteed to become full time employee for this company is if you have a relative already working there or is a friend of someone that already works there for years. Most employers in this company are all relatives. And most of the full time employers there that been working there don’t know how to train anyone, don’t speak very good English so it can be hard to comprehend nor do they know how to use a computer (don’t know how to send a simple email). This company wold take 1-2 years to decide if they want to convert you full time or let you go. This company unprofessional fire you through phone call on your days off rather than do it in person. Most importantly if you’re temporary, you get NO (ZERO) benefits...so you can go to 1-2 years with NO benefits. Oh and if you have to call in or have an family emergency, there is no number to call, you have to email; your employer, your boss, your manager of the shift and your lead. Overall this company is very unprofessional and unjustified."
bad,I enjoyed troubleshooting  and gained experience reading and tracing schematics. Tough crowd to work with. Incosistent expectations. Poor leads evaluation/selection. Poor code of conduct among employees. Great Supervisor with poor support from upper managment. Team work non-existence.
bad,Lam had a toxic culture of hypocrisy when it came to it's internal rules and guidelines. They regularly lied to and mislead their customer to mask the real issues.
bad,"What used to be a nice place to work has turned into a ""dog-eat-dog"" culture.  Work/life balance completely out of balance.  Not recommended as a place to work."
bad,"If you are one who assembles the tools you are looked down upon by management and under paid. Management is a major problem here. They preach a specific set a ""Core values,"" but it is just lip service. Management directs the assemblers how to their job but do not know how to do the job themselves. They preach ""open communication,"" but when you try to be open and honest, it is viewed as complaining. Unless you want to be a ""butt kiss,"" there is little advancement opportunity. If you are mechanically inclined but do not have at least an Associates degree then advancement is none. People with a degree and no experience, who ""couldn't change a light bulb,"" get brought in to test the function of the tools over advancing someone up from an assembler, who has been there for years and could build the tool with their eyes closed, just because of the degree. Then when a problem arises with a tool at a customers site, the assembly department gets the blame from management. All they truly care about, despite what they say in all their meetings, is the shareholders and the value of their stock. Temporary employees with no experience, at times start out making more than hired on employees who have been there for years. I have even trained ""temps,"" who were making more than me. "
bad,The Tualatin factory was merged with Lam a little over 3 years ago. The management at the factory is still left over from the Novellus team.
bad,"Poor Field Service Management in Place - No Leadership - Only looking for technical people that can be used and abused, and then disposed of afterwards while management takes all the credit for the work you end up doing."
bad,"Find a different company to work for."
bad,"Pay and benefits were decent."
bad,"At first Lam was ok. I went around telling people about it and what a great company it was. As time went by, I saw a lot of favoritism, and hopes of getting anywhere if they don’t like you are very slim."
good,Lam Research is a great place to work! Amazing people guided by solid core values. It is fun to be directly involved in cutting edge technology that will change the world as we know it.
bad,"Unless your best friends with your lead and and other supervisors, you can expect a droning experience at LAM research. you need to Master every single Op in your line before being considered to become a ""Blue badge"" which is still not a guarantee. some ppl have spent 3 years of there lives working temps w/o benefits here even coming back after their contract has expired. goodluck if you have the patience and stamina to pursue this as a career"
bad,"They waist alot of time and many unopened prototypes, that are just dump every quarter, all new employee need to be trained for 3 wks before you allowed access to your user programs, doors, and others access, there is a buddy assigned to you, hopefully he can help when asked, I could not understand what he saying, also a old slow Corvette driver who likes to frame people."
bad,"Assembly:"
bad,"The company provides good training for new graduates, so really good to learn new skills. But also pushes new hires badly, and managers usually drive employee crazily, for example, frequently after-hour work til mid night, without any compensation."
bad,"The Manager that hired me left and the group moved to Fremont."
bad,This company was one of the worst places I have worked at.  Avoid at all costs.  Management is only concerned with numbers and treats employees like they are disposable.
bad,"I enjoyed working at Lam until managements true colors began to shine and NOT in a positive manner.  They favor men over women, military over non military and support poor hostile behavior from management 100%"
bad,"Livermore plant is not a good place to work. Bad hours, managed by a liar. After two years of working from 6:00 pm to 6:00 there is nothing good about this company that I can point out."
bad,Great stepping stone to hone your skills in the microelectronic technical field. Would not recommend to an experienced individual in the microelectronic field due to LAM's delay in customer satisfaction and technology.
bad,"My group had terrible direction and guidance under iffy management. Pay was higher than national average, but didn't keep up with workload and living costs-- made more money as a temp than a real employee."
