rating,review
bad,"We received a message that our agency has been terminated, they took off emails, and the system access while we were having 10 loads to move and 7 in transit. They don't give a thing whether you try to serve your customers well or not. Company has owed us $5 000 and don't pay carriers we have hauled loads with."
bad,I liked it t first then they open up overtime and I used to work about 120 hours every two weeks.The would get ride of you if they fill like your making to much money and the director wanted my old supervisor to go into all of my accounts and delete my notes which is falsifying.
bad,Toxic environment.  Supervisors unprofessional.  Harassed and intimidated some employees.  This particular company was like a revolving door.  Many employees lasted one week or less.  Pay was very poor.  Compensation and benefits are poor.
bad,"You train yourself & for yourself. Having to learn from your mistakes or just figure it all out on your own. On stressful situations, management cannot work under stress & disrespect employees with negative thoughts, words & feedback."
bad,They didn't care if I ran out of fuel or not. They only load a little bit of money daily for fuel on your card. You sit at truck stops days at a time waiting on a load. You have to.pay for a percentage of the fuel you burn as well.
bad,"Welcome to LSTR, here you are under paid, over worked and not appreciated BUT at least you have a job!!"
bad,You can buy a truck and lease it to Landstar if you want to but be warned: They are hiring WAY TOO MANY trucks! Their agents are about half shady salesman types and the other half are just plain dishonest. Getting the good work requires that you own a small fleet of at least 6 to 8 trucks because all the high paying freight goes to them. Its a swindle from start to finish.
bad,There is nothing the matter with Landstar.  It is just another fortune 1000 company that is bloated with tenured employees and has no room for a new employee to grow.
bad,"If you’re looking for high turnover just join IA at Landstar. Not only do they have just two auditors for that large of a company but they don’t pay enough for the absolute archaic ways they decide to audit. Additionally, they will never agree with what you write even though you know full well how to write better than they do. The operational audits are a bunch of fluff, and you will think you have a new career as a professional writer without your work truly ever being published, just nitpicked to death. SOX audits are required in between and you can never miss a deadline because God forbid the Board of Directors ever finds out. If you are coming from a streamlined organization you will not find that within IA. Why the CEO and CFO continue to allow this department to operate on a dysfunctional level is beyond comprehension."
bad,"This company American Frieght services by Landstar is nothing short of a scam.  First off, We wasted the first week and another agent gave us the MC number we needed to even start approaching shippers.  Every shipper I called said that they would no longer deal with landstar.  They say that Landstar is double brokering.  By the second week, only 4 people remained.  The broker changed the game and said that no we only have to worry about getting loads, well word quickly spreads and with the landstar name you won't even be able to get the first load.  After that, you still won't be able to get a driver for your load as was my case.  The shippers are low balling LANDSTAR agents and the drivers are HIGH PITCHING, so that you won't make anything.  The drivers always have an excuse as to why they cannot take your load and the BCO's are the worst.  Its a company on its last legs.  The industry has changed for the worst and Landstar has been BLACK BALLED, but now instead of them scamming the shippers, they are now scamming their own AGENTS!  run run run away and don't waste anymore than a day in their class.  If you have a job, don't leave it for this!!!  That's what they encourage you to do.  Because they KNOW its a scam and your screwing yourself over.  Don't do it.   You'll be very sorry you did!  Oh and he sent us an email at the end threatening us that if we don't show up for training tommorow morning at 8, that we will NEVER BE ABLE TO WORK IN THE INDUSTRY AGAIN... I'm gonna forward this email to EVERYONE so that they can see what kind of people Landstar has.  THEY MAKE YOU MARK"
bad,"Micromanaging, too much politics, no recognition for hard work, you have to be buddy with Vice Presidents or Directors to advance. They do not like nor support diversity. Unhealthy work environment and company."
bad,"Cut throat business, no real way to make money. Brokers took all extras. Brokers would try to change loads, place lower than advertised RPM and no tarp fees. Had to fight for the loads between all other drivers."
bad,Landstar is like a franchise. It's a freight brokering company. I did not like my manager and he made the workplace very stressful and hard to work in for everyone. He should not have been a manager but he was also the owner of this franchise that I worked at.
bad,"1st hour - code"
bad,Owner/Operator based company. Owner/Operators conduct business through a network of agents overseen by Landstar. Loads are displayed on an internal load board.
bad,"Over work"
bad,"The position as a data/entry imaging clerk..is awful..they have you working on these old dated scanners and expect miracles."
bad,"By far the worst company I have ever worked for. If you are into forgery, lying, cheating & stealing from clients & employees then this is the place for you. I would NEVER recommend anyone to Work for Little John Transportation, Inc (LJTSI), a Landstar Agency. It will destroy you from the inside out..."
bad,"automotive management were the stupidest people on the planet..slept their way to their positions. Director sleeping with the vice president of the automotive department. HR aware of the entire situation, and does nothing. Ridiculous."
bad,"I did not enjoy being middle man, searching for freight and then convincing drivers to take it for much less just to make a buck on their driving."
bad,"Need better training, Was hard to get started with companies."
bad,"The guys in shepherd, mi are a joke. This is definately one job I wish I could go back and not take. Everything from training to day to day interactions was overall a horrible experience."
bad,They gang up on any one they target. They put a tremendous amount of time and effort in finding your mistakes and sharing with every one but you. Management is passive aggressive on a personal level. Rules are adjusted according to whom they are dealing with. Not a healthy environment/no work home balance.
bad,I worked at Landstar for 5 years.  I felt they played favoritism with employees who had been there a long time even though they spent their time online shopping or surfing.  They treat everyone differently and not equally.  Discrimination at its best.
bad,"This review comes from a contracted carrier so it is n/a to office employees. Landstar, like most other contract carriers treats every driver the same - you're an idiot until you prove otherwise, and even then you're still an idiot That's why I decided to start my own DOT Operating Authority. "
bad,Did alot of work. Was always busy. Employees around you are nice. Management on the other hand a different story.   They are very rude and don't care about if you are even stressed. They except you do work your butt off.
bad,Watch what you sign. You cannot trust the independent agents who work for the corporation of Landstar. Landstar does not hold themselves responsible for what their independent agents due in regards to employee's
bad,Thankful for the knowledge and experience. Hard to learn alot on my own or to call old employees for assistance. Boss had her picks on who she wanted to assist. But overall it was a great learning experience.
bad,"The supervisor expected me to know everything in a week, he grew frustrated & fired me after 6 weeks....he was rude & glad I got unemployment off of them."
bad,"Just an all around awful place to work.  Liability Claims in Risk Management is ran so terribly. Good coworkers, though.  Stay away and look elsewhere."
bad,"Management there is horrible from the top down. The only reason most of those bunch of idiots are in a management role, is because they outlasted other employees who left and got better jobs. Many have no college and nothing more than a high school education, even up to the VP level. I have never seen a more cut-throat place in all of my years in business."
