rating,review
bad,"Empresa completamente centralizadora, gestao hierarquia, manda quem pode obedece quem tem juízo. Os colaboradores não são ouvidos."
bad,"It's to much like high school all over again. Way to much drama and the only way to have a real chance at advancement in the company or even true job security is being related to a supervisor or superintendent, being in some form of relationship with one of them. The union is very soft and mainly sides with the company over the union members."
bad,"It was good til the last plant manager literally destroyed all moral in every single person. He was very racist, even the black folks said he was evil"
bad,I think the management the bad of bad. they mislead workers and tell lies to cover up them. i seen them wait till day of lay-off and then tell their workers they are letgo. it is horrible managment.
bad,"A vezetőség egy nagy 0. Minek vesznek fel embereket a céghez ha nincs munka, a megoldás kiküldik őket szlovákiába , ha elfogadod a szlovák munkát a pénz az nagyon jó , de kérdezem én , akinek itthon van a családja ne legyen velük hónapokon keresztűl? Ha nem fogadod el a szlovák melot azzal fenyegetnek kirúgnak . Sajnálom hogy ilyen emberek vezetik a céget akikben egyáltalán nincs emberség, gratulálok! Nagy szar az egész vezetőség."
bad,Lear defiently had its pros and cons. i wouldnt suggest working for this company if you are a college student. also if you arent good with time management this wouldnt be a good job for you
bad,"Work with more dementia residents "
bad,I will never work for a corporation like this again.  No balance whatso ever.  Over worked and didn't pay   Will never ever work there again.  I don't even want to talk about it.
bad,aprendi muy poco sobre esa embresa el supervisor no daba indicaciones nos dejaba solos y en el area de entrenamiento nos tuvieron 3 dias y sin entrenar nada
bad,"Fun work palce with supportive management,but this is expected of a big company..The most enjoyable part of my job was working alongside of my colleagues and learning form them..The office started to get crowded as the company grew.."
bad,"Sai da empresa pois era uma empresa muito desorganizada, não tinha oportunidade de crescer."
bad,"No entiendo porque ha estas fechas con el siglo 21 encima siga siendo una empresa tradicional, y no tenga sentidos de empresa con manofactura esbelta,totalmente fuera de los parametros de las 5M,es totalmente visible que solamente con palancas cambias de salario,porque aunque cambies de posicion sigues ganando lo mismo."
bad,Lear Seating is a company that will kill your career. They do not support the management staff at all. No training. Company lets the union run the plant. Company does not address issues it avoids them at all cost. No team work. It is a fight every day. Company fires managers in wholesale lot. Materials Managers are fired for the operation issues of the floor they have no control over that effect inventory. You can not have all material manager no good one after the other.
bad,"Unless you’re willing to literally work your life away, not see your friends or family and get treated like (you know what)  on the daily, lear isn’t for you. It’s NOT an easy job, the actual work it’s self And dealing with the immaturity of your peers."
bad,8 ore de munca cu numai 25 minute de pauza. conducerea: o parte corecta dar nu se poate lupta cu partea incorecta. Sefi incapabili si nepoliticosi din Republica Moldova. se lucreaza in picioare la masina de cusut. nu exista parte agreabila a munci in aceasta fabrica.
bad,Pues si aprendi mucho de ella ya que estuve en varias lineas y en diferentes estaciones
bad,"Na minha avaliação de trabalho na lear ,o trabalho e bom mas infelismente o que estraga a empresa são os administradores que muitas das vezes não sabem administra uma grande empresa ,tomam decisoes erradas para o momento não aceitão opiniao de ninguem ,éssa é minha insatisfação com a lear."
bad,lo bueno es que no tenia experiencia en el area de soldar y me capasitaron para el mismo
bad,"Great coworkers....but HR never took anything serious. Pay sucked, team leaders weren't helpful. Neither were the group leaders. Stress was at an all time high."
bad,"This company is a manufacturing plant.  As a salary employee it is expected of you to work long days and some weekends.  Managements favorite phrase seems to be ""If you don't like it find yourself another job.""  From what I have been told this is a typical environment for a manufacturing plant.  This is my first experience working in a plant and I do not care for it."
bad,the work is not hard at all laid back but they lay off a lot just no job stability or no jobs coming in plant management is not what it could be pay is ok
bad,With minimal hours remaining on my apprenticeship program I was laid off. No future seems to be here. No new jobs coming in. looks like the plant will be shutting down soon.
bad,mytime in lear was very stress as i was constantly doing hard labour wokr for not a good pay but i over came it and stayed there because i could not find a better job
bad,"Mandatory overtime should be against the law, pay should be higher, the company needs to realize that people work to live, not live to work, high turnover rate"
bad,Las personas encargadas o supervisores eran muy despistados no se podía decir nada ni opinar porque surgían replesarias
bad,put glue on fence so it will stay together. stack on pallot make sure it stays together
bad,"Tengo una de las responsabilidades de trabajar con 8 personas ami cargo, el cual les entrego trabajo y asi mediante el resultado que genere ese conteo ciclico, se realizara un ajuste, pero para este ajuste se tendra que analizar el numero de parte .... es decir saber si hubo perdida o ganancia, este ajuste se hace en $"
bad,"Lear is a large company with good benefits, many hours, a lot of weekends.  High overturn rate, but a lot of good people with high seniority."
bad,"A typical day LEAR/IAC consisted of."
bad,"Я отработала в этой компании полтора года , ужасная компания , единственное радовало это вовремя зарплата и аванс , остальное просто ужас"
bad,management is corrupt unless u know the managers u wont really get far i learnt the team leader or zone leader role co workers are the best bit about the job the hardest part of the job is the rotating shifts
bad,"you inspects seats all day."
