rating,review
bad,Worked for almost three months thought I’d found the job for me meet a few good ppl there but soon as out time was up for our 90 day we got layed off they hired ppl like crazy but only while they were buesy after there orders were filled they layed all the ppl that they hired off told us one day we get our week paid vacation and personal day the next day they llayed us off so we got nothing
bad,Horrible place to work. Everything about this place says stay away. This company is not worth the time or day. I don't care if your unemployed you can always find better than this place
bad,It was the worse place I've ever worked..if your not Mexican your out....worked 520 hours on probation with the Hope's of getting hired but that company cut everybody on temp...promote telling on your co-workers...terrible place to work
bad,This job is a slave driving job top management doesn’t help with anything wont give rises work 6 days a week only one day off ... crazy crazy crazy job
bad,Management is not up to standards. They don’t listen to employees when trying to solve a problem. Supervision really suck. A lot of predudice going on.
bad,"Too much favortism, poor management they allow arguments and fights, unless its physical no one its held accountable."
bad,Wouldn't wanna ever tell anyone to work here. Treat people bad. Buddy buddy system. Bad management in the office and HR is terrible not for the workers
bad,"I wouldn’t recommend legget and platt to my worst Enemy, line leads don’t even do the work correctly when working on line which is very rare they even work on the line as per line I worked on which was 3 , line 1 & 2 had there stuff together , realized after 6 months of being there not many people stayed due to how poor the line lead treats the workers , he walks around on his phone all day and works when he feels like it , A lot of drama which leaves negative energy , pay isn’t worth all the stress"
bad,"I replaced  the last receptionist who got a promotion to the customer service dept..  she was fired after 3 weeks??  management  didn't care ,  they fired me the same  day I got back from vacation, for NOT doing someone else's job  ??!  people came and went,  they never stayed too long,  they wanted to give me a  15 cent raise??!! co workers had their click,like any job .  they went out of business 2 yrs after I was gone."
bad,"I wouldn't buy anything from this Company.  Over priced, sub quality work. Must products carry the prop 65 label that states the items are known to contain agents that cause birth defects and cancer"
bad,Dirty hot and cold place leaks unsafe and old not much good about it it was a job til they closed up but the people was nice to work with down to earth and helpful
bad,They are a horrible company and won’t work with when your sick and or you have kids who are sick they will fire you in your 3rd time you’ve missed even if it was a family related issue or you have child support issues they don’t care about there employees ever!!
bad,"Leggett & platt years ago was a good place to work , it has really went down hill in the last 4 years . We have horrible surpervision , they have slowed the line down where we can’t make any insentive"
bad,I didn’t like the job because of safety issues..I was injured while working there that my employers said wasn’t severe enough to leave and go home..and I still have the same pains in my hands as I had before
bad,"It was a fun place to work. Very laid back, not a lot of pressure from management and not a lot of over time. Co workers easy to get along with. Management very understanding to needing time off"
bad,Place needed a lot of organization. Not the right management in place for job asking to be done. over all did enjoy the culture their. everyday was a different day of work.
bad,"Cut throat"
bad,"Fast pasted, stressful, to much favoratism, over worked underpaid, alot of days we have more downtime than work, alot change overs, and everything changes, bed rail, bag parts, instructions, boxes, end caps,"
bad,Working for this company is overrated. Long hours and back breaking work for little to  no money. Supervisors are extremly biased and only care about the elders of the company vs the needs of the new comers.
