rating,review
bad,"In my department, there is no advancement or annual compensation. The management in place in my department runs it as a dictatorship and never listens to your ideas. There is supervisor in place that has never supervised anyone in his life. The environment is toxic and no good schedule options."
bad,They expect you to give free time without thought to what may be going on in your life and if you work your 40 and leave you are verbally chastised for in front of others.
bad,"Terrible contract, no support, everything centers around money. It was a complete waste of effort and time.  Even if you make suggestions on how to make improvements if there is no profit attached then it will go nowhere."
bad,"poor mgmt in chesapeake va."
bad,"The job was not what I thought. The people were nice but the management was not compatible. It was not the best working environment, to say the least. I am sure there is more to the company but my experience was not the best."
bad,"I will never work for Leidos Inc., in the Omaha area ever.  At all levels of management was dishonest to employees.  it was a very hostel and uncomfortable work environment."
bad,"Lousy benefits, no option for advancement, absolutely no corporate culture, no leadership structure, poor pay, revolving door of unappreciated employees and turnover."
bad,"Leidos is managed by people who do not care about your future, just their immediate gains. Unrealistic expectations, no guidance and all blame falls on the worker."
bad,"The reason why I am seeking a new job is because of my dissatisfaction with this company.  My employment was due to a buy-out.  Since the new position, Leidos has (a) increased the cost of my health care, (b) reduced the bereavement leave time from 3 days to 1 day, (3)  has taken away ALL sick-leave, and (4) now requires any leave (i.e. sick, bereavement and vacation) to be charged to accrued vacation time.  Vacation time, now called ""Personal Time Off"" (PTO) remained unchanged (i.e. did not absorb the now taken-away sick and bereavement leaves).  In other words, if I previously had 100 hrs of vacation time, 10 hrs of sick leave and 36 hrs of bereavement leave, the new system retains the vacation time only, forcing vacation time to be used for sick, vacation and bereavement times - all unadjusted."
bad,"Deceptive hiring practice.  Presented with one the option to work 1099 ,but resend offer upon final hiring. This stunt was presented after you made plans to travel to customer site."
bad,"great company, good people, work is enjoyable.  I would for them again.  I was too far away from my home in Mass so I decided to leave when I was approached by P&W."
bad,"This contract is under extension, so don't look for any benefits. If you're a serious safety or manager don't take this job, the safety position is a scam, and the managers are a bunch of bullies. There is no ""Safety Program"", and the status quo is there's nothing wrong. The safety manager doesn't manage anything but is the vassal of production and is expected to just check fire extinguishers with productions wishes.  This attitude goes right up the chain, so don't look for any backup from your manager, HR, or corporate safety.  But if you want to sit in the office and collect a paycheck, power to you."
bad,People that end up working here never ever get fired but always quit and find better places to work or places that pay their worth.  I currently work here and I regret the decision
bad,Consistently lied to and about by Sr Management.  Did not keep promises and ignored talent within their organization.  Consistently placed people in a no win situation and would then blame them when something went wrong.  Would give unethical directives and when the customer found out they would use you for the scape goat and terminate your employment.  Tried to do too much with too little and expected people to put in 60 to 80 hours a week.
bad,"Not the same SAIC envirnomane your use to. This is a numbers only company and the benefits are not great, all management is poor and I would not recommend"
bad,Only care about money not the staff. Laid good workers off because of outsourcing and greedy managers. ...............................................
bad,"Despite countless complaints to the anonymous ethics line and HR, issues with management span 18+ months. Half of the team have left and been replaced with subcontractors. Staff is miserable. Since client is happy - the contracted staff's happiness is not a concern by anyone."
bad,"Pros- fed holidays off"
bad,There is a culture of reverse discrimination where minorities receive extreme preferential treatment.  Lay-off occur randomly and without clear performance basis.  Example:  Last person hired on a team gets laid off if the manager doesn't meet the budget.  Very hypocritical public advertising...
bad,Company does annual performance reviews but does nothing with them. I have never received a pay raise and the customer that I  support has been extremely pleased with my work.
bad,Regret joining it.it's been only a month and I am already actively looking for another job. it sucks to work for such unprofessional group.If possible avoid it.
bad,Watch you back.  Back stabbing is common place.  Management does not protect the staff.  Workload is heavy and training is minimal.  Expectation is that you can figure it out on your own.
bad,"As with any corporate environment, you work in a cubby and are expected to work and not talk. Management is very much about the buddy system, so if you're in good you will promote. This is widely known throughout the Tucson organization as they prefer to hire family and friends. Management is not often trained in the departments in which they manage."
bad,company does not care about there employees and treats you like you are a robot
bad,"No. comment. Do not wish to comment."
bad,"Manager's don't have a clue what boots on the ground are experiencing, all they want is to cut costs to include your salary.  I don't recommend them as an employer."
bad,"If you are smart or have advanced engineering degrees, don't work here. The only thing that works here is being in the clique. They discriminate against women engineers and promote the male engineers who are part of the clique. They have unethical business practices and commit contract fraud with the Federal government and does not care. They are the worst employer.  Stay away or you will face the same treatment especially if you are a female engineer who is smart."
