rating,review
bad,I wouldn't recommend working for this company.  In my experience they will tell you one thing but do another and only if you are a top dog will you be treated as if you matter.
bad,The people that worked here were rude and would talk about other employees behind their backs and fired people without a reason but would make up lies.
bad,"Middle management is very unorganized leading to high turnover rates, low patient satisfaction scores, and little to no chances for advancement. Numerous clinicians have left this organization due to the unqualified middle management that oversees multiple clinics resulting in delayed pay for employees. Be aware, stay away from this employer."
bad,Probably one of the worst places I have ever worked.   Management is horrible from the CEO down.  Raises are rare and its always short staffed.  They cover up mistakes.  If you approach cooperate every that is a problem magically disappears.   They are a for profit.  And their main goal is profitability.   Not patient safety or satisfaction
bad,"High turnover and difficulty recruiting, but they don't value the people who come to work for them."
bad,"Run!! The worst place ever for nurses, patient safety is non existent! Nurses are treated terrible, patients are only a number, nurses forced to take unsafe patient load."
bad,Don't waste your time.  They are all about hiring people of non color.  I was talked to like a meaningless animal.  It's just not worth it.  Plantation days are over.
bad,"As a former employee there is so much expected of you! You are expected to do the job of 4 people and have Zero overtime. I worked regularly 3-4 hours after I was scheduled to get off work. Benefits are expensive and horrible they cover little to nothing and you still have large Bills. They do not hire enough staff, very stressful enviornment and you will fear for your professional license working here with some of the situations they put you in. Horrible managers who care nothing about their staff! This is a horrible place to work!  You will burn out so quickly on a job you once loved! Pay is very low with little to no chance of moving up in the company!"
bad,"Terrible leadership, poor communication, managers do whatever they want and everyone else is treated like a slave. HR watches everything you do like a concentration camp in Germany. Benefits are not good and they just are not good people."
bad,"I wish I would've known people who had worked here before ever wasting my time applying. Compensation was great but if you factor in the workload, poor management and the stress then the pay isn't worth it. You get hired by HR because they want the best but then Management (team leads) can't stand if you are smart and know your job- you then become a target. Employees are pitied against eachother and it's like being back in high school. Worst work environment I've ever experienced!! Training is hit or miss. One team lead has ran off over 8 employees in less than a year and no one has realized or done anything yet. Director acts oblivious to things happening due to hardly being at the office. If they could see the real problem at hand the company has potential to keep great employees. Also health benefits are pricey compared to most healthcare companies around."
bad,"Management doesn't care.  No promotions nor transfers to another department.  HR doesn't want to help."
bad,"I had worked here previously and was happy to come back to such a family oriented hospital. Wow, was I wrong!. So much has changed in over a decade and it is now anything but family oriented."
bad,"I love this place all of the ""O"" team is amazing. Infection control officer is terrible, and gets away with everything."
bad,"No concern for patient care or staffing needs.  Getting to be a dangerous place for patients.  Nurses way overworked, lower pay than other area hospitals, and we are a trauma 2 level hospital.  All of the patients at higher paying hospitals come to us.  Ancillary staff getting escorted out the door and fired with no warning.  Health insurance is good, but we are in negotiations and they are trying to take it away from .8 and below nurses.  Constant 16 hour shifts, nurses being  made to take more patients than what is safe.  Used to be a great hospital, but not anymore, and Duke doesn't care at all.  Horrid place, looking elsewhere for work."
bad,"Due to healthcare reform and other issues, the culture at LifePoint has changed in the past few years. LifePoint has become much more ""corporate"". Career advancement is difficult unless you are hired in at Sr. Director, Vice President, etc. or above.  I think many good people are overlooked for opportunities because the company seems to like to hire outside applicants over internal promotions. It doesn't seem like loyalty or time with the company matters that much to LifePoint."
bad,Lifepoint hospitals struggle to simply meet needs both of patients' and staff.  The are truly inept at providing good care which makes it next to impossible to do good work for them.
bad,"The management practices of LifePoint are not conducive to long-term sustainability. Exhorbitant Executive Officers' compensation and shareholder return are delivered at the expense of sufficient number of hospital personnel, adequate equipment, training, and adequate compensation for hospital employees."
bad,You very much feel like a number instead of a person working at Lifepoint. The most important thing is the bottom line. Not efficiency or patient care. It's all about profit.
bad,"Frequent management changes, uncertain job stability. Often too many responsibilities placed on employees without the time needed to complete tasks assigned."
bad,"Not the place to go for growth. Compensation for the staff below average."
bad,"After a glowing performance appraisal 4 month's later i was laid off at Lifepoint HSC in Brentwood. This was the 3rd layoff in one year. All good people, now their lives disrupted. Meanwhile the CEO made $12m. This was a down year for him. It has been much more in years past. The O's are bleeding this little company dry, meanwhile threaten to lay off everytime the stock dips. "
bad,"micro managed, unfriendly coworkers, good benefits, no room for advancement, no consideration given for appropriate work/life balance.  Never hear from CEO but one or twice a year."
bad,"management is terrible, nobody knows what is going on and just passes issues around and nothing ends up getting resolved, PTO and making up time is a pro to this job"
bad,"I was able to keep up with managing my work only if I worked 14 hour days bc I was forced to perform nursing/managerial and Nursing Assistant functions throughout the day due to lack of staffing. There was terrible employee culture, which I was tasked to fix as a ""leader"" but was not given any of the authority that leaders have...mainly to staff proactively."
bad,The company overall is good but middle management lacks the ability to provide leadership.  The current management is going through a merger and it is clear that the current management has a huge amount of insecurities.  There is no direction and no clear communication.
bad,"Stressful and ZERO chance for advancement. They have a ""reorganization"" every 1.5 to 2.0 years, however they pay well for what short time you are there. Benefits are decent. Healthcare is expensive unless you go to a LP facility."
bad,"I have been employed with Lifepoint Health for almost 4 years now. I started out as a FLOAT, but was placed in PEDS DEPT first. I was unsure of being there, because working with small children was not what i was used too. I had worked with Geriatrics in the past and that was my comfort zone. The day I started, I was placed with a seasoned nurse that took me under her wing and showed me what a true PEDS nurse was. I knew then that is where I wanted to be."
good,I was put on work restrictions by my doctor and was let go because of this.  There should have been no problem to not accommodate these restrictions.  I was a hard worker and these were temporary restrictions.
good,"LifePoint has grown to large to fast and therefore has a poor infrastructure.  Management is to concerned about the next acquisition and keeps subordinates in the dark until the last minute,  Travel is excessive and the reporting structure is not clearly defined."
