rating,review
bad,"The company has a lot to learn from other cultures, unfortunately, for an international professional social media company, they hire only in 2 directions, there's no real diversity."
bad,"The company is a great one, management could use better training. "
bad,"My worst week was ~90 hours.  I continually put in 60-80 hours weeks and had coworkers arriving late and leaving early.  Would not recommend. The food is good but the culture is boring, like eating cardboard."
bad,Too many competing priorities. Management does not enforce any discipline. Need to develop some top - down prioritization and create standards for the work that is done across the teams.
bad,"LinkedIn has the potential to continue living up to their mission, leading with compassion, but the continuously high quarterly quotas and lack of good upper management, make it a place where you are not confident from one day to the next where you stand. "
bad,"The company was filled with ex-contractors from Apple and they treat as if you are an unwelcome entity. My manager was Asian guy who has zero respect for senior consultants like me. Your suggestions and ideas do not matter as you should do what an FTE employee tells you, even if your suggestions/ideas were to improve the quality of the product. Day in and out you were treated with disrespect. I worked in other companies like Facebook, HP etc and I was treated with respect. My manager was micro-managing me and criticizing is the only thing he excels in doing. Zero appreciation from any quarters. Good that it ended soon and I am back to where I loved to work"
bad,"Working here as sales manager. Role involves, "
bad,"Co-workers are nice, opportunities to learn new skills. Testing org overall is most hardworking set of folks in the org always meeting the demands of the business"
bad,"People used to work very hard to get things done, and collaboration was smooth. "
bad,"Culture wise Linkedin keeps its people engaged. "
bad,"Everything is fun and games until the company culture is in question. Food everyday, most are friendly however billing dept is very questionable. Not what a person would expect of this company. I was harassed badly on a daily basis. Everything from having my belongings gone through, my business and personal email watched, my car keys were copied. It was reported and nothing was done about it. They like to make fun of peoples situation (health, whether you own a home or not etc). Basically if youre not on their clique, you will be pushed out of the door."
good,"Management sucks. Good food and place to work and perks! Parking is a nightmare at some buildings. Its easy to get around if you bike or walk, and sometimes even faster."
good,"Though its known for great work/life balance and you get great benefits,great food and interact with friendly, smart co-workers, the work/life balance part does not really hold true if you have a bad manager. There is a side to this company that really needs to improve - it has really inexperienced middle level management and almost no accountability for the manager - they can pretty much do what they want and no one holds them accountable. Unfortunately, your life can be difficult at LinkedIn if you have a bad supervisor. Upper management is great though. Investigate prospective manager and team thoroughly before accepting an offer."
good,"I never felt save or stable at work, bad environment and inconsistent."
good,"Typical day starts at 6:30am where I respond and read emails. "
good,"La cohésion d'équipe, le contact clientèle, ticket resto"
good,"The culture and people you work along side really makes any task or the job at hand easier to do. There are also lots of perks like the benefits package (Health Insurance, Pension, free meals)"
good,"•	Received daily incoming packages from UPS, USPS, FedEx via scanning each item into computer to generate a log of when items came in and for who."
good,Wish I could have stayed were I was as a contractor. The management staff was excellent and gave me everything I needed for success. I loved my time working for LOS
good,Em Latam ruim - fora do Brasil muito boa - o que estraga uma empresa são as pessoas
good,Great company to work for but need to work on hiring contractors and keeping people that have really added a lot of value to the company in genera.
good,Lärorikt och spännande arbetsplats med massor av möjligheter och FOB
good,"Good tools used for the business"
good,"Best place as a workplace culture"
good,"al ser una asociación sin ánimo de lucro, el ambiente es bastante agradable y dinámico."
good,I never worked at Linked In. I don't know why they are including this on my application. I only use LinkedIn to apply for jobs and network. I'm sure it is a great place to work.
good,A lot of initiative to have every employee to grow while at LinkedIn. There isn't a whole lot of people that look like me or come from my socioeconomic background. So I spent a lot of time isolated because I didn't/couldn't relate to my team mates
good,Get the opportunity to work with really bright people but analytical teams tend to have much longer working hours. Otherwise the benefits are great and you will definitely learn a lot.
good,"LinkedIn has the standard tech culture that defies traditional, conservative professional culture.  No dress code. Employees skateboard, play around, etc in the middle of the work day.  There's food everywhere, etc.  I didn't have that positive of an experience because I didn't fit into the culture well.  It was too much fun (never thought I would say this).  Also it wasn't diverse.  They claim they want you to bring your full self to work; however, they more so want you to bring their interpretation of what your full self should be to work."
good,"You can be the top performer in all areas and get a rating of ""exceeds expectations"" at each review, and still get laid off.  They tout their ""culture and values"" but do not really exercise them."
good,Link takes the security of their clients very serpious. This company is also willing to train those who have no previous  experience and have a flexible schedule.
good,I developed many KPI dashboard for all product lines and worked a lot on management reporting. I also worked on many valuation cases.
good,I learnt a lot working on some cutting edge technologies! I enjoyed working there.
good,"Buen ambiente laboral, comedor subsidiado, cerca paradas de buses y tren"
