rating,review
bad,Great people lots of fun got to see concerts the boss treated people great work as a team enjoyed my environment got to me a lot of different people I was giving task and a timeframe to do them and learn a lot of new stuff
bad,They treat us as adults like we're children while working for themselves couldn't talk. The pay isn't worth it and we're standing the whole time besides breaks and lunch.
bad,"Very dead end kind of position.  Ticket Discounts were ok, but for a job that required you to be professional even outside of the work place the pay was mediocre."
bad,They will use you and for cheap. They care nothing about you or your family. LN is a joke and hope one day they get bought out and all the higher-ups lose their jobs
bad,The managers at the hollywood palladium are absolutely terrible. Theres no pay structure. Supervisor made alot less then ushers in some cases. House manager would take the confiscated drugs for his personal use. Definitely would not recommend workingat this venue.
bad,This is not a place to work. Management doesn't care about their employees what so ever. They don't give you the overtime or the money when you do!!!!
bad,I was sexually harassed by a fellow employee . my supervisor wouldnt give me a bathroom break when i was 7 months pregnant. It was nice to see the concerts while working
bad,"With regard to production, Live Nation is a horrible employer. They will not hire you securely as a full time employee. They won't even hire you as contract. You are an 'as-needed' employee until you work enough hours that your audited labor requires by state law, LN to offer you benefits. This does not mean you are full time, you are still 'as-needed' it only means they are forced in to giving you full time benefits as specified by labor law. This is not a guarantee of hours. Secondly, their pay scale is miles below the average acceptable rate for the jobs they hire people for. They sell the low wage as an introduction wage, or negotiable after the 90 days probation period. They offer  minuscule raises beyond that. Working for this company has been nothing but a disappointment and a real eye opener. They care about the bottom line (money) and have zero regard for their employees that physically put on shows. I have a feeling an executive assistant somewhere within Live Nation would feel differently, though. I bet it's great to sit behind a desk as a LN employee, but for those actually putting on the shows they sell, this job is the worst."
bad,Hated working for. it really sucks when its hot your out in the sun burning up and never can advance in jobs.
bad,"While the restaurant may be good, the SECURITY in the concert Hall is ridiculously Bad!!!! I have seen people smoking pot right in front of me, and I am told to let it go.I have watched people do coke in the bathrooms and had to let it go. I have seen People with Knives clipped to their belts let in.I have seen security personal get jumped with little back up. This is a seriously dangerous place to work at. Let alone see a concert. The guards don't care, it just an easy pay for them. As long as the customers are happy,  House of Blues does not care about their safety or well being. Bartenders are constantly over serving customers. Making the concert Hall a drunk free for all!"
bad,"Not really much to say outside of it being seasonal work. I worked in housekeeping so I was in charge of making sure bathrooms were stocked and the venue was swept clean. Overall, we were never understaffed and work was easy."
bad,"The calls are back to back and can be overwhelming, rude customers and supervisors are never there to help. will never work at a call center again!!!!"
bad,"Ticket takers do security work at the end of their shift by policing guests as they leave the venue. Ticket takes to pick up dangerous trash.Low pay."
bad,company structure is screwed up. You will never advance or make any commission. everyone walks all over each other and treats each other horrible. worst company i have ever worked for.
bad,"I was a ""temporary"" employee but I worked there for 6 years. (I left for a year and came back because I'm dumb.) I got no benefits of any kind. I routinely asked management to train me for a permanent role. I was willing to learn, grow, and do more but no one cared. The structure was pretty chaotic. When I left, my job was posted for twice what I made, as a permanent position with full benefits. I tried hard to make a name for myself but there was no room for advancement. Once you were a ""temp"" you were a temp. The culture was pretty cliquish, everyone wanted to be a cool kid because it's live music. I worked at a venue. There was questionable activity constantly on behalf of our operations staff, who were also ""temporary"" permanent employees. Everything there was shady. I really liked my manager, he was a good dude but I wish he'd done more to change things."
bad,This job requires total dedication. 15 hour days that never end. It was fun and the staff were amazing. It's a very draining and life consuming field.
bad,"Don't do it. The headaches are not worth the money. Plus everyone does whatever they want, no structure whatsoever. Hr is not even in new york state."
bad,I would never work here ever again. The managers are lazy. Some do drugs and the head chef is slow as dirt and has no idea what goes on in the restaurant. They are racist and the way the speak to most of the individuals who work on the line is very unprofessional. The Gm for the restaurant just left because of all the problems as well as several other managers. They can’t keep staff. Only good thing are the benefits and the hr team and a few employees otherwise a complete utter mess
bad,"I think there is a lot of disconnect from corporate to the local office.  It could have been an awesome place to work, but the GM is out of his league."
