rating,review
bad,One of the worst places I have ever worked. Managers get fired or quit monthly. Every qtr upper management cuts hours to have less people do more work. Even if you hit all their sales goals the raises are minuscule.
bad,hands down the worst work experience of my life. tight knit locals who shun anyone who is not “native” to the area. lots of turnover and hiring of lazy drug using students from the university down the road. the manager is a pointless waste of space who radiates self importance.
bad,Worst job ever lowes will drop you for no reason they are a bunch of racist the company is run like chicken night in turkey the managers are idiots all lowes cares about is numbers and profit and they treat the employees like animals and all they do is lie to you my advice stay away and don't work at Lowes it is a junkyard trash dump company cause all managers ate nothing but trashy people
bad,I filed a harrassment complaint and the management didn't do anything about it because they are all friends with  that employee. When I asked to move departments the manager wouldn't give me the same hours.
bad,"if you are hired, you will not necessarily be hired for the same job you applied for.  only management get full time.  way to much drama between staff."
bad,"I had previously worked at a Lowes RDC and it was awesome. Recently worked a short time at a store and it was so degrading, low wages and zero help or training from my manager as though I wasn’t wanted."
bad,"Schedules are subject to change without notice, cashier's aren't expected to make conversation with customers, and the managers are always on your back about speeding up when the customer is taking their time at getting their money or credit card out to pay for the purchases"
bad,"I never really got the help on getting  thing's done.The Zamboni never got the item's for cleaning the floors and other misc.I didn't mine the place,but it was the feeling that i should not be here to much longer."
bad,"Just like it says doesn't matter, the company gave you a goal, one setting you up for failure and then they will see to it you are removed. Want to have an asinine goal to hit, want people to tell you to do the wrong things and then lie about it after the fact when you don't know any better; work here. Want to be told you count in front of everyone and then just how replaceable you are behind a closed door; work here. Want to be told you will get no training to fulfill your new role because you have been around awhile and should already know it..... you guessed it work here! When you see those new faces on the register with no vest and they are the only one there, guess what; that is their training - Trial by fire."
bad,"Please, do not apply at lowes in marrero. Racist managers, incompetent managers and do not care about your life outside of lowes when it comes to the schedule. Beware if you have kids that need to be picked up from school, you will never make it. Their policy is lowes before everything else. If you work a second job, they will force you to quit one or the other. And most importantly, Reporting anything to HR is an absolute joke. They will take your report, go back and tell the managers who reported it and what was said and you will be targeted from then on until you quit or make a mistake and be fired. This is not rumors, this is experience."
bad,Does not care about the employees.  The hour get cut with no notice if they don't make their sales goals the day before!  There is never enough staff to cover the departments.
bad,"Low pay for most, poor work environment. Management very disorganized. Ok compared to some places but still not quite there. It’s retail so can’t expect too much from Lowe’s"
bad,"Management sucks, they play favorites. People don't complain to others but run to management like they are a 5 year old. very disgusting. Management DOESN'T TRAIN for power equipment, makes it frustrating to tell customers. Sorry you have to come back no one can help you. "
bad,"Most managers give a very small amount of information about your job.  Managers are hard to find.  Policies on returns are not the same on each day or customers.  This causes not very much confidence in management.  When you give company policy on returns, management does not back you or company policy's.  This causes customers to not trust you as an associate.  Work issues with checking each morning with reports on inventory take to long.  Computers should help with this issue. Lots of associates just put any number of products on there report."
bad,Lots of favoritism. Management and others seem to gossip alot.  Not really room for advancement. Lots of backstabbing. Do not work here.  They don't really care.
bad,Mangment isbad. Store manger is the worst i have ever seen not a family store at all noone is happy there things need to change or they will loose more
bad,Lowes is a bad qorking enviorment assistant managers gettin fired escorted out sleeping with DMS . They treat you with no respect disrespectful. Managers are not very  nice. All in all it was a bad experience it was not the right fit for me.
bad,One of the worst work environments ive ever been apart of. Management was very unhelpful. Very high expectations without proper training. I would not ever go back to working for such an awful place.
bad,"Horrible leadership, unrealistic expectations, no accountability, not compensated for work. Harassment is tolerated, preferential treatment is rampant,."
bad,If your are not part of management inner circle then do not expect any type of raise time off and no matter how loyal you are to the company still beware of being let go at a drop of a hat with no explanation
bad,"This company doesn't care for its employees, the only good benefit is the vision insurance, there is no room for growth, and management relies heavily on nepotism to fill job openings."
bad,Terrible place to work they dont support you or appreciate your hard work for them and your loyalty to the company ... God forbid you have a customer that is stealing! Because you job is to detour them!!! If you say anything to the customer you will loose your job! Even if the customer pays for everthing 😣😠😡 you are the bad guy not the good guy!!!
bad,"Horrible management and underpaid for the type of work you have to do. Lots of physically demanding work, very poor management, and the schedule is very inconsistent Lowes thinks working 30-40 hours weekly is part time. Overall just a poor company to work for."
bad,Political hub. Spineless leadership. No support from US counterparts. Bad culture. Nothing to learn. Food is bad. Facilities are eyewash. Too much favouritism.
bad,"Thankless job who only cares about the bottom line.  The ground is always moving below your feet, constant turnover.  You will have no idea if you have a job from day to day. Everyone is highly disposable and this company has proven that day after day.  Leadership team will do anything to make them look good, even if it is you losing your job.  Pathetic because there is a ton of untapped talent in the store that want nothing to do with moving up because they see how the management team is driven into the ground day after day. 70 hour work weeks are the norm for management."
bad,Imagine trying to climb a mountain with a backpack that weighs a much as you. Each and every step.... management adds another 5 feet to the top while your co-workers ( who you have done everything you can to help them) throw boulders at your feet. Store manager spent more time building himself up instead of building his team yet had no idea of how to use a pallet jack let alone cut 4 strips of tape to set a side stack. Should go back to selling shirts and ties.... not sure was good at that either
bad,it is was a very toxic workspace! hours are horrible and I legit felt as if I didn't belong in the store what so ever! I am very glad that I quit and will never go back
bad,"dont even apply, the management are naricistic pigs, its hard to fathem how they go through help as they do. dont care about there employees they look for reasons to get rid people that threaten there jobs"
bad,"The company is a a horrible place to work, they do not focus on employees or family..they are currently in a state of only hiring and promoting Walmart and home depot people"
bad,From management on down lowes upper staff are caddy -back stabing -unsupportive cliquish -play favorites -make rude comments- turn their back on you -write unprofessional and threatening emails globally-make absurd assumptions -tell lies -spy- eavesdrop - it was a waking nightmare
bad,"Complete waste of a job. Not the company everyone thinks it is. Secrets all over. Pay is lied about upon entrance,  managers show favoritism, far from clean,  can be cut lose by any means necessary"
bad,"The store I worked at was a disaster, bad management and poor morale. Multiple managers have been fired from the store and employee turnaround is insane. I only hope the store is a better environment as there are generally kind people there but with low morale."
bad,company does not back their employees.worked for 9 years and was fired because a customer lied about an incident and what was said.It did not matter that I did not say what they said I said.No loyalty to employees
