rating,review
good,A typical day would involve standing at the register dealing with customers on a personal level.
good,A typical work day may start at 5 am or end at 11 pm each leader worked 8 to 10 hour days.
good,"A typical day at work was exhausting. It usually consisted of loading an unloading trucks. Also would drive forklifts regularly through out the day. Answering phones was also a main part of my job. I learned how to persevere even when you are tired. My co-workers were all hard working men. They would always be at work on time and ready to perform. Hardest part of job consisted of the physical labor. Enjoyable part was having the closeness to my co-workers, I felt as though i could count on them at anytime."
good,I am a seasonal employee at Lowes Store 1163 in Memphis Tn. I have enjoyed my experience at Lowes.
good,management is ok
good,Usually a typical day would consist of morning meeting and evening huddles. The whole store had opportunities for every associate. You could learn things in one department that you can extend into other departments. Every associate working in there was friendly and welcoming.
good,pull dackorder and help get the better price on the order and had it rade to pick up in the morrning by 6:00
good,Has oppurtunties to advance in the store. good management and very nice people who patron the stores.
good,great place to work. Work 35 hours per week checking and sacking groceries. off on week-ends.
good,Loved working here and with the people.
good,"I am looking for a Monday-Friday work week, not a retail position."
good,"It's sort of like working in a department store, but with building materials. If you don't know about certain things you're kinda limited when it comes to helping customers."
good,Lowes is a great company to work for. Very flexible with shifts and hours. The management team cares about its employees. Pay is fair and there is room for growth within the company.
good,"Depending on the day or shift I work it can be really steadily busy or really slow depending if it's the colder months. "
good,"The culture is certainly changing with the new CEO and I believe for the better; the ones who don't like it are the ones who've been there for far too long skating through doing the minimum required.  For the most part, the management where I'm at is very good.  Of course there is always drama, but stay out of that and you can go far with this company."
good,"Lowe's feels frantic, but fun. I always had something to do. My managers always led me to do my best. I never missed a break and could always take one if it got too much."
good,"every day is different but you can handle anything that comes your way, the employees there are nice and great to work with. you'll learn a lot about home improvement and what best fits the customer needs. depending on your department you might have to do some heavy lifting for several hours."
good,"A good place to work for the pay I got was good.   Most of the people there were good. They didn't have enough people to cover the jobs they had,  so put more work on us that we couldn't get done."
good,working at lowes was a great time to work there. The manager team help me become the best worker. it was hard in time but it was soo fun to work and pay well
good,They are a good company . Things have changed in the past couple years. But when I worked there it was a fun and positive experience. I would recommend  this job . The one by Costco
good,Lowe's is a great place to work. There are so many different jobs available  at Lowe's. The managers care about your well being and know that you have a life too.
good,Overall it’s a great company to work for. They have an awesome vision benefits. Offer training classes and schooling. 401k is a decent match. I’d recommend working for Lowe’s
good,"Enjoyed working and especially spending time with co-workers. The people there made all the difference. The money wasn't great, but I was in school so the extra work helped out."
good,Nice atmosphere. Family and pet friendly. Understanding management team. Flexible schedule. Management is helpful and shows empire appreciation. Very nice place to work.
good,"again enjoyed working with people and management.  Sometimes "
good,They always keep you busy and you do many different things through out the day. The co workers are great and the managers are usually flexible with your schedule if you give them enough time in advance.
good,I would strongly recommend this company to others. The management does go out of their way to ensure the employees are happy and well as the customers.
