rating,review
bad,Working for this place I got putt on public display after and incident and it became a hostel work place  for me and when I worked there it’s was stressful and I started getting sick I reported that one of my fellow co workers touch my backside and nothing was done and after I did that I was separated from the company in retaliation and I have not been the same sense the incident happen while this whiperson still works for them I had to find another job
bad,"I went to HR for my subordinates screaming and cursing at me then I was the one written up  "
bad,MGM touts that they are big on promoting from within.  That's a joke in my experience.  I have applied for multiple positions which I was highly qualified for and found they've hired from outside.  Liars!
bad,Management doesn’t care about their Employees. They are deceitful and shows favoritism to certain situations. Very disappointing for a company this large. I wouldn’t recommend anyone working in the Security Dept. Very bad experience for me
bad,I wouldn’t recommend working at MGM resorts to anybody. Management treats their employees terrible. It shows in their ability to retain employees at the present time.
bad,At first mgm made it seem like it was fun to work at the contact center but once management wasn’t in the same page it became very stressful. After a while i was unhappy with the company.
bad,They don’t care about the employees only making a profit or abort conditions do not stand by their word low pay rate when promised high pay rate  and quick to write you up and terminate you for any little reason I work security for most underpaid departments  and un appreciated.
bad,MGM managers needs more training they are disrespectful toward people. The food make. You sick manager sit in the office talk about the worker's like a dog. The have poor training .
bad,very dangerous job dealing with drunks and people who carry guns that you'll never even see until they blast you in the head securities the worst terrible job very very dangerous you could be killed at any moment and they could care less about you terrible place to work terrible just terrible don't work there as a security guard
bad,"Avoid working in this place. It's like having a dysfunctional spouse. They threaten & cause stress while teaching the goodness of being a kind servant supervisor. These people will lies, cheat, & steal your life away if that had their way."
bad,"I worked for the conventions external network teams."
bad,"Harassment , 5 employees-co workers,  in the same day left work place in one day, they could not stay any longer with poor management and management above not helping at all."
bad,As a salaried Chef I don't recommend working for this company at all ! I constantly had to work 12+hrs daily due to being short staffed. MGM 2020 has cut so many hard working Employees just so they can make more and more money company wide. I was literally let go while coming in on my day off to work. I was a salaried employee so I don't get paid extra for all the extra hours I put in. The turn over rate here is horrible. Chefs do not allow you to grow and treat you like dirt. Be prepared to work longer then your own manager.
bad,Would not recommend - even Director of HR is corrupt. Was told BY the HR Director that I needed to see professional help. Constantly belittled. Poor leadership.
bad,"I worked for 1 year and I had to leave for better opportunities. No promotion or available spots. "
bad,"cleaning up to 20 rooms, Managment was unpleseant. The money was good but the company cares about money more than the employees. Over all good experence to know that i would not be interrested in working for the MGM in the future."
bad,"My typical work day started with a staff meeting,and getting my paperwork ready for the work day, i learned to be more supportive of staff with training. my management was the supportive and lovely. the work place culture was upstanding and one of the best jobs i have ever worked at. the hardest part of my job was keeping up with the wonderful work place. the best part of my job was making a positive impact on my work place environment and people i wored with."
bad,"Not only do they e x p l o i t  their employees they have NO consideration whatsoever for the lives of them although they claim so highly that they do. They claim to value education and the advancement of their employees, but that is NOT TRUE! BEWARE: They will sell you all the glory of the company, but in reality it's NOT all it's cracked up to be. My advice: JOIN THE UNION that is actively recruiting workers if you decide to work there."
bad,"I experienced that if you do not have any college degree even if you have a lot of experience in working, you will not go very far. The environment is not for the average person. The Diversity does not reflect on what they do on a daily basis. I have a partner that is going blind and they did not accommodate his need when he was hired. We had to go and seek help outside of the workplace for his needs. They hire housekeepers and fire them every six months. To have the government tax breaks every year. They have also hired recently graduated from college as executive positions at a very low pay."
