rating,review
bad,"They dont follow safety ..."
bad,The atmosphere was tense and hot no room for advancement at all tried many times to advance just to be cut short and never to be thought about again for a position in the company
bad,"In review I had a bad experience with this company due to the balance of work and home life not agreeing with one another, which in turn lead to a hard time to not only adapted but to excel."
bad,The management is terribly uncoordinated and out of touch with the people on the floor. They don't care about their employees if you get laid off don't expect to be called back when they need people again. No room to advance unless you're friends with management. No room to get a raise they will always tell you raises are improvement based and you haven't improved enough to deserve it. I worked there for 4 years and was laid off while on doctor ordered light duty because they decided I wasn't worth their time anymore I was cleared for work the next day. They treat you like scum of the earth for every incident instead of working with you to improve their process. Not worth your time or energy.
bad,"I worked for MRC for 5+ years in multiple roles, in that time never seen a raise/bonus, management is a joke, the overall morale of the employees has gone out the window, the regional and managers think buying pizza every so often makes up for their lack of being present on the floor, or their lack of listening to their employees problems/issues. Unless your friends with the management there will be no advancement in this place. DONT EVEN WASTE YOUR TIME!! way better companies out there! Disappointed in myself for even staying as long as I did, hoping it would get better.. loved my coworkers but it doesn't make up for a bad work environment..."
bad,"Too much stress for low pay.  Went six years without a raise and then got 20 cents. We outperformed every warehouse in the US every year, but are being shut down so they can make up for spending a huge amount of money on new warehouses."
bad,"Worked at MRC for 6 years and when new management took over 4 years ago (2014) things went downhill fast. In the position in North East Alberta management made it nearly impossible to succeed and service clients the way they should be serviced."
bad,"Thought it would be a great change in my career. Found the company has improper training, lacks professionalism from management to coworkers, and poor work and life balance."
bad,Don't work here.  They are liars and run this place out of fear and threats.  You will never get higher than a 3 on any review and after 5 years there have been raises totaling only .83 cents.  Poor management from the bottom to the top....CEO Included!
bad,"Wouldn't recommend to my worst enemy. No work/life balance, very rare receive pay raises, expectation of long work hours with little gratitude from management. Don't expect advancement."
bad,"I was fired for taking time off for a funeral and oral surgery. I was treated poorly by my manager. He treated males better than females.  The training is bull and they get mad when you don’t do it the right way! Yet they don’t train you, they expect other employees to train you. Bull company with bull managers!"
bad,"HR and Management are not on the same page and turnover will continue until they decide to come together and support the employees, lot to learn from employees."
