rating,review
good,"Gained lots of professional knowledge while working in Macy's "
good,"Extremely fun work place, training is extensive and prepares to be the best sales associate that you can be. Team work is essential and help you get through the day."
good,"Pros"
good,job is fast paced. management is highly focused on goals  and meeting standards and fairness. job is seasonal and not guaranteed but and overall fair place to work .
good,"Nice place to work in terms of staff and atmosphere. I got a lot of cash handling experience. The other thing I loved, they had union. The managers also helped you to better sales associates."
good,I loved working with customers and getting to know them while selling a product. I always had a clean area and was always on top of my area and when I was done I would help my co-workers as well
good,"Great place to stop and rest after a few hours of shopping this little bar has a great menu where you can get something light to eat. Either a salad or wrap or even a flatbread pizza! Or if food is not your thing, sit back and enough a cappuccino or espresso!"
good,excellant work environment.i enjoyed working for Macys but unfortunately beucause of the company downsizing i was laid off.since i was the last hire.Goods place to work.
good,Macy's is a great and fun place to work the managers and the employees were a bunch of fun and great people to work with. It is located in a busy area with alot of great places to eat around for lunch
good,"I believe that Macy need to pay their employees more for entry level work such as pricing coordinators, office coordinators, office coordinators and sale managers"
good,very nice place to work but it can get a little bit much because some of the customers tend to be very rude when certain deals are on and they cant use their coupons how they thought they could. but other than that I had a good experience. everyone was nice and they provided good hours even able to pick up hours whenever you want
good,"I worked at Macy's for about 2 years in different departments, so I was able to understand and learn certain things with each department. Working there was fun, and I met some great people, but some of the management there was not the best. They would demean you or just lie to get you to do something and take advantage of a young person's naivety. But some managers were amazing. Very kind and helpful without demeaning you, I'll miss those managers the most. I think the hardest part of the job is trying to deal with coworker competition or an unruly customer, but overall I had a good experience at Macy's."
good,Very hands-on and results driven. Coaching and motivating associates is the key to become successful in your role. Partnership with leaders throughout the company is a must.
good,This was my first warehouse job an i really loved it . It was very easy and self-paced. i just scanned and out the items away to there property area. i loved the co-workers and if you needed help there was someone always there
good,A typical day at Macy's was easy or the most part once you get use to it. I learned time management and customer relations here. Management were always very helpful when it came to leading. The workplace culture was diverse and welcoming to all. The hardest of the job was learning where each department was located. The most enjoyable part of the job was helping others.
good,"great team, communication and flexible work hours. we in support work early in the morning, only downside is we are heavily understaffed. communication could be better."
good,"fast pace,changing,friendly so what hard work"
good,Es muy Buena companies adquiri experiencia la Ultima company es exellente por the es global aprendes a llevar un negosio.
good,Macys was my first job and part time. I was fortunate to have a great manager who understood my initial challenges. I learned a lot and it was a great first job.
good,"Great place to work... Macy's is a family with wonderful leadership. They train well and help each other out. Shifts be fast, because there is all ways work to be done."
good,"I would open and close, deal with customer complaints. Issue cash and handle cash.. Maintain all employees sales goals, promoting sales, promoting opening credit.. It was fun working for Macy's, every morning we would have meetings to get our employees excited and ready to sale. What I liked the most about working here was the discounts."
good,"Gained lots of professional knowledge while working in Macy's "
good,"I would perform sales, customer service and was cross trained to work in various departments, including all aspects of the store.  The departments included women's ready to wear, men's ready to wear, ladies and men's shoes, and fine jewelry.  This part time job was overall a great learning experience for me."
good,"a typical day at macys was great i really dont have no complaints. everybody was nice, we had hour breaks and additional 10 to 15 mins breaks also. the hardest part is fixing your area before you leave."
good,This place help me with my communication skills also it’s a very great relax laid back place to work in would still work there if I didn’t run into an  Altercation with a co worker and I quit
good,"People destroy the dressing room, it's like picking up after children. I worked here for a year and never go put on part time or full time. Never received any benefits because I was a flex hire."
good,working at macys was very enjoyable. I learnt good customer service skilled. The hardest part of the job is during the holiday season. I learn to respect people at all cost.
good,"Great coworkers, excellent corporate culture. The hardest part of the job is to be a go-getter, independent, train yourself and set your own goals. There are no typical days as an auditor. You have to get used to change. You can never get comfortable with your duties because they change every assignment."
good,I really enjoyed working here. I learned a lot about customer service and sales. i would definitely recommend working at Macy's to a friend. The customers are fabulous
good,Busy as usual during seasonal time. Very crowded during the holidays and must be fast when been the register/cashier because the line becomes long quick.
