rating,review
good,"Recommends"
bad,"Low pay fighting against the union . They are threatening employees not have any thing about union formation . Some of leadership only care about looking good, afraid of leadership and do not care about  the welfare of the employees"
bad,"People that should not have been hired hire more unqualified people. Management specifically. If you can't do the job of the people you are supervising, you shouldn't be managing them. Life work balance is nonexistent."
bad,I had a manager that was a puppet to her director.  My manager never reported on time and loved visitors.  She always stated she had to work late but had nothing to do
bad,"This company was hard to work for, favoritism was ramped. The supervisor poorly managed the team.  Training was poor made doing a good job hard. I have no kind words for this company."
bad,"Magellan is guilty of age and sex discrimination.  If one is hired over 40 years old, they are dead ended the minute they accept employment.  Magellan is often run by inexperienced people in their early 20's.  Ability does not decide who is promoted.  The company is no better than any ""high school"" clique.  The worker bees are often not reward.  These issue have lead to a decline in Magellan's stock prices and market shares."
bad,There are too many issues for you to even enjoy a days work. Training is horrible and compensation for what they force on you is not up to par. System problems and management is not top notch. If you wanna be over worked and under paid this is the place for you.
bad,"I was excited to work for Magellan when I applied and got an interview. However, I was very disappointed when I never heard back from the interviewer about the status of the position. I just think it very unprofessional especially when someone spent their time to attend an interview and doesn’t get any response and ignored about the status of the position. After this experience, it’s very unlikely for me to apply to a job, or advise someone to apply to your company. I hope there is some professionalism shown to people who are not working for your organization because they waste a lot of time, effort and resources during an interview process and it is very disrespectful when interviewers decide to ignore them and not follow up."
bad,This place is racist and descrimates against anywho who isnt blonde hair blue eyes! They hire alot of people becuase they enjoy walking around and firing people to embarrass the person. Ive seen it multiple times if you are not kissing a higher ups butt you will be bullied NONSTOP. The recruiter people espescially
bad,"Supervisor had limited experience.  I gave 3 months written notice for resignation from position prior to summer vacation so that gave 5 months advance notice for them to hire and train another MFLC."
bad,"Management is terrible and everybody is already cliqued up. People talk about you behind your back, but they don't care what anyone is going through as long as the business needs are taken care of. We went thru 4 managers when I was there within 2 years!! The office stinks and everyone was always getting sick..  if you work there, go to work and then go straight home! Seriously, watch your back.. I have never seen so much fakeness in my life."
bad,"Magellan does not care about the employees. Only 6 month contracts.  Management has problems with the ability to make decisions and respect employees. Large turn over. After the other Organization obtain DOD Contractor, the two merge back together and are Magellan."
bad,"If you like being micro managed, your performance being determined by impossible metrics, Yearly benefit reductions, virtually no HR department, constant employee turnover,  less than 3% yearly merit raises, and  managers who are allowed to violate wage and hour laws. This would be the job for you."
bad,"This work environment was horrible, HR is horrible the leadership was horrible. I had MULTIPLE issues with the supervisor. Went to the director, HR and CEO a few days later my work would get pulled for “review” or a “new” issue would arise. The direct supervisor knew nothing and slowly started bringing in her friends from her small hometown. Who are not to mention completely under qualified. We were told at one point we need to prove why our work positions are needed"
bad,Little support from administration or supervisors. Passes the buck for training and communication with colleagues. On your own most of the time.  Poor role models for supervisors.
good,"Recommends"
bad,"Imagine being a violinist on the Titanic, forced to perform perfectly, despite the obvious fact that the ship is sinking beneath your feet, and  while everyone around you is running for the life rafts. "
bad,please be advised this place do not train you for the mental headache you receive as a by product of poor training. no one on one improvement structures. no leadership.positional authority is driven and no one thrives to be there everyone hate the job no sign of true passion and forfillment. no honesty in the position to help you improve. a lot of living in the gray area but they teach black or white structures. a lot of people quit. this not a long term position.
bad,Magellan is a horrible place to work. They don't care about their employees at all. It was easy to get in but once I got there after a couple of years u will see what kind of company you are really working for. They tell you that you can advance there but NO you can not. I should have left them a long time ago. They just make it hard for anyone who works for them.
bad,"I was hired for the call center. I was not given enough training plus given more responsibilities as time went on, again, with no training. Management knew that there was little training given, but just didn't care. They cared more about you answering the phones and giving their customers false information than wanting to sit down with you and teach you what you should say/do. Other contractors hired on with me were given ""special treatment"" and more training, while some were not given any training at all. It was always, ""Did you check the documents/QuikCheck?"" when the information was clearly not there. The trainers were not familiar at all with the particular client so they were worthless when it came to asking questions."
bad,"Training is poor.  Management does not know how to mange time or people.  Great job if you like working in a cube and never see another human being.  Disorganization is the cultural norm.  No pre-planning whatsoever.  If you like the ""Fire-Ready-Aim"" mentality, this place is for you."
bad,Did not like very cold and unfriendly.   you never got to meet any of you team even after working with them for over a year.  no one say good morning you are on the phone all the time it was very stressful and the pay was terrible
bad,"People were nice there, but the management were very, very poor. I definitely would not recommend this job to a friend. I wouldn't even mention the name to anyone I know."
bad,"I like Magellan- we are being laid off..."
bad,"I got very little training before co-worker left for 3 months. Not only was the trainer condascending but very impatient. Managent had no clue what was going on or able to answer questions. I was the only left to do the job of 3 people working 10+ hours my last few days. Called manager one day due to stress and I was let go. Expect to be worked to the max, no proper training and micromanaging!"
bad,I don't work there anymore. I cant say much about it. I don't know if the same people are still there. I don't know how the company operates anymore or if they are still in business.
bad,"Call center poorly managed, upper management only concerned about the bonuses they get for the work employees do, terrible communication, horrible benefits, supervisors and upper management shows favoritism with job advancement not on qualifications and work history,"
bad,"Magellan is not a great employer. All they care about are numbers, they could care less about their employees. I would highly recommend not working for them."
bad,I was not happy working for Magellan.  It was difficult to get the more experienced co-workers to assist and the fear of losing your job was always present.
bad,"I've been an MFLC for over 18 months and with 2 different contractors. This one openly admits they pay less and pay just decreased again. Insurance has also gone up and there's no PTO. If there's a govt. holiday you don't get pay."
bad,"The entire experience was weird from the application to training.  I never made it to the Call Center floor.   Neither did most of my classmates from training class.  They were intrusive and abrasive...management and ZeroChaos.  This was a bad experience in Columbia MD. "
bad,"This company closed and is no longer doing mental health authorizations for Blue Cross and Blue Shield."
bad,"managers have an attitude that reflects their personal feelings toward  others,and demonstrate very little respect for those not in a leadership position."
bad,Supervisors are unprofessional. They do not tell the truth in many cases. Communication to staff is extremely poor. Stressful work environment. You can never do anything right there. Would not work there.
