rating,review
bad,You will make decent money but will be laid off numerous of times per year so average out what they pay you for the 6 months of unemployment and the 6 months of work and you are actually making less than most assembler positions in the area with no job security.
bad,"Supervisors are always on your back about rates. If you get 100 percent rate, they won't come and talk to you, but as soon as you get anywhere less than 90, they are all up on you and don't want to hear about all the things you went through that day. They also don't really want to train you, that way they don't have to give you a raise."
bad,A good place to get a taste for different aspects of jobs related to manufacturing. Not a great place for long term employment or making a living. If you are not a man you get no perks at all and get dumped on with no thanks.
bad,This place sucks. They run there shop very mest up. They are a production shop that hires and fires after 90 days. Its pretty bad that when a person that gets hired knows more about machining then the supervisor does. Then instead of people who know anything about setups and breaking down machines getting the setup up jobs. they rather train someone that knows nothing about it. so if you have schooling or experince. this is a very bad place for you to look into. DONT WASTE YOUR TIME
bad,"Very unstable job. You WILL get laid off here, & they will hire temps to do your job for less pay. Watched 2 men get killed here. Safety is not a concern of management. OSHA looks away as Manitowac violates safety rules.  No union allowed. Make you take furlow days without pay, then ask you to work overtime."
bad,"The best way to describe the management style here is: micro-managment and dictatorship. I was actively belittled, embarrassed in front of colleagues and demeaned by management. There is desire to ""do things the way they were always done"" and ideas are immediately squashed. I could never, and would never recommend anyone work here, unless drastic changes are made."
bad,i would not recommend this company to anyone the management is horrible production manager is very rude very unprofessional. all management plays favorites not a friendly work environment at all
bad,"Management  is terrible. If you are not one of their favorites  you get treated like dirt. The inbound supervisor  cussed and screamed  at people everyday, especially  if he was hung over or out of pills which he bought off employees.I was wrongfully terminated because they did not like me."
bad,"Unstable company.  Very economic driven; layoffs, hire, layoff, etc..."
bad,"They have no respect for the human race, the people that work there are ignorant and bullies and the upper management doesnt care about anything. Quality is so bad there, i wouldnt buy anything that is produced there. They are subbing out all the work to companies that dont care about quality either and then it comes back to grove for rework. When you have a problem and go to management or h.r, they just push it to the side and tell you its no big deal. One of the worst places ive worked for."
bad,Ask to do multiple jobs and no raise in compensation. Poor management do not follow company policies. Have to be with the in crowd to advance in the company.
bad,"Terrible management, angry coworkers, no heat or air conditioning.  10 minute breaks."
bad,"had word as long as they had parts to do the job"
bad,This wouldn't be a bad place to work if the management wasn't so horrible.  You have to be a family member or a friend of management to move up. They don't appreciate hard working people. No air conditioning or heat. Amazon pays the same with better working conditions.
bad,"The worst management I have ever seen,you literally have to see it to believe it ! The only reason anyone stays their is the pay and insurance, if either where less, they would be hard pressed to find employs !"
bad,I made Kenmore stove handles on a plastic injection press. It was just another job to go to.
bad,In my 31 years with Manitowoc Ice I feel I helped them grow into the corporate giant of today.Worked many long hours that helped produce record proffits every year. Now cheep Mexican labor is taking our jobs from us. So much for loyalty on the company's part.
bad,"This place is a dump."
bad,do not work for this company its constant layoff very unsafe shop will never work for them again I lost a finger working in this place I repeat do not work here
bad,Mantenimiento es un patriarcado  siempre ven por ellos solamente y no les importas
bad,"Constant job cutting due to reorganization(s), lack of long term direction."
bad,"I was told I would be working four,  ten hour days. As a supervisor you can expect more, but I did not expect 55 -60 hour work weeks rotating  to 2nd shift for weekend coverage on a regular basis ( was told 2nd shift work would only be needed for vacation coverage) The company is lacking integrity and has no problem lying to your face. I was not allowed to be consistent with discipline which caused poor working relationships. There is very little support at the Port Washington facility."
bad,"All in all not a bad place to work but management does a lousy job of scheduling work and do not stand behind their employees. When end of month comes, some areas have to work mandatory while the ones that are behind don't"
bad,I wouldn't recommend this company due to the lack of job Security they cannot offer you. They moved manufacturing to Mexico. They have few office jobs that may or may not move.
bad,in the nearly 4 years I worked there I laid off over 450 people. They lie to their employees and make it impossible to build a good team
bad,"This organization is not employee friendly.  There is no regard for the hourly employee. everything is management based."
bad,"Very productive. Learned alot about the product"
bad,"Indecisive and unfocused leadership. No investment in longterm product roadmap and development. No investment or priority in reliability and industry leadership through innovation, establishment of basic evaluation procedures, reliability standards and proper product performance specifications."
bad,Leadership is very deceitful and cut-throat.  Will often throw their own team under the bus.  Insulting language from leadership.  Unrealistic expectations on project execution time.  Significant interdepartmental conflict.
bad,Was a temp for this company was sent home at dinner one day so I went to look for another job told management about this ask Where I Stood and never got a complete answer from them
bad,The new management is closing the Manitowoc plant and is moving it to PA after being in business over 100 years in Manitowoc.   They build a good product.
bad,"New CEO, eliminated a lot of positions"
bad,"I enjoyed a majority of the people I worked with, but if you are a strong willed individual who is not afraid to stand up for yourself, this is not the job for you."
bad,"5 yr.s or less,near Full retirement,bring chapstik to work day,a--kissing begins,what's seniority Scab Shop"
bad,Will work. Mon-Fri sometimes Saturday for overtime. Will have food caterd if the numbers are met. Work friendly very fun and open to suggestions by employees.
bad,"Great coworkers, overall good work experience but gradual worsening of management leading to plant closing. Overtime was mandatory at times ,but volunteered for many hours of voluntary overtime."
bad,"I had to get everything organized at the beginning of the shift, co-worker was cool. the heat got to me some days. The company is a place for if you want to move on from there on to a better place to work. the hardest was the shift change, getting info was like pooling teeth. Enjoyable part of the job was working with my hands."
bad,-time management
bad,"poor management. no room to grow "
bad,Worked there two years and was not a good working environment between the unions and management.  Also upper management and engineers developed two new crane models which had electrical problems and bottom level engineers and workers had to figure out with out any help from more knowledgeable people.
bad,"The current leadership team, was viewed and labeled as Lean Experts.   Their definition of Lean is to batch individual work centers to reduce change over costs.   "
bad,very chaotic atmosphere. disconnect between management and hourly employees. too many weekend hours. good pay. needs better facility
bad,"Lots of cost cutting, lack of resources, in the midst of organizational changes"
bad,"Work prioritizing, dealing with multiple individual requirements, interact with people of all levels"
bad,"the company was very safety oriented. building cranes was very gratifying to see them get built from sheet steel to a fully functional crane. I was fortunate to see all aspects of the proses from burning to layout ,forming small weldments large weldments to boom shop."
bad,"When I first started working there it was the best company I had ever worked for by far. Unfortunately in the name of global competition it has turned into a toxic environment. I left because the department I worked in management was clueless and for some reason if you tried hard to do your job it really upset him. But he would reward the ones who sat around by giving less to do. "
bad,"Much better people and management in the production facility vs the office environment of the company. The only reason I have stayed is because the pay is good. Constant threats of layoffs, poor management who don't care about their employees, and no chance for advancement if you're a woman or not in with the right people. Find someplace else. You'll be much happier."
bad,"Major changes are negatively impacting the Foodservice Group performance. Way too much strategy changes, cost cutting, reorganization, manufacturing consolidation leading to poor project execution, high turnover and shrinking market share."
bad,"poor communication skills demonstrated over and over and over again."
bad,"great pay, cleaner shop than most places and great insurance. really small though, pretty cramped most of time. unfortunately the tools and equipment there are pretty beat up, they could stand to focus more on that."
bad,My experience was like all my other temporary jobs. You work till you get the company caught up and then they keep a few of the temp workers.
bad,Enjoyable work  Environment. But because of poor management lots of good workers lost jobs and were forced to relocate to find new employment.  Would have definitely retired from the company if it wouldn't have closed the doors
bad,Continued reductions in work force will make future difficult.Business split with Food Service will show painful cyclicality for Cranes. Good luck to workforce.
bad,great place to learn but left many people jobless and than some lost their lives out in Pennsylvania. its too bad because they had a good thing going in manitowoc and was very safety minded there
good,"MANITOWOC a nivel mundial tiene un prestigio indiscutible, pero en Portugal es una empresa que no respeta a las personas a nivel profesional y mucho menos en el trato personal. Sus directivos y mandos medios se conocen desde la universidad por lo que algunos de ellos ocupan puestos para los que no están cualificados, no conocen el producto y mucho menos saben dar soluciones al cliente en momentos críticos (Grúas Telescópicas). En grúas torre al parecer se manejan bien, pero no en grúas móviles donde ni siquiera saben de repuestos solicitados por los clientes que siempre envían equivocados."
good,"I am working as a GET so every day there is a different work for me, we have completed projects like FMEA, Staff in the company is helpful,"
good,My job was to set up and operate punch presses of various sizes. I ran one off and two off progressive dies along with some stationary dies. In addition I trained new employees in the set up and operation of punch presses.
good,"Worked as primary sysadmin at Manitowoc location prior to company split.  Learned much from peers on site as well as remote. Management was confusing at worst, and vague at best, global tasks came from Corporate and regard to local issues was lacking.  Hardest part of the job was addressing local needs with management.  The most enjoyable part of the job was the people."
good,"Union shops in Wis.will pull work from nonunion scab shops. Shop is cold/hot,dark, dirty.Shifts argue."
good,"I learned a lot working there, but by other employees. there is no traing time or program .  You basically learn as you go. Usually by making mistakes."
good,They would not make changes to parts and service to increase customer satisfaction
good,"While upper management had good intentions, there was little to no definitive direction which left all structures of the company struggling to find focus.  Pay and leave was comparable to other companies but the work life balance was poor."
good,"The company is going in the wrong direction ever since it has decided to move its operations to Shady Grove Pa., it was a nice place to work up until last year."
good,"I did not enjoy working with this company. there were too many people in one small area while you're working. there were not enough managers, and not enough training to do the job well."
good,"I wanted to retire there before the door closed in  January of 2016. A good job and work with good and smart people under the worst conditions at the end."
good,"# My Boss always help in my work"
good,"The IS dept is a complete mess and it all starts at the top. Mid-management is great and is stuck in a stalemate because of unnecessary restrictions and demands brought forth by their director, Whether this is multi-million dollar company or not, the IS director of the Cranes division doesn't believe in innovation nor honesty. It shouldn't take a user with a broken phone to wait over a month to get it replaced, especially when it's company owned. The director of the Cranes IS dept also doesn't believe in integrity and is misleading the rest of the department in terms of direction. I've worked with many companies and it's a shame that they can allow an IT dept to have a black eye especially when it is supposed to keep the company running at full speed."
good,"buena empresa para laborar"
good,"num dia normal de trabalho as ligações com outros colaboradores é mais próxima e saudável."
good,"Sin embargo el machismo, las malas prácticas el amiguismo y la desigualdad en los salarios es abrumadora."
good,"Upper Managements style is constant yelling, fighting, and blaming instead of working together to get things done.  The Mid-level managers are scared to speak their minds because Senior Management dictates every step and you can't make decision on your own."
good,Lots of red tape and very difficult to get decisions made. No acceptance of responsibility when errors are found. There is a lack of cohersion which lends to delays in decision making. Promotions are not consistent with job requirements.
good,The people are good but looking at there are many chiefs and fewer Indians.  Each time Reduction in Force happens the are even less indians
good,"The company doesn't provide much of a career path for Engineers wanting to progress to Executive role in Management. "
good,"Journal Entry Preparations"
good,Well known product manufactured.   Workers mostly from small town and surrounding small communities.
