rating,review
bad,Job was great could see myself retiring from there foreman great guy there only down side is the management and employee’s that didn’t want to work would take asking them to do there job as BULLYING  you can lie about other employee’s and get them fired poor communication from there management out in Denver. Low employee morale
bad,"Supervisors are a joke,dont abide by the rules,they make you do what they want not the way its supposed to be done. Not a great place for employment,dont have employees back"
bad,This company does not care about the safety of their employees. If you report an injury you are then bullied. Overall I would not recommend a job with this company to anyone.
bad,Just had a bad experience and wasnt a good fit for me. I didnt do the best of work due to stress and inexperience but overall it is what you make of it.
bad,"There is a reason they are ALWAYS hiring because people are quitting faster then they can train them.  The worst management I have ever dealt with.  Good luck trying to get a manager to listen to you and if they were to listen they just blow off your concern.  If something were to happen, you will be blamed for it.  They preach safety as a number one concern, but it better not cost them any money.  If you were to get hurt, they will fire you so they can keep their accident free record.  Saturdays, plan on working 10-12 hours while the management is out skiing and golfing. "
bad,The job field I worked in at Martin Marietta is now gone. So it is impossible to judge it now. Martin Marietta sold off that entire section of the company to another company.
bad,"This company does not give bonuses. even though they are a billion dollar a year company they make the drivers clean the breakroom, restrooms, and toilets."
bad,Workplace is not innovative and I learned no new skills. I worked in the corporate office and it's a very old population in terms of age and mind set.
bad,This is a good place to work. You work long hours and are paid well. I would let a member of my family or a friend work there. The benefits are good as well.
bad,"Good pay,but very rascist. Horrible management, lazy workers,saftey is a joke at this job,they preach it over and over but when it comes down to it they dont care about saftey, they care about money.The lazy workers that show up when they want get treated like kings,and they guys that bust there butt get nothing."
bad,"I was told by the management that my truck had leaked out coolant, but it never did. I asked to see the pictures of the leak, they said corporate had them."
bad,"Get used to being lied to on a regular basis. What do they lie to you about? How much they’re going to pay you, where you’ll be at, and what you’ll be doing. If you have difficulty dealing with being lied to, don’t come here. "
bad,"Top dispatch guy quit.want treated fairly.denied advancement.Low hours,bad environment.Management looks out for own.H.R personnel no help.Never answers phone.Problems never get adressed"
bad,Inexperienced Bosses.Management tells lies.No Advancement ( unless you are a Buddy) Saftey( Cap Meetings) Only is important when they feel it is necessary.Training isn't long enough for Equipment.Management should be in Plant seeing work being done/what needs to be addressed clean-up and Saftey.
bad,Martin Marietta is a ok company working here there is no time to spend with your family long shifts non choice of overtime not much vacation time given and once you request management usually denys it. Lots of other issues
