rating,review
bad,"plant shutdowns during your shift, sent home early; try living on 28 hours a week or less, always threatening to close the doors and go out of business. and there no masco and haven't been in years, merrilat. a poor place to work and no future or job security."
bad,"You'll have to do 4-5 different jobs simultaneously somehow and your managers won't care that you're stressed. I'd recommend not going anywhere near this place, unless you enjoy being ignored and overworked."
bad,I was an employee of 9 years worked as a production lead and machine operator in a lot of departments. there attendance policy sucks and the management team is right there with it. they always pick who they like for jobs instead of who is more qualified and who has more time in the company. I liked my co-workers and employees I never had one person that I could not work well with. if it wasn't for there management and stupid policies people might stay.
bad,horrible place to work. they act like they give a  and they could not possibly care less. your superiors will always be lying and manipulating. I have never worked in such a terrible place.
bad,"This company is unethical, and harmful to the communicates that is targets. Through acquisitions MASCO consumes competitors only to run the plant into the ground. This company harms communities, ignores the safety of its workers, and uses tax dollars to do it. I recommend you research Mills Pride in Waverly, Ohio. Prior to considering applying at any MASCO affiliate."
bad,"seriously don't work here, management has no idea what they are doing, they want to work your butt off for little pay, they expect too much and are willing to give nothing. Training here also terrible."
bad,"I was employed as a contract worker. I did data entry for the cabinet orders. I was terribly mistreated everyday, im not sure if it was because of my race or job status. I literally dreaded going to work, the atmosphere was so toxic, being commonly referred to as ""the temp"" instead of my name. I would not recommended."
bad,"This place sucks, it's hot first off, the work is fairly easy but tiring ! You get 3 breaks but the break room is so classless & dirty it's sad. Old school equipment, dirty dirty dirty place. Insulin hanging out of the walls, cobwebs in the ceiling. The bathrooms are a DISGRACE, the people up there don't even wash their hands GROSS. They force you to count during morning exercises. Training is trash they show you 3 times how to do something then boom you on your own for the next 3 hours until they remember they're training you. The pay isn't even worth it honestly. Not friendly or welcoming people, they watch you struggle with a task and don't even help. I would not not recommend someone working here."
bad,Masco is definitely one of the worst places I've ever worked at. The communication is terrible. No structure. I wouldn't recommend this company to anyone
bad,"did not like the work environment. a lot of gossip, confusion about who to report to, managers were unhelpful at times, co workers always seemed unhappy"
bad,"My first two years was good until new management came in and screwed everything up for everyone. A lot of people left. Poor management, favoritism, and lack of employees for the rising work load."
bad,Shortly after leaving this company they changed hands again and no longer exist. Management was terrible and the sales staff outdated and did not keep up with industry changes
bad,"reported drug use and they wrote me up for it, when I complained they fired me. nepotism is rampant. unbelievable. they will defend their friends no matter what."
bad,i worked here for longer than expected only because the money was decent enough and i lived close.this was not a very good place to make a career.
bad,Just a job to get money to pay the bills learned a lot co-worker were nice management was okay it was all hard the most enjoyable part of the job was to go home
bad,Working in the AR billing department is a set up for failure position.   The pay is not good at all especially for a bachelor degree requirement.  The company is disconnected with corporate office.   Save your time and stay away from MASCO especially the Dublin location.  Promises are told but not delivered.  They chew you up and spit you out.
bad,"This company/branch had to be the most unorganized, fragmented company I have ever worked for.  No one knew what tasks they were assigned and there was no direction from management.  The sales guys in the office bored on offensive with the language and inappropriate comments.  Run away from this company!"
bad,I knew how to run everything in the plant and how to fix them. i had my hands in every proccess knowing them and making them. But still no respect.  
bad,overtime without notice different standards for different people
bad,Upper management treats employees as if they are children. They set unattainable expectations and change rules to set an unfavorable work environment.
bad,I was offered this position through the employment agency I was working for at the time. It was within 3 miles from my home.
bad,"A typical work day would be coding of AP invoices. Analysis of balance sheet accounts to ensure proper posting and balances. Working with assigned divisions on purchase order corrections and expense analysis."
bad,Behr Paint Tech Support and Customer Service is a revolving door. You will be asked to go through a local temp agency; this is your first clue.
bad,In my opinion I have seen a lot of favoritism. Management is picked by each other not by there qualifications. If you get put in a position there is no room for you to improve your self unless your part of their click.
bad,"Poor Management in Temecula Location, very high turnover, long hours, unrealistic goals, micro managed, always undermiined by management. The pay is ok but not worth it. Used to be a fun company with parties and perks but not anymore. This location supports a few locations and thats where all the money goes. Puts product on the market with known flaws and works it out later."
bad,"This is my experience... As soon as you come in youre finding out everything that was negative the day before and they tell you in a way that belittles you. If the job isn't your job you still worry BC of how negative everything is. In a ur and a half so and I've heard good job once. The PLANT manager is always yelling at the supervisors for more more more when he knows nothing about why, might know some bit he doesn't come to us and find out. As a source of punishment they took the ice machine away so now you have to walk way farther when parched...."
bad,The management at Masco was under change during my employment there..  I was hired by a manager that left before my start date..My role was under immediate change .
bad,I Have total 8 years Experience in construction back ground.i have also abroad experience . i am doing job MEP QA /QC right now . i am in Dubai with dhabi contracting LLC
bad,Do not plan on a life outside of work. Mandatory overtime every single week for years. Management says it will get better but it just kept getting worse. Some Saturdays are mandatory as well.
bad,"Mt sterling plant has idiots in the office that don't have a clue what's going on out on the floor. They don't care about you getting to see your family. You only know what time to come in, but never know when your getting off work. They don't fix anything that breaks, they expect you to ""make it work."" Good lord willing and the creek don't rise, I will never work there again."
bad,I didn't work here long  I was getting close to my 90 days so I thought I was getting hired in. Showed up to work and not many people were there and they said only permanent employees work when it's slow so I showed up to work and didn't even know I was laid off until I got there. The pay was very low but it was an easy job. Maybe management has changed since then but I didn't have a good experience. It just would have been nice to know I was laid off.
bad,There was no room for job Improvement raises were rarely given management tend to favor other employees are bonuses got taken away and are pay got decreased because of that
bad,"Work you extra hard, no compensation"
bad,"good fun working environment, co- workers where great to work with easy to get along with. we where like a family if somebody needed help there was one of us always there to help them."
bad,"A typical day at work for me is getting myself setup for the day, and I've learned how kitchen cabinets are made, and how much work it really takes to make a perfect doors for a kitchen. Management I really don't know what to say about them, and far as the culture it's diverse, and the hardest thing about the job is the heat, and the most enjoyable part besides seeing something being put together that I helped build is my co-workers because I'm a people person, and I get along with everyone"
bad,Trust me these people do not care about you. Starting with the people in Orlando. The management suck. They will set you up to get rid of you. Do not trust the driver next to you.
