rating,review
bad,Management not good very snooty and unprofessional ! Did not like working there very call center environment would rather have short calls then actually help customers all about metrics! Micro manage to know what screens you are on creepy!
bad,Leave your ideas and creativity at home. Don’t challenge unskilled Senior Managers with old world insurance experience who know nothing about digital.
bad,They lie about everything with job assignment never told it was a contact until I was there I left full time job for a contract and job was not what I thought and they do not care about person either
bad,"I was hired as an analyst at a novice salary even though I had years of experience. I accepted the pay. Then  several months into the job, Management told me my job was to be project manager for transitioning from an old system to a new system. This was dictated to me without any increase in pay or training.  I never was a project manager for any task and was minimally successful in getting the job done.  I take pride in my work but left the company feeling I had failed."
bad,"Unrealistic expectations. Its who you know to get advancements. Watch your back, feedback on performance is poor and infrequent. High pressure environment."
bad,There are too many instances of managerial reprocussions to respond. I am only writing enought to get through this survey. If you want to be at the whim of someone else... go for it.
bad,"Worked for them as a contractor.  Management had hired for the wrong kind of position from the start.  Management gave no direction for the first month of working there.  The culture perpetuates doing as little work as possible without getting fired, while still looking good enough not to get replaced by outsourcing firm.  There is a great deal of siloing here, every department has little fiefdoms where everyone will be happy to start a corporate war over literally nothing.  uppermanagement has no idea what is going on in the company and there is easily over 10 years of tech debt ( I saw tons of windows NT boxes and unix systems from the late 90's)."
bad,No leads assistance even though when hiring they indicated that leads were regularly supplied.  The software and website was outdated and often turned clients away.
bad,"If you value getting paid for your work, don't work here.  I worked and sold products and never got paid, instead I ended up paying them because apparently they covered 0% of my health insurance."
bad,"This was one of the worst companies I worked for. The  systems were so dated that people made mistakes regularly. We are talking conducting interviews with clients on a word document, copying and pasting to pdf and sending to India. If one small error was wrong it messed up the system. All the systems were like this. "
bad,"The managers did not care.  All the nubees had to pay for everything. No private desk, no phone, had to pay to use. No real support. They pressured you ever day.  Not a pleasant place."
bad,"Long hours"
bad,"If they don't like you they will find a way to fire you, even if they lie and say you have to be written up before your terminated. You cannot be fired if your on probation for one incident and then have a different incident. The team I was on offered 16 hours of training while being forced to learn the systems on your own. Don't be fooled by their tactics. Nothing but lies and back stabbing here I would not recommend them to anyone."
bad,"The company has let me and my family down. The change from Met Life to MassMutual was a nightmare, no way the company prepared well. The underwriting department was so bad, I know that you need to fix your underwriting department. The hardest part of the job was to get new business issued. i am sorry, but getting business issued was like 4 months to get a decision. i have 39 years in the business and never seen so many people afraid to make a decision."
bad,Many people said it felt like a family owned company. I think that was before but now its all about the numbers.  Also they do not want you to have any personality on the phone when it comes to call monitoring.
bad,Insurance company with a very good rating this was a great sales opportunity.  company has a excellent reputation and is one of the biggest insurance  suppliers
bad,Just as all insurance agencies it was a scam. I will never recommend becoming an insurance agent unless it is part time work. All practices a backed by lies.
bad,"This company does not help to market it's product to consumers. They leave you to figure it out on your own and the pay, even for commission base is the worst."
bad,Financial services is a tough environment to work. Unless you already have an established group of people to work with it's very hard to be successful.
bad,I joined the Raleigh office that was affiliated with Greensboro.  They were undergoing major management issues upon arrival.  It was a hodgepodge of people coming and going and or organization or support from mid/upper management.
bad,Company does not care about employees and the work environment is very stressful.  Co workers are very immature and disruptive to fellow co workers around them.
bad,"It was great for the first year. My contract was terminated without informing me, my clients received poorly drafted letters with wrong information. No support from support staff and yet they charge for office space and use of printers."
bad,They don't care about their employees at all. No raises terrible insurance. The department I worked in the assistant Vice President was involved with an employee and there was a ton of favoritism.
bad,I can't recommend this is a terrible place to try to work the health insurance is bad  and they don't care about their employees. They lie about owning your own business
bad,Too much micro managing. Had to continually provide the same information over and over.  Enjoyed most of my co-workers.  The company did provide activities that were fun. The hardest part of the job was answering to management who were not as knowledgeable as they should have been to be effective.
bad,Very engaging company to work for. Very diverse group of employees. Good benefits and decent pay. A positive and professional company to work for.
bad,"not a good place to work, gets worse with time, no work life balance, too much work and too few people. Management doesn't care about you."
bad,fun company but the one in chicago does not really work with you and your market they make you work within the market they find for you and it is a very uncomfortable which is not good for your work and home life mix.
bad,"Work place was full of high energy management.  All about the sales dollars, and income was straight commission.  Felt a little misled, felt like they where telling me one thing but I was getting something else.  Management lacked details and organizational skills."
bad,Basically you're trying to find candidates who will work for basically nothing the first five years of the job. The recent college graduate is their target to sell life insurance policies to family and friends.
bad,"The environment is sales rep against sales rep, no true team.  Lots of hidden charges for everything you use including a $50 charge for coffee, whether or not your drink coffee is irrevelant."
bad,"The place is a joke and management is even worse. The General Agent is completely disconnected and the Assistant GA is frustrated because he can't hit his numbers. Nobody's hitting any production because management has no plan. It's not a fun place to work, some of the staff are really rude. The General Agent seems to like his contract, but can't lead. He needs to stick with the sales side and get out of management."
bad,The management staff were very misleading as to what the job would entail. The typical job day would call for an employee to call and aggressively attempt to make people buy insurance products they may not have needed.
bad,That was the worst place to work.  The culture was not desirable.
bad,"Worked on the field digital team supporting their agent/broker portal.  A typical day was working through an endless stream of website content change requests with unrealistic service levels.  They had daily huddles to review who had the most or least capacity for assigning more work.  It was a weird one-off excel process they had been using for years and wasn’t a good indication of your level of capacity.  They relied on this to their own determent and I noticed people would inflate the time it takes to complete assigned tasks to make it appear they were busier than they were.  Legacy employees were never scrutinized because they did more project work and could pad their capacity numbers and appear busier.  New hires typically had more production work.  If a new hire had low capacity they were written up and would have their entire work queue scrutinized to see if they were fudging their capacity numbers.  If their capacity was low, they were assigned a lot more work requests.  If you put too many work requests in progress to reflect what you were working on for the weekly capacity you were written up.  If you annotated the title of your work request to reflect the updated status of the requests you were written up.  "
bad,"A good Company headed nose-down to destruction. Constant change/ to No management in this facility. No job security, No job advancement, poor salary increases- if any. Irresponsible leadership with no values, favoritism plays a big part from Director of Operations, among others in up management."
bad,don't work there unless you don't want to make any money for the first 5 months unless you have already had a lot of experience in the field and already have a client base
bad,"They flat out lie about compensation (100% commission). They say you can make $60 in your first year - forget about it. It's more like $35k. It's possible to make $60k if you have help from someone inside. Second-year isn't much better, but you have to make more or your out. I made it three years, missed my goal by a couple of contracts and I was done. They send me a bill for $685 for rent on my cubical."
bad,"The company was fun but they laid us all off in June 2019. They moved to Springfield Ma. The management was horrible, there were no written job procedures for your position, you learned as you went."
bad,Work environment sucks! Job sucked!  Compensation sucks! Renting you work cubicle is rediculous at $300 / month!  I would not recommend unless you are a masochist :-(
bad,"The hiring process took forever after which the the position as advertised was changed. I accepted the offer letter still because all of my other offers had fallen through. "
bad,Management is only interested in the numbers and needs to keep signing up new agents to make quota. They promise anything and just keep having a high turn over. Management plays favorites with support staff.
bad,"Highly unethical, poor management, predatory practices, a selling job and nothing more, work work work until people hang up on you, no benefits, no salary, just commission"
bad,Straight commission job. No base pay. High turn over due to no income and occur business expenses. One needs to be highly connected and active in close network community.
bad,"MassMutual was a good place to work for when raising my children. Depending on your manager you were supported as a working parent. Unfortunately the companies prides themselves for working mothers but they do not require all managers to manage in this manner. Everything is left up to management discretion. Once you reach the age of 40 and have over 20 years of service, you know you time is limited. If you area happens to be hit with layoffs, those are the first to go."
bad,"Awful place to work, gets worse with time, no work life balance, micromanaging with a very high fear based style of managing but this may depends on your manager.   Depending on the manager but my manager has absolute dishonesty with no support with very high retaliation to any attempt for fairness.   Do not come here if you have a choice."
bad,This employer is not designed for all culture and social status.  In order for MassMutual to be a great place to work you have to have a republican background.
bad,"Each MM office is independantly owned. My office was merged with another. Everything was by the book and to the minute for everyone, well unless you were liked very well then you had a sliding scale. Several people from the old company were either fired or outcasted by the new company. Sadly, management cares more about themselves. Employees are NOT treated equally."
bad,Hard work is not the key to success in this large company. The company is always looking to reduce salaries. This is often done by eliminating experienced people. Also much of the IT department has been replaced by cheaper outsourced contractors from other countries.
bad,"If you work in the corporate world long enough, you will either witness or become involved in a situation in which you will face adverse consequences for refusing to cross an ethical boundary. ""Human"" Resources does not act based on ethics; they will do whatever is necessary to protect their morally compromised VPs, Directors and managers. What this ensures, is that the behaviors repeat, get reinforced and become worse over time; those who participate in aiding such behaviors (because they, to quote one, ""go with the authority"") get rewarded. The remaining who have a conscience know the environment they're in but have had to learn how to navigate a culture of fear. Ironically, those whose titles indicate they should know better (best, actually!) are the worst offenders. Beware the interviewer who ends an interview with ""There's no backstabbing here."" He's the keeper of the biggest knife and hides it better than anyone."
bad,"I worked at MassMutual for 6 years in customer service and other roles. From the very beginning leadership was cold and disconnected and only looked at numbers and average handle time being the biggest push in that call center. As CSR, you are controlled and told when to go to the restroom and lunch break. It was the longest 2.5 years of my career. I worked hard enough to join another team and things seemed promising when once again the numbers were the driving factor, and besides my efforts to prove that I was an asset, I was denied a raise several times due to there were many changes [called the MM Way and ""True Case management""] where new radical ways of doing work was affecting the way we worked. I spoke to HR come to find out I wasn't the only associate who had concerns of the new workflow affecting our production. When we spoke up, management did not listen because they were too concerned their precious Underwriters would leave. We can't have that."
bad,"Management was a joke, getting any form of help was a disaster waste of time. Training was terrible and non informative, you waste 2 months on things the reps don't even ask, there's pages and pages of information you need to provide in minutes considering you don't know where to find it, they throw you into the sharks with no help. 0/10"
bad,My office was recently taken over by Capstone Partners.  They are of no assistance to our office.  They have invested no time or money into developing us as advisors.  They are corporate bullies who show no regard for an advisor's level of expertise.
bad,"Not ideal position for me.  Though I enjoyed working with my clients, there was the issues within the organization that demanded changes in order to correct management deficiencies."
bad,I came to Massmutual through the merger. The transition was not smooth. We saw no one from upper management that had an interest in us. It takes extremely long for policies to get issued. You pay them to use  the office .
bad,NONE This company had some political issues with their GM assistant GM and compliance
bad,In the last few years many things have changed to way we work and the employee rating system is a huge change.  Forced rankings makes it difficult to be a leader.  I worked the last three years in the IT division where there was a lot of bullying so staff were fearful to be open and honest due to retaliation.
bad,"This is a pyramid scheme that exacts heavy deductions from lower-level producers.  Unless you are well connected, don't even bother working with them."
bad,"During my tenure at Mass Mutual Greater Long Island, I was treated very poorly. My manager and the staff barely acknowledged me while I worked there. I received little to no support. I don’t know if it was because of my ethnic background, but I sure hope not."
bad,"Management wasn't very strong...no guidance & then if you messed something up - the ax came down. "
bad,"Takes several years to build up your career in this business. It's basically selling life insurance. Good training, but don't expect to make any money right away. Have a back up job!"
bad,"Due to the work environment, I found MassMutual to be an extremely stressful and unhealthy place to work. Also, management would not listen to employees ideas and suggestions until it was too late."
bad,"Once MassMutual embraced the mutual culture and encourage high performance teams. New management makes is difficult to move up, especially for women. Massive layoffs leaves those still standing wondering on a daily basis ""I'm I getting the axe today?"" I've watched the backstabbing and abusive managers thrive while those with vision and creative ideas either stepped over or laid off. This is a great culture for those willing to do anything to get ahead. Not the place for the kind, ethical or loyal."
bad,was promised a book of business and was denied that opportunity.
bad,They do not care about employees at all. Only the bottom dollar.
bad,"Worst experience of my 20+ year career.  Would not recommend MM to anyone, comp and benefits are good, but culture is horrible."
bad,"If what they say they try to do was reality, it would be an awesome place to work, but, in reality, they have folks that have grown to management based on I don't know what, certainly not managing people. "
bad,Profit driven. Question products value. Good for some but only 6% retemtion. Top level performers only acknowledged. OK benfits but no Worl Life Balance
bad,Management doesn't have a clue how to motivate or educate new hires to the industry. They give you some rudimentary info and throw you out on the street to sell.
bad,"I was brought on to Mass Mutual as the Director of Recruiting and given no direction. I still hit the ground running and one day after only two months of working there I was told that I was being let go. When I asked why they said ""what ever you want to say"" I asked again, what do I say to my wife when she asks me? Again, ""whatever you want, we'll back you up on it"". When I asked if I could qualify for unemployment they said yes as the position was being eliminated (yet someone else was in it within a month or two) and that I could claim unemployment and they wouldn't fight it. When I asked what to tell them why I was laid off or let go, again ""whatever you want to say"". They had no systems in place to train or ensure people hit the ground running. They also hit me out of the blue with this instead of saying ahead of time, let's have weekly meetings and discuss how you're doing and ways we can help you, etc. I respect the GA and his wife but am disappointed in my short stint there as I am someone who learns quick and they really seemed as if they didn't want me to succeed."
bad,Great income opportunity for the right person but not for me.  Saw many examples of people having sold policies to friends and family just to keep working there.  Introduction of the Fiduciary Rule made it very hard to get started in the business - small accounts became too much of a liability.
bad,"Mass mutual of greater houston was in the process of creating not one division but two.  In the process of creating their internship program, the company decided to relocate & split their internship into two sectors.  At the end of the day, due to the split of the company, myself and another intern were not fully aware of who to go to in certain cases.  Many times, the office was closed or was not open upon set times that we were given.  No communication between the two divisions led to miss communication with the head of the devisions and intern program head.  One point in time, we were given tasks that were not related to Massmutual, but related to a different retail (halloween costume store)?  All interns felt that we were not being utilized to our full potential."
bad,"No no no no no no nono no   dont do it ...."
bad,I do not recommend unless you are a cut throat personality that thrives on competition. I suggest you have financial background before taking an opportunity there or at least have a book to purchase to learn.
bad,"The job description is very misleading.. Once trained after six months or more at a snail's pace, you are thrust into a methodical dirty white collar new age sweatshop of mundane,  extremely repetitive and at times banal cookie-cutter rubber stamping of orders front archaic insurance guys many of whom lack the intellect and perseverance to get a Series 7."
bad,"Great training, hard to make it work. No salary. Direct management is great. Beautiful office. Training is very good for sure and management is open to helping at any time. If you can go without an income for a year, it's okay but with a family to support, it is really difficult."
