rating,review
bad,"i was a 3rd party call center for pc mastercard. in a nutshell people dont call you because their happy with their card. This job was very stressful, once you ended one call another would come in instantlly most of hte time. so you had no downtime."
bad,"You get hired only if you got refered by someone, at the workplace they treat you unfairly, they are very racist act like if you not hispanic you cant stay as an employee. "
bad,"I liked the actual work that I did while there, but that was the only thing I liked about it.  They have a very poor attitude towards employees.  Like they were a necessary evil."
bad,"Corp. security makes the security outside agency very stressful   Brian King Mastercard Corp  security is a racist, and sexually harasses the female guards and threatens them with being fired if they talk    "
bad,As a software engineer don’t come to this company you will not develop as an engineer also less paid than other companies. No work/life balance you would end up crazy
bad,"I would not recommend this place to my family and friends. There are good, honest, hardworking people at MasterCard and there are a lot of other types of leaders. While the pay is good the churn is high."
bad,"On paper, the company looks great to work for with great pay and decent benefits but it's all smoke and mirrors. If you work in any sort of Operations or Account Management role, say goodbye to work/life balance. You'll also be paid less than people at the same level that work less outside of those organizations. Expect to be bogged down in senseless meetings throughout most of the day and still expected to hit deadlines with the few hours that you have left over. This place is chaos and it starts with the executive management that clearly have no centralized focus, especially within any sort of operations whether it's technical, development, or business.  Now, if you're an entry to lower level applicant, definitely get in there but know that your job will never be safe so milk it quickly and then escape as fast as you can. 60 hour work weeks should be expected but if you're up against deadlines or your management is even more clueless than the rest of them, get ready to easily push 90 hour weeks with no reward except a salary which you have no time to enjoy"
bad,Answer calls for loyalty and rewards. A lot of the information was delayed between MasterCard and the banks were always delayed. Management was a little shady their was definitely favoritism shown through out this campaign at Telus. The hardest part was when a customer didn't receive their item and have to deal directly with the bank Key Bank was the hardest Bank to deal with and Wells Fargo.
bad,everyone there is in everyones business its very unorganized your job is never really secure the supervisors know nothing you'll know more than them the heads of master card are really nice and down to earth karen and lynn i would work with them directly if i ever had the chance
bad,"You get immense pressure for the work you are not even responsible for. Bad management techniques and the organisation is still learning on how to implement Agile in their working culture."
bad,"Terrible Manager, politics, ""Co. wrapped around axle"""
bad,"Mastercard has long tenure employees that are resistant to change, therefore, outsiders coming in are not welcomed.  The tenured employees make it impossible to get a new product or strategy executed.  Historically, the company was considered a 'country club' and that is exactly how they run the company.  The technology side of the business executes on leading technology but the business/product owners have a very different mentality."
bad,"Organizational transformation currently underway and many managers and employees are unable to advance in their careers. There is a mood of selfishness among senior management and while talent management organization does exist, there is little movement done save for those managers that preserve friendships over skillset."
bad,"Very consistent place to work paycheque wise, however I am not sure if the mental stress is worth it since the company is only paying minimum wage for banking services and it does not suffice the mental distress a customer can put one through."
bad,"There seems to be too much management politics in this company. Ideally the politics should not be coming down to technical team members, but in recent years it has become bad enough that the level of politics started to affect technical team as well. Unfair year end review practices has led to brain drain in the organization."
bad,"Tend to make contractors feel like outsiders.  Too many politics , not enough training and people working on their own agendas rather than developing their staff.  Glad I only worked here as contractor. Not a company I would persnally recommend to a friend or family member."
bad,"I would say this is not a place to work unless you are fully prepared to be a 9-5er and are just collecting a paycheck. If you have no ambitions and if you don't mind seeing a lot of waste and spin - then this is the place for you. Otherwise, think about it - this is a tax collection business - they take 2.5% or so on retail and other transactions so it takes on the culture of a tax collector which is in essence a government function. Given the fact that this is a 2-company duopoly - it is a government like entity no matter how the management spins it. Nothing wrong with that but be forewarned."
bad,"Mastercard has changed a lot in the past few years. The business model is terrific and the CEO is inspiring. Other senior managers are not up to par. There is no loyalty at this company toward long-term employees with a focus on hiring millennials who are just using the name to pad their resumes. It's very upsetting for employees who have put a lot of work in to make this company great when we get passed over for promotions and lateral opportunities given to unqualified newcomers. If you are under 30, you will be hired. Over 30? Don't bother unless you are in Human Resources since they are the only business unit that actually promotes their teams."
bad,"extremely high sales targets and management which did not provide effective coaching. In this role, everything is learned from trial and error. However, the compensation is at par with work put in."
bad,"MasterCard has a lot of opportunities for computer science and business minded people. However the authentication department lacks good organization skills and treats contractors poor. However, they have a lot's of talented people employed."
good,"There is a so much of work,No Work Life Balance, Management do not trust on employees. Hardest part of the job is too much expectation and no flexibility"
good,"relax and friendly, managers lead the tempo of the day to day and some appear to always be on a crisis mode... other than that; good experience.  As a contractor, good working environment, modern equipment and great office location."
good,"The company does a lot for the community. Very fast paced, some work life balance depending on the team your in and some good perks.  Managing up works best here for career advancement."
good,"Great work life balance, Great repository for publications and learning material, people are fun and lot of employee engagement programs. Lot of opportunities to participate in competitive contests."
good,"Good Benefits, very stressful job. management is awful, they don't treat all the employees as fair as they should. Good thing you can learn a lot and the team has very good people"
good,"Firstly the cafeteria and amenities are nice.  No complaint there.  Nice campus, picturesque building, etc."
good,Benefits are not good. Advancement opportunities are few. Very unpredictable schedule
good,"Lavoro occasionale, ambiente piacevole e giovanile."
good,"This was a contract position....therefore my time there not that long. However i got an opportunity to work as a Scrum Master, and work on high profile projects."
good,"This is a good place for entry level customer service positions. It has a lot of learning potential - both dealing with external customers and internal superiors/co-workers and management. "
good,It's a good company to work at given the compensation and benefits offered.  It is learning while growing really fast with a great chance to become a better place to work at.
good,"There are particular departments which are clearly racist. There is so little diversity, it is appalling. I am not sure how this company gets away with keeping particular departments, with higher executives, devoid of any people of color."
good,"I worked this job along time ago, the job was routine administrative work at very low pay.  Employees were very nice and professional and office environment was very pleasant."
good,"A typical day at works starts with the escalated issues. It is challenging to take up things which come day to day. "
good,"A typical day at work is mostly relax, sometimes busy.  Most employees are great people to work with. Poor management."
good,Within the area of Mastercard advisors.  It was a cut-throat environment lacking of work-life balance.  Regularly worked 14-16 hours days with regular travel.  The salaries and benefits are good but do not make up for the lack of work-life balance.
good,"All of the jobs are in St. Louis, and you have to relocate if you want to further your career. They pick and choose who to promote. There is no advancement for people of color or women, from what I have seen. Everyone is competing form one position that is open. The pay is not what it should be."
good,"Great benefits, generous - fair compensation, divisive work culture in Advisors extends through senior management. Employees are recognized based on popularity not performance."
good,"average place to work, little or no life work balance, significant reorganization within departments every other year, management and leadership varies significantly by department."
good,"Job Culture is good.But After Acquisition Salary benifits were no given to employees.No Onsite for Developer."
good,"More political workplace than most -- a lot of people focused on marketing themselves and promoting their initiatives as a ""success"" even when said initiatives fall flat."
good,"This is a workplace where we meet a lot people with various background and culture. However, I think between hiring process and retention, they need more improvement."
good,"Worked in different jobs: Return Items Department -when a check was deposited and then returned. Looking for why Customers writing a check and it was returned for non payment. Bookkeeping Department -settling 200 ledgers daily to zero balance. Locating deposits that did not post to accounts. Master Card Fraud Department-when a charge post to credit card account and the customer sis not make, stopping a credit card that a customer did not receive in the mail an issue another one. Teller-waiting on customers when they made a deposit to accounts or cashing checks. Proof Department- proof adding customers deposit put through teller's work  making sure the added correctly. Proof adding tellers work making sure they settled their work correctly."
good,"Friendly staff, and relaxed atmosphere. Assistance available whenever required. Learnt various things from fraud, project management and customer relationships."
good,The company is very good at teaching you how to perform the job but there are too many kids and not everyone wants to help you learn.  it is not a permanent position because they can fire you at anytime and with no reason.  There is a lot of bullying and harassment.
good,"If you don't go along with the ""click"" your days are numbered. Too much emphasis placed on your attire. A lot of ""brown noseing""  If you disagree just beware."
good,"Good Place to work but did not had the learning opportunity, I improved a lot as a lead which helps me to raise my bar."
good,If you are looking for an entry Job this is the place but you got to get moving the job gets boring after a little while with not many options to move up
good,A good place to work generally but a lot of time is wasted by long processes which don't really as intended.  They are very much in need of a LEAN/Six Sigma style review to stop wasting all this time and energy.
good,"Overall solid place to work, intense workload with minimal chance to advance in group, people tend to work in silos though always trying to breakthrough, collaboration decent but lack of understanding of roles can lead to obstacles."
good,"Difficult to advance - goals at times can be difficult to reach. Compensation and benefits are very good, but it is difficult to achieve bonuses as outlined during ""goal setting"" period and annual reviews."
good,"Being a big company provides the opportunity to move around and increase experience."
good,"clash of old culture and new culture."
good,"A typical day: there is no such thing. My days vary from minute to minute."
good,Good learning experience. But in adoption of technology it is laid back. Also due to working with US normally the rush starts after 6 PM. So managing work life is a bit of challenge
good,"Enjoy work with my co-workers, but management people not so great. My Team Leader provided great support but higher manager no."
good,"Empresa que lhe permite adquirir experiência internacional com times de diversos países. Oferece um ambiente agradável de trabalho, bons salários e benefícios mas com raras chances de crescimento de carreira no Brasil."
good,Mastercard was a decent place to work. i worked with a very smart group of individuals that delivered quality software to is product owners. Time management is key to success at Mastercard.
good,"Master Card is a client of Sedgwick, not the actual employer.  therefor it is not fair to actually rate Master Card as an actual employer. "
good,Mastercard is  a place where you need to handle your own career. Many people are expected to make their own way and only you can decide how much or how little you want to put in.
good,This company offers great starting salary and lots of opportunities to have independance and creativity within the position. The expectations for positions are high
good,"The company has a pretty long probationary period and is very fast paced. The company is growing rapidly and is an overall good place to work, but quite stressful at times."
good,"A lot of talented people work here who want to excel.  The culture which is openly promoted should allow for this.  However, there lacks a cohesive partnership in upper management to identify and achieve common goals, so personal politics blunt or derail a lot of what could be great."
good,"Successfully placed me in a role with a major corporation within 1 week of registering with Kelly.  The position was a long-term assignment, and ultimately I was hired directly into the client company."
good,had a great opportunity to grow in information security.  Would like to have been able to extend my short term contract.  Communication was good but not clear from management.
good,I only worked at Mastercard as a consultant for one year. I enjoyed working there and was hopeful to convert to an employee position which is the only reason I left.
good,"Mastercard is a pretty good company to work at, with some good people that really care. Over the past few years the culture has been continuously evolving from the traditional corporate environment. It is great for employees with families and is working hard to stay current with office practice trends. It is dress down, jeans and sneakers acceptable, but still several employees that still wear suits or business casual."
good,"Good for IT professionals starting their career."
good,"Dynamic and engaging work environment focusing mainly on the support and operation of the Mastercard Pre-Paid card business, specifically, the global Cash-Passport product."
good,"After 15, 20, 25 years of service you can be let go regardless. Learn what you can and take advantage of the great benefits while you can."
good,Stressful job but enjoyable. Great team in Mexico. Management could be better. Good environment every day. It is a good company in Mexico City with good benefits.
good,"There were not a lot of job opportunities at MasterCard in Purchase, New York.  MasterCard are good corporate citizens and they give back to many communities around the world"
good,"As Director of Corporate Security I was responsible for ensuring the safety and security of the employees and company assets. I didn't have a typical work day due to unexpected occurrences such as emergencies and work place incidents. I had to multitask on a daily basis.  In addition to security related responsibilities I handled a variety of administrative tasks.  "
good,"MasterCard Advisors, the consulting & data specialists for parent MasterCard has a great opportunity to create a fantastic business. The challenges include a poorly articulated commission plan, slow responding solution teams, overly ambitious revenue expectations and being overshadowed by the parent org card business. But, the seeds of a great business are there."
good,"Most of the things are good in terms of work-life balance, good culture and good environment, work from home facility. Also stability of job is also okay."
good,"MasterCard is a truly global company that looks to leverage learning and align business strategies across the globe, where it makes sense to do so."
good,The size of the operation and the multi level organizational structure makes it hard to see the full picture and utilize skills across the board.
good,"Mastercard was a great company to work for, environment was professional and they was always someone there to help when i did need assistance"
good,"I enjoyed working at master card. Team is very collaborative and innovative. "
good,It was a good company to work for at the exception that the internal management have a lot of improvement to make in order to keep a nice and professional environment as well as the good work going.
good,"a good communication with the customers/clients before sales"
good,"A typical Bank Teller' day generally included a personal and corporate servicing and presenting the bank products. Conducting customer transactions – loan payments, saving deposits and etc."
good,"They work outrageous hours and think they own you.  Very little opportunity for advancement unless you are younger than 25.  They value degrees, not people - talent is not rewarded."
good,"At Xerox, analyst worked to adhere to client service level agreements. We fixed our clients technical issues with great skills provided through company excellent training models. The incentives were awesome and bonuses real. This job I'd recommend for long hall despite obvious political problems."
good,"MasterCard is a fantastic company to work for as it pertains to benefits, bonuses and salary. As technology grows, the work/life balance is not as strong as it once was."
good,"If you are a fresher or looking to start a career i would not recommend this place since there are lot of employees working there since ages who would handle most of the things which provides no scope for growth. No margin for error, do a mistake, get fired and you won't even know it until everyone else knows it."
good,MasterCard provides unique opportunities to work in the payment processing industry using cutting edge technologies to offer products and services to make electronic payments secure and fast.
good,"Like everywhere else, it depends on who you work for and with.  The company is trying to move into the 21st century, but the shackles of bureaucracy still hold strong."
good,A typical day at work consisted of supporting a manager with business and personal needs. What I learred was that networking is your best asset in a large organization.  The management styles vary from one department to the next. My coworkers were very supportive of me and my abilities. The hardest part of the job was learning how to become thick skinned. The most enjoyable part of the job were the people I came to know on a personal level. MasterCard is a company with core values focusing on custumer needs and advanced technology.
good,"MasterCard processes transactions. Worldwide leader in payments industry."
good,"Day to day duties are Scheduling, adherence and real time monitoring of over 100 staff, Analyse productivity and performance results across teams and sites and provide recommendations of areas of improvement, Pro-actively monitor and analyse call volumes and profiles per client, new market launch to highlight and action any required changes to the WFM staffing schedules and regular communication with line managers on how their staff are performing in relation to schedules, productivity, call time, after call work, and attendance. Since being in both roles within the company I have gained vast product knowledge, various system knowledge, customer service skills & great communication skills. The hardest part of this role would be working to the tight deadlines, but although that's the hardest task within the role I gain a great sense of accomplishment from this once achieved."
good,I had alot of responsibility and worked alot of hours. I had no personal life for practically 3 years.
good,This was a great place to work. There are amazing people who will support you andy your career growth. Most managers allow a flex work environment and the company strikes a good work-life balance.
good,Great benefits and pay for positions held. Too much office politics and micro-managing to allow people to take leads on work.  The on-boarding process and training does not exist and you are expected to jump in full speed.
good,"not comfortable rating these companies in public.  Payments category was very competitive back then, and less so now.  Many changes globally  Interesting times.."
good,"Review current process flows"
good,It is a great place to work but you most develop a great relationship with the Group Head of the Department in order to advance and get recognized.  Unfortunately there is a lot of promotion and career advancement based on your relationship with the Group Head and not your work ability.
good,Mastercard has wide range of products where anyone can get  ample amount of opportunities to learn something new in the area of Credit or debit card business.
good,"My everyday Task where all about been a sales representative and some office work that sometimes it was a bit challenging "
good,"Flexible working 2 days per week from home.  Good working conditions, offices and benefits"
good,"Challenging work, nice people, good work/life balance. "
good,"Reasonable benefits and pay for positions held. managers don't fully align to organizations overall visions, missions, objectives, and goals. Experience outside of Mastercard is not well respected. Company try to copy other technology companies."
good,"It is a placement company so you are in and out."
good,"Good:"
good,"If you can handle a corporate environment, this is a great place to work.  They are dedicated to being good corporate citizens.  The salary and benefits are great."
good,Good benefits and work life balance though don't expect pay raises or opportunities for advancement.  Good place to learn about payments space then move on.
