rating,review
bad,The general labor is not hard work so for that I will not fully complain about the pay rate but to compensate your employees and management working in a climate controlled wearhouse with NO A/c and only 15 min breaks. Not to mention the take u through what’s consistent of 3 days work of orientation process before you even clock in on tour first day to begin making money. And then when you do start working they ALL PF A SUDDEN don’t have any hours for everybody an staff is limited due to the project due so they pick an choose who to give the house and money to rather than be fair. HORRIBLE COMPANY.. HORIBLE JOB.HORIBLE PAY..THE SIGNS ARE HERE PEOPLE DO NOT IGNORE THEM‼️
bad,Dazed and confused Seven ploys understood how to work so I probably didn’t the training was based upon the management the management trained OK there’s a line leaders helped a lot I will try my best to do what I could to help everybody and anybody but you did have some of the people there that didn’t want to do much other than collect a paycheck and if you’re interested in working this job you got to be patient understanding and have a good attitude
bad,"Rude to Packers, they show Favoritism towards certain employees, inappropriate behavior, bad communication will put someone at fault for any and eveything."
bad,My assignment was ended due to attendence because I was at the hospital and with doctor's note and everything my assignment was ended. But the work pace is awesome but still very stressful
bad,"Favoritism, profiling people, lack of opportunity if you are not friend of a lead or a supervisor you can not become a regular employee with the company and you can get fired for no reason that is working for Mattel..."
bad,Me encanto trabajar ai esta muy bn algo carrilludo pero bn
bad,"you are required to work hard inside a truck for a small pay,"
bad,je n'ai pas aimé cette mission car c'est un travail en usine et pas de contact avec les personnes
bad,"Upon arriving, I was told to scan my badge to clock in so I did as such. We huddled up in a circle to go over the guidelines but not once was we told what exactly we would be doing. After the meet we was told to hand in our badges, yet still unclear for what purpose. Though, later found out that if we were to scan our badge ourselves it would not go through, On the second day, we was told that we needed to get our badge back to clock out for breaks. During that time I had gotten sick being around so much dust. I had notified my representative at the staffing agency of what was going on and she wasn't aware of what the company was doing. She assured me that someone would talk to me about it, but no one ever did even when I asked."
bad,"Excellent company and family atmosphere.  The pace was fast and exciting, and performance expectations are high, but the reward of achievement is immeasurable.  Enjoyed my time with the company along with the experience and knowledge gained to help further my career."
bad,"Mattel isn't a good place to work. The only good thing is the discount at the toy store....but really, you can go down the Target clearance isle and get things cheaper! The onsite cafe is expensive and gross. The people are all suck ups and brown-nosers because this place is based on who you know, not what you know. I jumped ship pretty fast as I am better than this place and wouldn't trade my happiness for anything. Turns out, Mattel puts together it's own survey to achieve the Best Places to Work lists in Fortune 100.....it's all fabricated. Just Say No to Mattel"
bad,"Working at Mattel does have it's perks; However, to make it here, you have to keep up with the Jones'! Relationships are important. It really doesn't matter what your talents are or how up to par your work is....it's who you know and kiss up to. The older people in higher positions never seems to go anywhere or change with the times. So even if they tell you that they want cutting edge or to think outside of the box.....they aren't really asking for any of that. You are really there to make sure your supervisor/boss looks good and that's it."
bad,"This company is tolerating lazy people and being lazy is the canadian way of life. Don't work for this company because you'll just be a number whether you're in the office or just a plain laborer. They don't care and management don't have the foresight and the fortitude to know what's happening as long as they get their paycheck only. The lead hand's job is a big joke, too as his job description includes youtubing and laughing all day and management is happy about it."
bad,"Come in get your work order, count you product, get your line set up before the employees come in.  Once employees come in you start you line up until completion.  As a line Leader yours constantly walking and talking with the employees to make sure that they know how to put the displays together also ask the employees who are putting the toys on the display how many toys go on the display."
bad,"Working a seasonal position at the San Bernardino Mattel Toy Store is somewhat pleasant. There are no benefits and no sick pay, but the customers are always great and the atmosphere of the store is very relaxed."
bad,"Very much a sales first every other department is setup to support sales kind of attitude. This resulted in inefficiencies across the company, every department should have its own objectives even though it challenges objectives of sales at the end of the day these differences ensure corporate objectives are met."
bad,"Led seasoned sales team to measure daily Key Performance Indicators, plan future selling cycle and develop long term plans for budgeting, sales projections and P&L management."
bad,"How can a company survive on old school management, politics and technology? Today's ever evolving world requires companies to keep up with the times. Mattel keeps old, out of touch management in place. They just recently got in touch with social media...and really they just do social media for a couple of their brands. Their benefits are good, but are in place for the sole purpose of keeping their employees happy in such an unhappy environment. People are stressed out, not happy, it's hard to move up and, I agree with an earlier review, that it's really who you know, not what you know. For me, I come to work because I need to pay my bills. But I'm constantly stressed out and unhappy.....wonder why I'm spending time reviewing on Indeed(dot)com?! Looking for my next opportunity."
bad,"Full 8 hours day finish are work on time. management will help out as much as they can.People around you to help finish on time shipments.Some time not enough time in the day have to work O.T. but O.T. is ok. Outside activities, like cancer walk softball games."
bad,"Organization is in need of experienced Senior Leadership to successfully guide the transformation.  "
bad,If you are the type of employee who would like to be part of a team that welcomes innovation and pushes the envelope....then Mattel is not the place for you. If you are seeking a manager who tells you to think outside the box and then helps you run with it....then Mattel is not for you. If you are looking for a position that gives you the opportunity for growth and opportunity....then Mattel definitely isn't the place for you.
bad,"The day I got hired at Mattel, I was over the moon excited. I went thru their new hire orientation, got taken out by my new team and got started. Week one was amazing. I went to meetings, learned about the company, shopped at the toys store, etc. But happy, exciting, over the moon turned on me quickly! Suddenly, my boss went bipolar on me. I'm sure she was threatened by me as my work ran circles around her. She is one of those higher management employees at Mattel that fear change so they do nothing new and do their best to keep things in their scope of knowledge. This is not good for a toy company who should really emerge with the times. I'd do anything to get that over the moon feeling back....but just not at Mattel. I have since moved on as I just couldn't take the abuse from my boss. I'm in a better place now. Prospective employee beware!"
bad,"It sounds like fun and games to work for a toy company, but please know this place is infested with politics, drama and old fuddy-duddies (yes I used that word) in high places, who aren't going anywhere. The HR department is the worst, with horrific micromanagers. This is a fear-based company. A lot of employees vent to each other and have very stressful days. Also, their job descriptions are not at all what you will be doing. Beware. Seriously, your first day....even your first week will be great. But then the other shoe will drop. This review is based on my current job working at the El Segundo Office"
bad,"Been two very bad years for the company and hundreds of layoffs in the process.  Tough environment right now.  The culture is extremely risk averse and conservative and for my position - real lack of transparency which is key to leadership.  Nothing personal, just very difficult times right now.  Company not really going after real and fresh innovation."
bad,When I first started working at Mattel the excitement of working for the world's best toy company sounded so cool! Well that excitement wore off pretty fast! This place is filled with top level executives who have been there for a long time. There is no possibility for change and finding ways to do things differently because they just want what they are used to. The approval process for ANYTHING takes forever to the point where things become old by the time they are approved. I'd think twice before coming to work for Mattel.
bad,I would still be there if the company had not eliminated my whole department throughout the country. Overall a OK company to work for. Good Benefits and good co workers.
bad,"Good atmosphere and nice job culture, supervisor was good human being. It was great pleasure working with him and looking forward to work with them once again"
bad,The toy industry seems to be in it's final days. Too much competition from electronics that the business cannot keep on top of changing. It's a slow death
bad,"um trabalho q sei fazer e faço com gosto, respeitar os espaços de outra marcar trabalhar e fazer diferença no meio espaço sem q ninguém tire o meu direito. direção normal, tbem colegas de trabalho sempre respeitei todos, mais difícil montar sozinha uma vitrine sem ter a outra ajuda a agradável quando no final do dia fiz um excelente trabalho com uma ótima exposição, fechar com chave de ouro."
bad,"At first the job was great, then I realized discrimination abounds if you are the least bit conservative. The management hypocrisy was unbearable, and the politically correct environment was stomach turning. The product isn't what it used to be and the pay was dismal. Favoritism was rampant. Better look elsewhere if you want to keep your sanity."
bad,"Mattel has been a place of phenomenal growth and development.  Working on some of the most iconic brands in the world gives managers a unique opportunity to make a positive impact on people's lives.  Working on the global brand team, I have had the opportunity to lead teams to build product lines that have global appeal and scale and the challenge of partnering with marketing teams around the world to create messaging that resonates on a local level.  With a heavy focus on new product development and strategy, no day is ever the same.  In addition, working in a category where the consumer who purchases the product is not the end consumer, provides a unique opportunity to sharpen your marketing skills by using different marketing strategieis and tactics for different audiences."
bad,It was a factory that was a ok place to work until they closed the factory..
bad,They don't want to hire full time employees so they could skip on benefits. But they also give you a hard time when you send in your invoice for work that's been done. Contract states 60-day net pay. It's going on months and multiple calls to the third party company that sends the money to me.  A lot of pointing fingers.  Very disappointed.
bad,"Most people are friendly."
bad,"This company  provides very little advancement for its employees.  Though they promise half-day Fridays, most departments end up working through Friday evening and through the weekend."
bad,"As a warehouse walker, I didn't really get to talk to too many people. I had lots of time to think to myself. The first few days of work felt very surreal but I got used to it overtime and enjoyed being able to think to myself and think of new ideas."
bad,"Company has been going through massive transition and reorganizations over the past five years and has not recovered from years of poor upper management. Unfortunately for this iconic brand, upper management has for years, and continues, to be more focused on their own bonuses and perks than the products, company or any of the employees below VP level. Very old school, 1980s corporate culture ... you almost expect to see hundreds of fax machines and no computers! "
bad,No hay organización ni apoyo por parte de superiores para hacer tu trabajo los encargados de jugueteria se quejan de la forma de hacer las cosas de los superiores  y tienen toda la razon
bad,"Mattel was not my favourite workplace. There was a hardcore culture of spending hours on powerpoints to present to each other which is not the best use of time, in my opinion. There were also very old legacy systems that made everything 10x harder than it needed to be."
bad,"normal un dia de trabajo "
bad,"On the phone all day - sitting or standing, your choice.  Some irate customers but most are wonderful.  Sometimes breaks your heart to hear stories of hardship and inability to buy for less fortunate children.  Training for the job is great.  Scheduling is quite flexible and it is usually possible to find coverage for needed days off.  Some variety when asked to fill in writing e-mails, handling returns, editing mailing lists, etc but usually only the ""regular"" employees get to do those more interesting tasks.  Can be terrifically frustrating when rare ""permanent"" positions open due to tremendous response, much competition, and frustration on the part of ""seasonal"" employees who put in many years' of part-time, lower paid work, only to be passed over by seemingly young, untrained, inexperienced new employees.  Is a place where anything you say will come around to ""bite"" you.  Nothing can by trusted to be kept confidential.  Everything is heard, from what you say on the phone to what you share with co-workers on bathroom breaks.  Benefit is discount on American Girl dolls and Fisher Price toys."
bad,Good opportunity but many product recalls when I was part of the organization. Many management changes
bad,"Horrible. Over 10 IT tickets. And that was just to turn the computer on. Slow... behind the curve. Mattel isn't ready for ""production."" Pays artist late."
bad,"Was a great place to work, but with all the layoffs and so many great employees retiring the culture has changed for the worst.   I wish I was old enough to retire."
bad,"The best part of the job it the great people the work there. Supervisors and lower. But as far as upper management, there arent too much good to say about them."
bad,"Good people when you find them, Too dependent on outsourcing overseas. Stay away from IT Supply Chain. It is a moving target  with no clear direction."
bad,"Mattel was ranked one of the top 100 places to work by Forbes magazine, but it has slipped out of that ranking, and continues to go downhill, its unfortunate. so many talented people have left or been laid off, due to politics or lack of creativity. It became toxic, and the morale continues to go down."
bad,".......I wish someone would have told me just how much this company is behind the times and how much politics there are here. It's a very old school place with old school policies. You can't be on non-company email at work and everything else is deeply monitored. The benefits are good, but they are only in place to keep people there...whether they suffer or not. Another reviewer below said it best in that the higher-ups are definitely old and set in their ways. Mattel could use some fresh executives and a re-fresh of up-to-date policies and practices. If I knew then, what I know now...not sure I'd be working here."
bad,"There's such a thing as too politically correct. People lie really well here. They don't tell you half of what you need to know, everything is just inferred. If you aren't really sharp and very politically savvy I wouldn't work here."
bad,"Really nice people working at Mattel, unfortunately, the leadership team is quite bad and their so called strategies are not helping the company to turnaround"
bad,Don't let you reach incentive by make unrealistic goals so that you cant make the percentage and get a raise. Also even tho you get 3 breaks it doeant add up to an hours worth.
bad,"dia comun,.. llegar y  empesar  ensambral  juguetes... "
bad,The pay was beyond great. Hours were extreme mandatory OT warehouses work conditions extremely hot during summer and extremely cold during winter. Sloppy management team.
bad,"Security Dept. was not a good department to work in when I was there. That may have changed since then. Overall, I would recommend someone to work there because they may fit better than I did."
bad,"Customer service - call center. Pay is lower than industry standards. Customers are difficult and demanding. Calls come in at machine--gun rate with no time in between calls. Call center is open from 6am to midnight so you may be scheduled different shifts every week. If work is slow - you will be sent home (without pay!) which happened frequently.No compensation for the time you spend getting ready and driving to work, just not pay that day at all."
bad,"Mattel is a good company to work for based on compensation and benefit package.  Management style is very old fashion, and self-centered.   Lack of people development."
bad,Hard labor was okay but overall it was a bad experience. Most workers did not speak English so it was difficult to communicate and also most workers were very rude.
bad,"Good work life balance, with half day fridays. Good family culture, but could tell from a few weeks in why the company is not doing well. Doesnt seem to be much strong career progression."
bad,They promised promotions but never followed through.  Poor management team. I enjoyed the employees I worked with.  I enjoyed the clients I got to see and worked with.  I excelled at my job but there wasn't much room for growth.
bad,Good Work Life balance and benefits but career and culture aspect needs improvement. I won't recommend this place for long term. Short term it is fine.
bad,"Company continues to work on a turnaround and while there are some positive signs (e.g. new CEO, new CBO from prominent organizations) there is still much to be done internally to make Mattel a great company.  "
bad,"Good work life balance. "
bad,"good place to work, hard, long hours , good reward and pay...I like did  not like work conditions"
bad,Not enough work to keep busy during the early months of the year. There needs to be more hours enough to make a good paycheck
bad,"Spent most of my time in the receiving department. Finding and auditing the lost parts and raw materials was the most enjoyable and the hardest on most days. You learned what materials were molded parts, which parts were received from vendors or other facilities. Keeping track of 2500+ individual items in a 1.6 million square foot facility and 80+ storage trailers is a challenge."
bad,The offices of the center for design are extremely sterile and bland not to mention cramped which left me with a bad taste in my mouth.
good,Start your career here to learn how company politics work.  It's a large company where you are exposed to multiple departments from marketing to sales to finance.
good,"As a seasonal employee in the call center, you must be willing to give up the ability to request time off, be okay  with a strict point system for sick days (we only get the liberty to be sick during 2 scheduled shifts in a 2.5 month period), like to get yelled at by people who let themselves get angry over toys, know when you're going to work a week in advance tops which makes it near impossible to schedule any kinds of appointments, accept compensation that is below industry standards, and not have your availability or working hour preferences taken into account when you're scheduled. Seriously I don't even know why they asked. If I could do it over again, I would have looked elsewhere for employment. And often I feel like I'm scamming old ladies into buying more than they need with the mandatory ""soft sells"" we have to make with no commission. Usually there's no time between calls whatsoever to even take a sip of water but best believe if they've over scheduled that you can be sent home with no warning and no compensation."
good,"Uma boa empresa para se trabalhar, aprende-se muitas coisas em relação a vendas, comunicação visual, negociações de pontos extras e contato direto com vendedores responsáveis pelas redes."
good,"Mattel is a high level IP Toy Company,  They have a vision to get the toy industry to be in the movie industry.  They seem to have a lot of changes going on right now."
good,"The list of what needs to be done is really long. In essence, a highly structured machine needs to buy them (eg P&G) or a merger of minds (eg Lego and Mattel via a smart PE firm) and gut the poor leadership, processes, fix technology and fix the energy behind the employees and company. There are tons of jewels in this place and great margin and talent, but it’s depleting fast due to selfish, small minded leadership. You can look at performance over the past ten years and get the gist, look at who remains in leadership and there’s your answer. "
good,I worked at Mattel because I was unemployed at the time and it was also very close to home.  I loved working there but there is no advancement in an employment perspective.  I would have loved to have gotten a permanent position but they have chosen to move their headquarters and leave Wilmot so I will not be able to move with them.
good,Mattel is an amazing company to work for but management needs to focus on their employees motivation level. Lack of trust among employees. Micro managing my subordinates.
good,"Fast paced environment, must be flexible to change as the company has reorgs every 6 months and layoffs every year. Biggest perk about the company is that every Friday is half day work day."
good,Mattel benefit package is amazing.  The job was repetitive and no possibility for promotion.  Loved my coworkers we were like a family.  You never knew from one week to the next the hours you would be working and very rarely two days off in a row and never weekends off
good,Constant lay offs and reorgs.  There is no job security there and Mattel is behind the times
good,"Pessoas altamente comprometidas focando no desenvolvimento da empresa, que tem crescido substancialmente. Cultura organizacional e valores são constantemente revistos."
good,"Girl creative management does not value more senior (older creative employees, with a wealth of experience and proven, consistent talent). If you are not moving up, they will eventually want you to move on and out. If you do not, often they make the work environment very unbearable and undesirable so you will leave on your own accord possibly by slowly making you go mad. "
good,"el ambiente era bueno, se tornaba una buena cultura laboral."
good,Smart people are held back by mediocre leadership.  Mattel has great brands and no appetite (or money) to drive them.  I don't see long term success for the company.
good,I got my internship at Mattel. It was fun and I got my first job here after my internship ended. It offers paid internship and sometime you can get free food for attending some of the meeting during your internship.
good,"Ethical issues arose for workers compensation of an high end retail brand.  Company hired employees for tax relief purposes within the city of Chicago, however, employees were often given only one day a week to work.  Income was supplemented by unemployment benefits often.  In addition, women with children were asked to work shifts that  were harmful to their work/life balance sometimes.  Mothers were asked to work closing shifts often not leaving the store until 9:30 -10pm,  then being asked to return to work the following day by 8am.  This cause mental anguish when i was unable to see/ spend time with my child who lived with me because he was put to bed before I got home and then I had to leave before he went to school on many days.  It was hard to assist other women with their children when I felt my own child was being neglected."
good,"Mattel used to be a great company to work for, being able to attract the right creative talents and right management. Unfortunately in the last five years, because of many reasons, some caused by the changes in children's play patterns, but also because of some management errors and philosophy, more suited to commodities industries then the entertainment industry where the company belongs."
good,Buena empresa pero carece de desarrollo para sus empleados
good,"Loved the work, loved most of the people, but management is fear based and focused on self-preseravtion which makes anyone who speaks up a threat."
good,Working first shift for 6 am to 2:30 pm. Its fast pace work environment. Co-workers are friendly and honest. Most management need a better lesson on manage skills to workers.
good,"No valoran tu trabajo, no les importa la calidad de vida de los trabajadores con tal de que el trabajo este hecho, son muy pocas manos para todo el trabajo que se necesita. Algunas de la promociones todavía se hacen mediante preferencias y no por la calidad de trabajo."
good,"Senior management team is made of a group of friends that have no idea how to run the toy business. Unfortunately, I see how this is going to change in the near future."
good,"Mattel used to be considered one of the best companies to work for in the US. Not any more. In the years I worked there the comapny was on a steady decline, losing its focus and unable to keep up with an ever-changing industry. Now they are lost and are not able to find their way back. They are no longer competitive."
good,"Company is very much run top-down -- executives live isolated in their 15th floor suites, never interacting with regular workers & thus have no ""finger on the pulse"" of what is really going on in the company & industry."
good,"Mattel was like a city in itself, the campus was awesome with multi cafeterias with award winning chefs. Daycare, Dry cleaning, employee Toy store and state of the art Gym for example. Stability and poor leadership was the only negatives, Mattel has 1-2 major layoffs yearly. The running joke was after 10 years when will my number come up."
good,"Het is leuk werken bij Mattel, er werken mensen van heel veel verschillende nationaliteiten en dat maakt het interessant."
good,I really enjoy my work because by teaching student i can learn more about IT subjects. Flexible time. really enjoy where working as tutor
