rating,review
bad,"Great Experience, Horrible Leadership, no regard for family and very political,  I learned a lot but the executive team was very narasitic and driven completly be revenue and don't care about humans"
bad,"Young , lady layed off , by phone"
bad,"need  i say more than that, as long as your face fits, do as your told in a school like manner regardless of what you can bring to the table especially when you just want to do a good job."
bad,It’s a dictatorship and management is very unprofessional. It’s like high school. I don’t recommend this company to anyone. Most of the employees who work there are very unhappy.
bad,"I was brought on to Mckesson through a temp agency that gave a to of false information about what the job was going to be like and what the future with the company would be like. When I got to Mckesson on the first day I realized that this was a mass hiring which they call the ""blizzard"" for the beginning of the year when insurance benefits restart in order for us to call insurance companies for patients. We were set up in rooms with cheap foldable tables and chairs, with 3 computers to each table and barely enough room between everyone to move. We were treated like cattle throughout the entire time I was there. The temp agency told me that after the first 3 months of being there we would be able to be hired on at a full time employee through McKesson, however I was told something much different once I started there. It was rare for people to actually get hired on as a full time employee and even when you did, it still wasn't a good company to work for. The managers throughout the ""blizzard"" only liked the people who sucked up to them rather then the people who were good at their jobs. People would be there one day and gone the next because the temp agency would tell them not to come back just because a manager didn't like them. I am a very hard worker and had no issues with my manager, however I realized that there was no way that I would want to continue on with this company even if I was offered an opportunity. When we completed the ""blizzard"" work, there was nothing else for us to do as employees, however they would still just have us sit around and stare at our computers"
bad,McKesson is not a great company.  There is a lot of bullying and inappropriate behavior from senior management.  This behavior was tolerated and rewarded.
bad,"The material handler position at Salt Lake City, Utah for McKesson is for those who aren't advancing their lives in terms of career, academics or athletics. It is for those whose lives are sustained by still living at home, or still in their mid-twenties. The job is ideally for people who have decided to buy automobiles that will take ten-plus years to pay off (read: they can't really afford the vehicle and all the associated costs of wear, tear, maintenance and insurance). Why buy a luxury or high-performance automobile if all you're doing is driving it to work, with a small commute (or in rush hour) and if you work nights? I digress; this job is for masochists who suffer from the 'Classic American' syndrome that pain and suffering (and ignoring your body's way of telling you something is wrong), constitutes hard work. It is the epitome of 'work hard' (and don't work smart). Energy drinks and cigarettes -- do I need to say anything else about this job that says there is no work-life balance? "
bad,"I worked 14 hours each day, I was always exhausted. Management worked you like dogs and never seemed to care or help when you needed it. The whole company is nothing but a joke. They expect to work you to the bone for little money with no bonuses or no room to move up into the company. I would never recommend anyone working for the company."
bad,"When I was hired as a case manager I was told I would not be taking inbound calls.  That was not true and when I was continually harassed by a member and management told me to suck it up, $21 or not you do not pay for me to verbally abused.  In the end, I ended up in intensive care fighting for my life.  No job is worth my life."
bad,Upper management is horrible. They don't care about you as a person or the fact the you may have a life away from work. Supervisors and managers are to worried about people liking them to do their jobs correctly
bad,They expected us to do our job with little to minimal training.   Play favorites.  Manager was a big bully with many emails sent cutting us down.  Advancement hard to achieve.
bad,Leaving the PSL location was the best decision of my life.  The people there are only worried about the companies profit off of you. Nothing more. I would never recommend anyone to work there.
bad,"constantly in danger of getting fired. they fired and rehire entire shifts every 4 months and only contract work. No help from management, fire you on Sundays."
bad,The work environment was horrible place to work like slaves low salaries no culture no education a lot preference in the job performance they cut you hours no even work 40 a week they push you to finish the job and then send you home early
bad,My manager is a classic example of incompetent leadership. She was promoted to the top when she should have been fired long ago. She has no ability to communicate effectively with her employees. Here management style is management by fear. You're never commended for the 1000 things you did right but you're chastised for the one thing you did wrong. The environment is awful.
bad,Short staffed over worked and half the staff don't pull their finger out no support from management 😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠
bad,"Terible place to work, was written up to be fired due to their attendance policy turns out that they had the number of points that I had wrong.  Employee threatened to fight me because I took his parking spot.  I was written up for not being efficient even though I picked more than anyone on the shift!  HR executive didnt turn in our union paperwork.  Sad place to work from top to bottom."
bad,"My duties were to serve at the counter and counsel patients on over the counter medications.Then after a while I  started dispeng which is a process that requires to pick the right medication(in terms of quantity,strength,active ingredient,brand).On top of that, I was part of the care home staff of the pharmacy which supplies local care homes with their monthly medications.The best part of the job was being able to help people while the downsides were staff(there is a serious bullying culture),the complete disorganisation (we were without a line manager for  months),the total lack of training and the fact that the pharmacy was constantly busy."
bad,Company services & panders to multiple pharmaceutical vendors.  Programs are not well thought out or staffed. They hire a mass of temporary employment with promises of permanent jobs but realistically taking on about 5% or less. McKesson & Temporary service (Remx) work together to hire and end contracts at whim hiding under state labor laws. Warning most jobs last 6mos or less.
bad,dont work here not a good company to work for bad pay bad hours bad managment bad location stay well clear treat there staff really bad dont pay wages on time
bad,"La supervisora y las leads tienen preferencia con los empleados ,yo me tuve que ir de la compañía por que una lead,la supervisora y una compañera me hostigaban y ya no pude soportar más, nos tienen esclavizados hasta horas de la madrugada y es obligatorio quedarse ,no hay vida ,al menos yo tengo vida fuera de esa empresa ,estoy feliz de haber dejado ése ambiente tóxico  por culpa de ésas 3 personas estuve muy enferma."
bad,"So I started working for Mckesson as a temp through the agency remx. Biggest mistake of my life. They use these temp agencies to do their dirty work, they use employees holding a permanent position over their heads and pull the rug out from them and fire them at the last second."
bad,"Lack of professional characteristics being shown in office. "
bad,"McKesson, especially Scottsdale office, is a toxic environment and I encourage anyone considering to run for the hills, I promise you won't regret it. "
bad,"Dishonest management."
bad,"McKesson leads are all white with the exception of 1, who is extremely passive. They assign sweeping the floor, cleaning freezer bags, pulling apart foam and bubble wraps, taping boxes to people of color. I brought this to management attention, and I was told I will do what I'm told and if they want to assign me the job everyday they can. They have made the employees work with no running water, or toilet facilities for hours, the system crash and they made the employees stay for 6 hours with no work, but they made people of color sweep the floor, and build boxes while everyone else stood around talking.  I was under the radar because  I questioned why haven't white people been assigned these jobs once? After that, I was let go."
bad,"Horrible experience save yourself the time and headache I wouldn't recommend this horrendous unorganized favoritism and belittling to anyone."
bad,When they hire you they hire you as a temporary employee. It sucks cause they can determine when you become a full time employee. Which I find favoritism.
bad,Management all somehow connected awful experience can’t even go into words a lot expected of you for nothing back no empathy for colleges and very unprofessional
