rating,review
bad,"Don't waste your time, they state $34.17/hr. but after you contribute to your good union pension you really only make $27.77/hr. The health, dental and vision insurance is complete garbage, extremely high deductible and out of pocket costs. Practically nothing for a shift premium, I personally would not recommend this place to anyone, its been horrible for over 10 years!"
bad,"New CEO has no clue how to run a business, go back to crunching numbers and let someone with the last name Coors take over. What moron takes an iconic Colorado brand and up roots to Milwaukee? Good luck surviving. Budweiser will end Coors sooner than later."
bad,I worked hard and deserve to be full time employee. Somehow they hire new trainee to become full time employee over me. Upset with their decision.  Many good employees were upset with hire and prefer me over them. I moved on and decide not to come back again for another 3 years contract term.
bad,They take advantage of the temps and once your time is over no matter how high your numbers are they let you go and then call you back in couple months . No change for opportunities to grow.
bad,They put people in management in certain department with no experience. It should be mandatory to know what the job actually is before assigning new management to represent a department like heavy equipment if they came from the packaging department. Money was good split shift was horrible and numbers are going down in sales probably a matter of time until most plants shut doors.
bad,This place sucks. The people suck. Everyone and everything suck. Don’t ever work here. I am ashamed to be an employee here. If I knew then what I know now I’d never apply
bad,"This place is for you if you like doing a job for half the price of you co-worker , no insurance, paying union dues and getting no representation, told you are just a temp your opinion doesn't matter, management is so horrible they put you in dangerous situations everyday and don't care.  They have unfair hiring practices . Racism is crazy because of management.  All in all this place is terrible for your life and well being."
bad,"This company can do better. the work is bad, like i said before. What you going to do about this. I needed a job. I going to take this step up. I have all the fact about this company."
bad,not interested in trash talking companies. The culture here is cut throat and the company doesn't care for its employee's at all. You are way under payed and work in old terrible conditions.
bad,Would tell employees not to call in to work until your shift had started. There was NO way to get on with company full time. They only use contract worker. And don't me to work overtime 10 minutes prior to end of shift.
bad,If you are a Vet don't even bother trying to get hired on. they are no longer Vet friendly. they used to be in the past when they were strictly Coors. I'll never buy a miller/coors product again.
bad,Union work with management I they don't like u they get u fired and management harassment If I have no family there the don't respect you
bad,Horrible management with absolutly no morals or ethics especially in the treatment of contractors.
bad,"I can’t find a single employee in R&D who’s happy. For how important our job is to the company we’re getting paid less then brewery workers. Our project load has increased at least 5X in the past 2 years with no salary increase or additions to staff. Our manager is gone for sometimes a solid month for work trips, we have no maintenance team, our software is ancient, there’s no preventative maintenance program, no safety training, and no access to basic supplies, they took our lab staff away, and we don’t have meetings to talk about improvements because we have no time or money and no one cares. Also it is an overly corporate bro-culture so harassment is EVERYWHERE and we can’t report it. I took a 30% pay reduction getting “promoted” and moved to Milwaukee from Colorado to work in R&D to see how the best-of-the-best innovate. Now I see we’re the worst-of-the-worst trying to compete with the best-of-the-best."
bad,"I thought working for Coors would be a great opportunity and a job that i could retire at. Man, was i ever mistaken.  I was a second shift forklift operator as a temp to hire, so of course I'm at the bottom of the seniority list. That is not a place on the list that you want to be. Working 12 hour shifts until your contact is up and then they let you go."
bad,Poor working conditions.. No work life balance. Company does not care about there employees. Company tries to brain wash there employees that they are broke when they make billions in clear profit every year. Craft employees dont get to do there job. They are used for relief operators.
bad,"the worst company culture I have ever experienced, the F bomb is dropped every other sentence by upper management and disorganization is the norm."
bad,The only part about this company that I like is the pay for employment. I don't find management is helpful for advancement and the HR dept is lagging integrity.
bad,Money is good but not worth all you had to loose to get it. Company doesn't really care about there peope. The people are cut throats. HR department is poor.
bad,Your wasteing your time if you go in as temp because they will tell you that you gonna get fulltime when that time comes its bullcrap. They dont care about your lifestyle at home. You work messed up schedule.  Some of the teams are ok and some you cant get along with.  The company went down hill when different managment took over not worth working here with all the drama
bad,Had no training or support for the job I held! This was the worst job of my career.
bad,MillerCoors isn't the place for young talent due to their lack of development. The organizational structure is also terrible due to the very few positions or possibilities for advancement within the company. Prepare to work at least 5-10 years before advancement.
bad,"Sinking ship.....What more can be said for big beer?"
bad,"I worked for Miller as it became MillerCoors.  The company culture was great, collaborative, and energizing.  I learned so much.  I had to leave MillerCoors due to my spouse's job transfer.  I was able to rejoin MillerCoors several years later.  The company culture had changed so much--and not for the better.  My new manager was a micro-manager extraordinaire. His total approach was a CYA approach. The job market within the company had become so cut-throat that the only interest was in protecting his job.  The project documentation had quadrupled in number of documents.  Most were just repetitive copies of each other and provided no added value.  When my department was merged into the MolsonCoors business unit, the transition was handled so poorly that I knew there was no way to continue to successfully work for the company."
bad,Disappointed in management: poor communication and lack of decision making. Multiple layers of management but replacing lower level support positions with contingent workers.
