rating,review
bad,A typical day at work is being understaffed and forced to work 12-16 hours per day because you cannot go home until the work is done. Employees show up drunk and/or high and were never sent home or disciplined. Very unsafe work conditions. Awarded with pizza occasionally after inspections were passed.
bad,"Very little room for advancement.  Part time employees are given less than 24 hour notice of their work schedule so it is hard to plan anything or make appointments.  You are never in the same stores from day to day so often times, no one does everything they are supposed to because they know someone else will have to deal with it the next day.  Nothing is consistent with this place.  They will tell you one thing and then do the opposite."
bad,"B. Fritz inkompetent für seine Position"
bad,Promised 30 hrs training got 10. Promised 15 - 20 hrs week got 6. Required 30 cases of product worked per hr but only given half the time to finish work  so for 120 cases I was given one hour to complete the task.
bad,Wack company to work for they not good to you i just wish i was a little better with communication with management  when things are wrong with equipment.
bad,"•	Managed product inventory for 20 retail locations ensuring proper rotation and freshness."
bad,Every year expect more work with less pay. Mangment constantly changing becuase of demand and lack of quality managers willing to accept the postion for the pay. Worst mangment ever experienced in retail. Over 20 years of retail experience.
bad,People who scheduled employee routes did a poor job. They would have us driving all over North Texas just to service 7 or 8 stores on any given day. Complete waste of time and gas.
bad,"They will work you to death. Drive time not counted when they do schedule. They give you 40 hours and then you drive 4 or more hours a day on top of work hours. If you get hurt on job, they fight the claim and send emails of lies to LnI to try to get out of paying your claim."
bad,"Cultura retrógrada, maus hábitos.. metodologia inoperante. Péssima Empresa."
bad,More work than pay and it's bi weekly can't have a life with this job its literally  check for check I would not recommend  this for someone trying to provide for a family
bad,"Too many stops not enough help and having to deal with placing a lot of stock in back room that the managers of the stores doesn't want in them."
bad,Started at 25-30hrs week quit after being scheduled only 1 day a week for about 1.5hrs a week total supervisor lies and unorganized drive 30-50 miles from your home salesmen not taking responsibilitie for there over ordering of product then you have to deal with receiving clerk for taking up to much space in the store
bad,Bad company to work for all around. Poor quality management. Little to no training. Lots of hype and no follow thru. Horrible time keeping system.  Wouldn't do it again.
bad,The hours are WAY too long at 12 hours a shift for only 14.50/hr. The supervisors are picky against some and too lenient with others.  It is a stressful and very tiring place to work. Not worth the 12 hours a day. They even made us pay for the candy if we wanted to take any home.
bad,"They PREACH work life balance. There is NONE. You get your schedule, at 5pm the day before and it will frequently change. They give the Sales and Senior Sales more deliveries than the merchandisers because if they keep the merchandisers hours low, upper management will bonus. Sales and Seniors are told they will only do about 30% of deliveries, but that is total lie. As a Senior, you travel constantly. A week, at a time, you are on the road, covering a Sales persons territory, while they are on PTO. Sales people will leave Seniors all their returns and out of dates to clean up, when they are on PTO and then throw you under the bus when they come back. Management turns a blind eye to the Sales peoples sloppy work and blames it on store and merchandisers. Stores treat you horribly. Management will call Sales on their approved PTO, if they have an issue. Must build displays and do deliveries on ad day. Truck deliveries come at different times, every day and are constantly late, so again work life balance is a joke. If a truck is a few hours late, you are expected to clock out and sit in the parking lot, of the store and wait till the truck gets there and then clock back in. The time in store, they assign you is never enough to get the job done properly. Management is clueless to the challenges, at store level until a truck delivery is denied, at a store. Then they care because the sales loss, from that delivery not coming through, affects their bonus. Work is very monotonous and hard. Your feet, your back and your knees will kill you because you're constantly on hard floors at"
bad,"the job was boring, bosses sucked and bunch of kiss butts there.."
bad,This was without a doubt the worst vocational decision of my life. I was with the company for years and was passed over for promotion several times.  Please do not waste your time and efforts with Mondelez International.
bad,I have worked with this company long enough and it shows that hard work doe not get you anywhere. seems like the ones who do the least amount of work get promoted and recognition for other people's work. I chose to leave this company because I am no longer proud to work for a company as messed up as this. we have managers that do not even qualify to be entry level employees.
bad,"Poor management, poor ventalation lots of excessive powder in production area of packaging. Low morale  favoritism. Will put someone in charge over crew that has little to no experience. Poor and little leadership.."
bad,"Great on the surface, and the worst nightmare underneath. The culture is borderline brainwashing, and the job performance was judged upon social interaction and not excellence of execution. Very hostile work environment."
bad,"They promote ""fun"", ""safety"" and ""collaboration"" , but it's none of those things.  The managers and scheduling are nightmares.  You are expected to be available at literally an hour's notice and when you are asked to pitch in and cover busy times, then they complain about hours worked and threaten to withhold pay.  They are constantly pushing the output quota, but it's impossible to meet it while staying safe and having the end result look ""grand opening"" ready"
bad,"Un-involved District manager, no room for advancement.  Not enough employees to cover territory.  Hard to fire employees who are not doing their job, others have to cover."
bad,"this was the most awful experience and a complete waste of almost three years, this company never promoted from within and the female manager maintained and endorsed and provoked a hostile working environment"
bad,"I worked him briefly the manager is TERRIBLE lacks self esteem so she talks negatively about the employees. She encourages temps to steal company time, I feel the corporation is a good place but because they have negative people they run the place no one will ever prosper unless you like to kiss up. Uncomfortable work environment the manager is very childish !!!"
bad,You use your personal vehicle to drive store to store. no specified lunch or break. very poor communication with management. poor instructions. very stressful
bad,Management promotes team atmosphere.  The team is consisting people that are out for themselves and don't care about others.  Which makes for a very difficult working work atmosphere.  This is why there is a high turnover in people.
bad,very hard work for the money you need to be at the grocery stores at 5:30 in the morning.  They did not pay you to drive your car to the first location and then they put the gas money on your paycheck.  Really horrible company to work for.
bad,"Hurry hurry hurry, nothing is done to completion. If you just want to get by. This job is perfect if you take pride in your work you need to move on. I haven't worked for a company this bad ever."
bad,Se coge nucho peso y no existe ergonomia en los puestos de trabajo
bad,"The company is falling apart. The multi-tiered nature creates animosity. There is a culture in the company of passing the buck, making store personnel out to be bad guys thus making for an uncomfortable relationship between Mondelez and whatever store you are working within. The management was incompetent to say the least."
bad,automated schedule creator limits hours but you are required to work an entire store under the limit with too much stock. working the full store can get you fired
bad,"trabajo de 8 horas, por agencia, la empresa no contrata"
bad,"would not recommend this job to anyone vague on pay wouldnt pay mileage never let you know when orders were in"
bad,"terrible pay, no paid days off no benefits.they will work you 70 hours 1 week 10 hours the next. tons of driving, the job isn't hard but the pay is terrible."
bad,"This company will call you in the middle of the night to work you in the next morning. You never know what your schedule will be the next day. Merchandising is very stressful. You will work parttime-fulltime anywhere between 6-8 hours a day. Maybe 30-45 hours a week if you really can move. "
bad,"When you first start the managers make sure you're happy and take care of you, after that you're just another person that they could care less about. "
bad,"Management does not take fresh ideas from employees even if it helps the company make money. Push for sales at all costs, not customer or employee friendly."
bad,Cuotas altas para k no le llegues.no le interesa el personal.rotacion de personal bruto.seguro gastos medicos hasta k no tienes planta pero misma exigencia como si la tuvieras....Solo el nombre le quedo....anteriormente nadie se salia de esta empresa.
bad,"it seems if you need to ask off then they don't work you.  they don't hire from within. no hope for advancement. they are not fair about the hours at all, they have their favorites and i'm not one of them .. since I have been with the company they have hired two new full time people they knew I wanted full time but no, not even consideration, hired from outside friends which I think is pretty darn sorry."
bad,"They can't keep anybody ,when they think they have enough part timers they give the hours to new part timers ! I would not recommend this company at all !"
bad,"Poor management. All were under 25 and had no idea how to deal with people. Took 5 weeks to recieve 1st check. 2 months later they still owe me for my mileage. Rude,unprofessional, and if you don't suck up you get 0 hours. They will also run you in different territories with no notice. Have to wait daily for a schedule. Took 4 weeks just to get hired in. Don't waste your time here. Company has gone totally downhill"
bad,"Management is awful, customer service takes forever to help you, if they even do. This us the most unorganized company I've ever worked for and to them, you are valued or appreciated. You are a work horse, not a human. They are two faced about everything and no matter how hard you try, you will not please them."
bad,"Run the other way, poor management, long days, late trucks, way too much backstock, out of dates sitting in the backstock with sales counselor not writing them up"
bad,"overworkrd not knowing when your working they tret you like . slave and question every decision "
bad,"bad hours, no room for advancement, very little communication, unfriendly. unorganized. glaad i dont work there anymore.................................."
bad,Long hours with little or no help. Management does nothing to help but threatens with write ups and firing if you don't adhere to the rules. Objectives too high to achieve.
bad,They don't care about training you they just care that they have bodies in the seats and when you don't do something right they just yell. The hardest part is just trying to get through the day honestly.
bad,Don't get your schedule until Thursday night and then it's never right. They give you way too many stores to service in one day and don't pay you enough for what you are doing.
bad,"Today Mondelez wriggled out of paying their Sales teams their hard earned bonus.  "
bad,"Horrible environment. Spoken down to almost daily concerning every aspect of the job. Laid off after producing better numbers than long term employees.  Boss told me to take PTO days that were scheduled, after telling me I was losing my job and now the company won't pay me for them. Some employees were treated better than others. District sales manager wouldn't come out to help anyone-too far of a drive with a company car."
bad,"No room for progression, have holidays off but have to work the day before and after, expected to report to work even in inclement weather, have to deal with store personnel on a power trip"
bad,"Fun job to be out and about every day, stocking shelves, removing out dated product along with getting to know each of the store managers and gaining their trust in  putting up appropriate displays."
bad,"Would like a job where I can utilize my degree in Business Administration. I do not feel that I will ever get promoted. If I'm lucky I get 20 hours a week, I cant live off of that"
bad,"I worked for this company and did not have a very good experience. I worked 7 days a week most of the time, although U never worked more than 30 hours. Since there is a lot of driving I paid more for gasoline in my car than I made in a week. I was hired on with paid mileage, but then I was told that I could either not get paid my mileage or transfer to a different area."
bad,Very physical with long hours.  Hated it and the people sucked.  Not a team environment at all.
bad,"The management is incompetent, expects results that are clearly not attainable. Poor management support out in the field. No direction. Hired as part time and then required to work full time hours. No flexibility and disorganized company."
bad,"I originally worked for Kraft and was working for the company through out the transition from Kraft to Mondelez International.  While working for Kraft I worked harder than ever as both a Sales Associate and a Sales Representative but I learned a lot and felt like I was working towards something and building a career.  After working for the company for almost two years I left my role in the Minneapolis market and was rehired as a Sales Associate in the Phoenix market.  My spouse took a new position with his company and due to his transfer I needed to transfer as well. That's is where my experience went down hill, starting with the fact that I was not able to transfer my position I was treated like a brand new employee and forced to start over and take a demotion or nothing at all.  I was disappointed that even though I worked for a nationwide company there was no support for an employee in good standing looking to transfer.  In addition to that unfortunately there were some major differences between the two markets.  I have never been treated as poorly as I was treated working in the Phoenix market.  It was so disheartening after working hard and seeing the results from my hard work in one market to come to another market and feel like I was forced to leave due to the way I was treated.  Management was very young lacked experience, there were several instances where management crossed the line of professionalism but they were never held accountable.  My manager in particular talked down to me on a regular basis and thought it was acceptable to discuss the fact that I was pregnant"
bad,Started as sales rep in Maryland and moved forward with company to account manager of grocery direct
bad,I worked for this company since the 1990s. Nabisco was great! Best job in the world. Mondelez took over in 2012. Nothing but abuse from the managers and the new Mondelez international. Expected to work on your own time as over time hours will be taking away. Pension and Bonus are a thing of the past.Be your own Doctor because their medical is like not having any at all. Threats daily and abusive slandering from managers. Filed a complaint which was over looked by HR. After leaving vacation pay and over time hours never paid.They are still holding my 401k hostage. Don t believe the lies this company went from hero to zero and lawsuits are coming.
bad,Very low pay and way to much responsibility the Sales Reps make all the money and the Merchandisers do all the work.Every store u venture in is always mad at Nabisco way to much product in back rooms do to over ordering and distros.Managment is terrible most of them have no business being in the positions there in.The best part about working for Mondeleze is the drive home!
bad,"Employed on a 6 month contract but my contract was unfairly terminated  in front of the whole office before being marched/escorted off site in such a criminal manner but two people who completely lacked emotion or care in the world. Experienced a great deal of discrimination, favouritism, lack of management and respect. Implied job security for duration of contract but got rid of 5 people with a snap of the fingers, with poor and weak reasons."
bad,Was misinformed told 25 hours now told cover full time people not right or fair they get full time hours plus BENIFITS part time does not you can’t live off people’s full time take vacation or sick wont pay your bills kept my days open not for this I have to live too will have work other job because misinformed when I was hired  people go stock shelves for Walmart Jewel think they are boss of you rude
bad,This place is one of the most unorganized facilities in Atlanta ga. I was a line manager at this place and I would not recommend it to anyone. This company is ran by 3 blind mice like the children's song. The business unit managers have applesauce for brains.  The uncertainty is terrible!!!! Cant live life with so much uncertainty!!!!!
bad,If you have a family this would probably not be a good job for you. The hours you work are very inconsistent and your schedule fluctuates every week. Not only that you have to use your own car to drive from various locations.
bad,Horrible place to work don’t trust management they lie right to you’re face same goes for the sales representative all they care about is hitting numbers.
bad,Mondelez could be a great company to work for but they still have too many good old boys in lead positions that ensure their kind of people are promoted. Minorities will have a difficult time advancing past Supervisor positions.
bad,Working at the company means going to numerous meetings in a day with no value added. Management is very biased and treats people unfairly and plays favorites. There is no work life balance. There is a reason why they have such high turn over rates with supervisors.
bad,"A typical l day at work would depend on the store schedule.  Most days the managers were very helpful. Others would be upset with upper management and take it out on you.  Discussing issues with managers would not solve any problems, in many cases it added to them.  There was little to no motivation from the managers.  When you work hard there is no type of encouragement.  Most of the other employees rushed through their assignment with product just thrown on the shelves not neat and if you took your time to do a good job, I would be accused of using too much time in order to get overtime."
bad,"Went through 2 area managers in the matter of a few months. Never knew what you were doing the next day until sometimes 11 at night. Wont pay for all hours worked.  They also hold back on your mileage, will cut about 100 miles off every week that you should have been paid.  Also will call while you are working to have you drive to another town and cover for bosses who were too hungover to work. The place had the most uneducated back woods employees working for them.  It's not worth it.  They hire high school dropouts to be the new bosses for the ones who have all quit."
bad,"very bad morale. management is horrible "
bad,"Typical 5 stores and allow some much time per store according to Wise program.  Suppose to be an eight hour day, but it never works that way unless you curve corners and service at each store."
bad,"Job advancement at Mondelez is tough especially if your a white male.  If you are female or have a hispanic name you will move up through the company in no time.  Females can go from a part time merchandiser to a director in no time.  "
bad,In this position you are on call 24/7. There is zero work-life balance. You have unrealistic expectations because you manage over 60 employees and have to please over 150 grocery stores. The district managers place all of their responsibilities on you as well. Mondelez doesn't care about their employees and only wants to cut cost. The culture is horrendous and the objectives continue to get hire so the company doesn't have to pay bonuses. Constant restructuring and motivates by fear. STAY AWAY!!!
bad,"looking for full-time work. I do not feel that I have a future with this company, would like to utilize my bachelors degree."
bad,Work is fast paced and days go by quickly. Company is currently going through a re-structure which makes advancing your career extremely difficult.
bad,"Worked at a Chicago suburb location manufacturing Triscuits."
bad,"Es una basura en especial el cap de cuautitlán el gerente es un despota acosador y la demás dirección  solo se la pasa de fiesta y haciendo negocios turbios con los recursos adicionales que da la empresa es decir con la degustación."
bad,No home time been over a year and I haven’t touched a truck yet they slave you in the warehouse no sick time your sick and miss it’s a write up OSHA should come check the warehouse it’s not ventilated it’s hot working 12/6 a week your treated like trash mangers don’t follow the union contract and high seniority tries to bend the contract to there favor
bad,"The people within this company will not give you a proper opportunity to grow or advance. Definitely favouritism is a problem. Also, the job is very labor intensive and you will feel really exhausted after a day of putting out merchandise. I not just being negative I'm speaking facts because I was one who was over qualified, but did not receive a chance to prove my worth. Sothis"
bad,"This company gave me the run around but good. The first warning sign was when I told them in my interview that I can only drive an automatic vehicle (driving was required for my job), they said that it wouldn’t be a problem and that they could organise an automatic vehicle for me. The vehicle I was issued was a manual and they expected me to drive it from day one. After jumping through several hoops to get an automatic vehicle organised for me, they gave me one on a temporary basis. In the 9 months I worked for them I had four company cars (as a result I now have a £758.00 tax bill that I have to pay because going through that many company cars in such a short time). Had they listened and kept to their word and organised an automatic transmission vehicle in the first place, it would have saved time, angst and money on both mine and their behalf."
bad,"If you have a job don’t apply to Mondelez "
bad,"Poor management that likes to micromanage from a distance. Never listens to whats happening on the street. They know it all, and don't want to hear your opinion."
bad,I was told when I was hired that I was part-time as soon as the holiday season was over I literally received maybe 1 day every 2 weeks. Then the one day I did work I made an error the supervisor not only texted me very nasty messages but called me and was very nasty after I offered to go back and correct my mistakes!
bad,Stay away.  Poor management company doesn’t care about you as a individual very bias.   Job security in this location is all about who you know.  No room for advancement
bad,"This company expects you to be very quick paced and does not  care about the complications that may cause you to get off track, sickness or otherwise."
