rating,review
bad,supervisors were not understanding to employee concerns most of the time. New employees opinions were not taken seriously. staff rarely gave good feedback regarding employee work performance
bad,Complete lack of integrity from all levels of management and Human Resources. Employees are afraid to talk at the working place; they act as robots. Nothing human.
bad,Don't work there since they no longer exist. There is no point in going to work for the evil empire because they sold out and now are owned by Bayer so there is nothing there.
bad,"Things were fine when there was local American management.  When the Germans took over, a junior person from Germany will run things like they do in Germany for 2 years.  Then it's back to Germany for them and another junior German will take their place...Their managers don't want to be bothered...Is it any wonder that even experienced senior people are leaving?"
bad,"Terrible place to work at! Would not recommend at all! The supervisor in charge of all the contract employees is rude and condescending. They expect you to work your butt off for the whole 8 hours every single day of the week. Even when we were giving it our all, it still was not good enough for our supervisor. The company expects a lot from their contract employees and cares little about their safety and well-being. The hardest part of the job is that it is incredibly repetitive. I accepted because I believed that I would gain experience and learn some lab techniques. Be warned it is NOT a lab job at all. You do medial repetitive work every single day with little chance for advancement. I did not learn anything while working here. The workplace culture was fast-paced and stressful. Sometimes we were expected to finish two days work in one day because they did not want to pay us for overtime. I think it is ridiculous as to how much they expect from their employees and the management definitely did not help at all. Instead of being helpful and encouraging the supervisor was angry and irritated most of the time. The other lab technicians that have been there for a while also seemed to think that they were in charge of the new contract employees as well and they would often talk down to us in a condescending manner. Terrible job and terrible management!"
bad,"Very siloed environment no upward mobility Wizard of Oz mentality WHAT diversity? Kitchen staff is very nice, but I didn't work in the kitchen..RUN!!!"
bad,Contractors do all the work and get no credit. There is little to no chance for advancement. They never hire the contract employees for full-time permanent jobs.
bad,"It was like the bad girls club, if you made a co worker mad it was like second grade all over again for the last person to get picked on a team. They never heard the overall story of the information they got things from they just took one side over the next."
bad,"The company only hires contracted 'employees,' because they do not want to risk of thinking of them as people. They are hired for numbers (based on the contract time offered), that are expected to work without any training. This position was overlooked by some inexperienced HR representatives and after working here for a short contract, I not only didn't get further recommendations from other employers due to Monsanto's terrible reputations, but I also didn't see Monsanto following their mission statement. I feel sorry for the poor migrant workers they have working in their factory with countless safety violations. Do not believe me, take a stroll through the company via a tour and see for yourself how on edge the employees are because they are afraid they will be let go."
bad,"I had terrible time at Monsanto. Managers, director and HR lady harassed me very badly for my interest/ passion to learn and contribute in the science field that I was excited about. HR lady yelled at me to sign a paper that my manager framed lies about me. I am a 'A' student but they made me do the brainless labor works and never let me grow! I quit my full-time job there to start as a contractor in another company."
bad,"We worked in corn fields. We didnt learn alot, The management was very nice. The workers were easy to work with and get along with. The heat was the hardest thing."
bad,"It's a very stressful job, nothing to motivate employees to work, no communication with the managers and not very helpful. And managers always have an attitude."
bad,"Bayer has poor management, It's a seasonal position and you will work your butt off driving to 15 stores every two weeks. You are putting up displays and packing out your merchandise. But, If for some reason the company has no more use for you after the season is over, they will not give you any explanation in why they are letting you go?  I never have taken a day off from work and in each store that I have attendant my duties in putting up displays and packing out my merchandise. I have gotten nothing but praises from all of the other store managers."
bad,"Enjoyable job meeting doctors/ discussing with them about our products. Assisting medical reps close a sales, achieved an efficient and effective detailing call"
bad,"work like a dog with equipment that shouldn't even be in service, ""competitive wages"" is a joke unless you are comparing the wages to McDonalds, If you plan to advance here better be the laziest person around bc the people that work hard daily dont mean squat to this company, not even guaranteed a 40hr work week bc if it rains a half inch you go home and sit sometimes for 2 days...nobody actually cares about even working there, supervisors dont care, sleep in their trucks, some employees even sleep in the equipment DURING the work day, and guess what they still have a job!...  Dont fall for the ""Employee owned"" BS bc its NOT....But if your lazy and like to play on your phone all day, go for it...you can become a supervisor, the most enjoyable part about working here was being able to not have to go back to this place another day of my life"
bad,"Its a good place to work if you want to be stressed, nobody ever knows what they're supposed to be doing the managers can never be found and they don't care about the employees well being"
bad,"I worked there as a sesonal worker. Very disorganized, the companies didn't care about its workers and the work conditions they were in. Staff was not friendly, wouldn't even say hi."
bad,I was mistreated as a contractor and lied on. I will never work for that company and I don’t recommend it to anyone. The company doesn’t care about contractor. I experience racism and was mistreated on a daily basis. I was very depressed working there and I was talked about like a dog. I was also let go unlawfully.
bad,"Company doesn't recognise employee contribution. No leadership in countries (100% Head Quarter managed) Top management only saves their skin, no leadership"
bad,To much of a staff turnover. Alot of difference between people and everyone has a hard time getting along. The salary wasn't where I needed it to be. No room to grow.
bad,Monsanto does not take into account the information of all parties involved in anything they do. They choose what is best for a corporate environment and not what is best to take care of their customer or employees.
bad,"Dificil promoción muy politica, RH poco involucrado en el desarrollo"
bad,"No opportunity for permanent position. Impersonal, lack of professionalism in management. No development opportunities. Divided workplace. No affordable health care, vacation etc. "
bad,"This place was the worst group of managers that I have ever been associated with.  When it comes to work assignment, they want you to find new ways to perform on a task, even though you have completed all your assignments.  Not a good place to work!"
bad,"Do not under ANY circumstance consider this place for employment. The PTO is ridiculous, you barely accumulate any hours every pay check. Management is all about favoritism and brown nosing. You don't suck up, you go nowhere. They've taken away all bonuses, cut our pay by a substantial amount, give bogus quality scores, and act like we should be happy little peons to work there. This place is going down and I am not going down with the ship!!"
