rating,review
bad,"Pesima, empresa desde el motoexpert que no se porque se llama asi si no sabe nada, y los administrativos estan peores se creen la última coca en el desierto...son una basca los de recursos humanos y los couches de ventas igual de basca..."
bad,"CHRO has favorites, didn’t use survey data to make changes identified in survey, instead made her favorites bigger roles and now internal employees/managers get worse support from HR.  "
bad,"This “Inebt manager of finance in Temecula is the worst of any manager I’ve ever come across in my career.  She would bad mouth the people and procedures over her to her staff holding no regard for Gap accounting methods  and actually growling at you in a meeting of your peers when corporate managers were quoted in procedures and then never speaking or invited to another team meeting ever..They also issue their employees subpar, old and broken computers and expect you to have them fixed personally if you want to keep up on all their inadequate and outdated and crashing accounting softwares . Absolutely horrible place to be anytime and at any level.  I’ve never seen anything so appalling in my life.  Nobody has any respect at this Temecula office for the Motorola processes and has NO intention of following Simple GAP ACCOUNTING METHODOLOGY."
bad,There is nothing to say only ...as usual like c cat company. No active planning mkt awareness zero I. Offline. Less focus on genreal trade can do much better but for this need dedicate zeal manpower . Planning with full proof plan...exexuation is low.
bad,"I worked from 6am to when ever they decided I could leave, which sometimes meant 9-10pm. I loved my co-workers but absolutely hated the management. If and when I saw them, even putting all those hours in and never leaving work behind, while working multiple departments, it was never enough and would continually be berated because I was just a contract worker."
bad,Worked  here over a year then they relocated the factory. I was not able to relocate. It was a very physical job and not very easy to learn. I would not be able to do this.
bad,hated this place. hard time communicating with my co workers. too much out of work gossip and drama brought into the work place. no work ever got done. not surprised this place shut down
bad,Management use to give wrong direction and created bad culture. Nothing was a joy about this place. Members of the management use the cut throat method to solve problems instead of looking at the root cause
bad,"Another food giant, fast paced, rotation is a must. Watching code dates on products, staying organized. Keeping good moral in your store, always help controls theft"
bad,Motorola has no manufacturing facilities in the US anymore. Anyone looking to find a manufacturing job for Motorola must travel to Mexico or Shanghai China.
bad,"Meet some good people working there but Motorola doesn't hire permanent position. No insurance of any kind . And no job security, there was favoritism everywhere , the lunch room food was terrible"
bad,"None stop layoffs, never knowing when you will be next. Horrible work environment and too many ""managers"" with not enough workers actually getting the work done. Corporate makes the bottom line look good by selling off all the property in Schaumburg. The company does not care about it's employees at all. It changed from an acceptable health insurance to a ""private exchanged program"" that tripled the out of pocket costs to get the equivalent coverage. The HR Director knew this new health plan was horrible and he left, now there is an Interim HR person in there blowing smoke."
bad,"A parte mais difícil,é que não tem estabilidade,pois por ser uma empresa de eletro eletronicos,cai-se muito a produção"
bad,"no longer in existence, very stressful environment, poor leadership"
bad,met and seen new faces everyday due to the high turnover rate
bad,"Não tem planejamento eficiente, bagunça de estocagem, sem planejamento de crescimento profissional e mal tratamento interpessoal."
bad,"aprendi muito sobre tudo,poderia exercer a funçao de qualquer pessoa la dentro,porem a empresa nao tinha uma supervisao adequada e nao dava o suporte necessario."
bad,Uma empresa que dá oportunidades para pessoas que nunca trabalharam com produção
bad,Sexual harassment. I was exposed to hazardous chemicals that cause sickness to me and death to my coworkers.
bad,uma empresa boa que trabalhei sobe contrato trabalhei na produção até o fim do contrato
bad,temp with the usual chew you up and spit you out  everyone unless you knew someone worked a year and a half and was let go
bad,There could be an ongoing series of books highlighting the incredibly bizzare company called Motorola.
bad,A once great company reduced to a shell of its former self. I guess patents are worth something.
bad,Work too much and lots of people get laid off.  Benefits are good.  Vacation is good also.  But you need to be home and raise your child.   Kind of scary environment when lots of people are laid off and management does not listen to employee concerns.
bad,"In my opinion, there has been a downward movement in the company for the last ten years."
bad,"Motorola mobile device is really sinking and no hope to turn around. endless layoff make people working there very stressful, along with so many overtime work due to lack of resources."
bad,"I am very good at developing the Test Plans, Test Cases, Test scripts, Functional testing, Smoke Testing, Integration Testing, Regression Testing, system Testing."
