rating,review
bad,low pay  management is real unorganized. they care about there buddys this company hires illegal immigrants to drive 18 wheelers and even lower management are illegal immigrants and take care of one another
bad,"Would never recommend putting yourself in a bad situation such as NGL"
bad,Management on drugs. No regard for employees.  High turnover.  No training.  Environmental issues and violations.  Blames problems on staff.  No leadership.
bad,Got fired cause did not use hand scanner to clock in. And out think that is not fair due to hand scanner not working just looking for a reason to let people go sorry company to work for
bad,need alot of management changes with in the company and the right people to be in the right places and then it would rise but at this time it will just stay below margin
bad,Repetitive work. Management has no consideration for their employees and they are constantly replacing people with the high turnover rate. A typical day consists of fixing mistakes made by other people and handling overdue invoices that never got paid. They don't offer raises even if you've been an employee for years.
bad,"Horrible work environment, discrimination, slandering, toxic work environment. Unfair treatment. Just horrible I wouldn’t recommend working here to anyone."
bad,"Busy, stressful due to the environment created by upper manager"
bad,"Don't do it this company says stuff and will do the opposite cut throat micro management you have to constantly watch over your shoulder even if you think you do your job as it says in the handbook and trained to do so shave policy no hair past the corners of your mouth automatic write up no raises no bonuses no recognition on the good you do only the bad slip seating , hauling water or frac sand pays the same if not more"
bad,The place is a joke in New Lenox please do not apply at this location you will regret it me and several supervisors left that place  no balance life the place is terrible and not safe
bad,Ngl energy partners is the most backwards company to work for. They dont care about employees safety at all. None of there safety stations work like eye wash and shower station there just there for show and not even connected to a water source. Work place is always to dirty and grass and weeds are always too tall making it perfect for a rattle snake bite which I have steped on at least 6 times already this year. The manegment doesnt do anything about it not even cut the grass.
bad,"No processes, procedures or any idea what they are doing. Zero culture. Management do not know anything. Constantly embarrassed for service failures.."
bad,"The management treats you just like a number not a person. The hours are horrible along withe the pay. They will work you 24 hrs a day if you let them, and if you don't they will fire you."
bad,"Very poor equipment, very poor management, all around poor company!"
bad,"worst place i ever worked, the pay is horrible, management is horrible, they never fully describe job duties and regional supervisior rarely follows through on getting info in a timely manner, dispatch is horrible, everyday there were mistakes due to lack of info from dispatch, very embarassing standing around while they try to figure out there mistakes, dont be a stat driver you will get burned, the pay barely covers the cost of gas, cant support a family on only $200 a month after paying for gas thats all thats left of your pay check"
bad,Management sucks. They don't care about their employees. There are no raises and the benefits suck. This is by far the worst company to work for. Controller expects a lot of work with little compensation.  No room for advancement.
bad,"If you want to be overworked and underpaid with bare minimum benefits, this is the company for you. They do not value their employees at all and they are happy to take your job with no notice if the business model changes. 12 years working with this company and I was laid off and forced to train my replacement as a term of my severance pay. It was blackmail to say the least. The corporate office is located in a different state and they are very out of touch with the compensation that is required to live in CO. Fortunately for them they are in Tulsa OK. I strongly recommend staying far away from this company."
bad,The job is easy. The coworker are great. The management is really bad. Getting uniforms and crucial equipment is difficult to get the company is going not willing to put the money for it. This includes gloves that are a must to handle the toxic water.
bad,Only short term positions and no training  close environment so everyone is sick at the same time. Inpatient managers that yell when you make a mistake.
bad,Company culture is brutal. You have to be in the good ole boys club to have a good career. They don’t hold management accountable at all. Very ruthless culture and no accountability on upper management. Stay away unless you have no other opportunities.
bad,They Vice Presidents don’t know how to run the company when you had a concern they just told you everything you where doing wrong upper management tim was the worst person I ever worked with worthless and dumbest person I ever met
bad,if you are looking to do good and not get involved in daily gossip about people than do not apply to this company. I would strongly urge people to stay away from this company. human resources doesn't care about the employees and management is no different. they make up lies to fire good people while the bad workers are still there. this is the worst company to work for.
bad,Just horrible company to work for supervisor dont care they'll throw u under the bus real quick. They dont provide per diem. No room to advance with this company.
bad,"Poor Management !"
bad,"I was a temp. driver for this company for 5 months. Management is dis organized, terrible equipment, lot of discrepancies on the trailers. they change their mind to many times, the transportation mgr. is trying to run it like a trucking company, bit it can not run like that  for it is a logistics warehouse. Terrible place to drive for and the pay is low."
bad,"Good place to start out as a semi experienced driver. Pay is on the bottom end, though. Management and dispatch are top notch. Benefits are decent, low end coverage though."
bad,"Unfortunately, I am in the process of filing a complaint against this employer for illegally using my credit history as a deciding factor in my ability to fulfill the requirements of the job."
bad,Gave us a bonus and then took it away the next day. Then on August 5th they came into the office and told us they were closing the okc office.
bad,"The company from a whole agenda is about recovery of oil. That being said, meaning they are the type to walk over a 1000 dollars to pick up a nickel. They don't care about their employees, because of their high turnover, facility managers last more than 5 months before they quit from lack of upper management support"
bad,"OK place to work Monday thru Friday. i learn to use heavy machinery. Management is not fair to certain groups of people. I love the co-workers, they were like family. Not hard work at all, very easy to do. The highlight of my day would be completing my duties."
bad,I started working here when the oil industry started to slow down. In turn the promotions and raises that we were promised when hired were eliminated as explained to us by the district manager.
bad,i worked in the denver office..the customer service dept. The people were rude. One of the girl who was young was bias about older people she was alway gossiping with this male dispatcher..people disappeared.she new who to fool the que computer..stayed off it. i do not believe mangement did not see this or did not want to. Alway the young reps would complain about everyone else. I think their should be a camera in there so the CEO will see what goes on
