rating,review
bad,"The company is very badly managed, performance and commitment are  not rewarded, employees are not respected and not valued. There is a culture of bullying and intimidation that is not acknowledged and no action is taken to improve the work environment, there is no leadership and no vision ... laziest and worst employees get rewarded while good employees are overworked and underpaid"
bad,Very bad management. Do not care one bit about employees. Constantly reorganizing and churn. Everyday you thought that u were going to be let go. Couldn’t leave there quick enough.
bad,"This is by far the worst organization I have ever worked for. I left this place without having another job to go to( Not Wise) but it is that bad there. I was blessed to find a REAL job working with REAL professionals and people that actually went to school and were and are qualified to do their jobs. There are racist of all kinds there, HR is an absolute joke to the point when the young lady gave me her card if I had questions, I tossed it in the parking lot. You will not grow nor develop,you will work among very ignorant people, and you will feel as if you are in the 1950's. The only words I can use to describe  some of the people and most of the management is sick. Remember folks, this place was ran buy the same guy who shot at the cops and wanted them to kill him, he was all over the news. I remember this guy walking around with another idiot ( BM) and were two of the dumbest individuals i have ever met."
bad,Company will take your best years and replace you was done to me and seen it done to others. NOV is more adequate as a training ground than a company quality has gone down the drain.
bad,"Gestão horrível, mandou funcionários embora por conta de afinidade, cargos dentro da mesma são através da famosa peixada"
bad,Pay is low compare to other company. Managers lack management skill. It’s a good old boy system for advancement. If you want advancement you’ll have to go somewhere else.
bad,Only if your related and white they'll help you even then they still back stabb each other for job titles. Only people you kiss butt move up to tell someone that know s more than them what to do.
bad,"They bring you on and give you one day of training and then send you on your way to process invoices. God for bid you don’t understand something that they already told you and you have to ask them twice. And NO mistake are welcome. They load you down with work of invoices and emails and then you get in trouble if you over look an email. Promised to get hired on after the hours are met then once meet they tell you that your contract is for 6 months so they are going to wait. Heads up, when they start giving work that they normally give to you to a new person then you know your days are numbered. And their utilities, are their hot item, have to paid right away, I get that! But they are all over the place, bills are sent to the locations and you have to wait and beg them for the copies with coding and approval then explain why the payment is late. They work you to death and don’t appreciate you."
bad,Work environment is hostile. There is no room for advancement. No raises. They will use you until it no longer fits there need. They don't appreciate their employees or the work that they do. Management is horrible the micromanagement everything.
bad,"Given the years and amount of effort put into the company I’d warn anyone NOT to make a career choice of NOV. "
bad,"No one help everyone fight for keep the job almost all personal don’t have study and certification and are team leaders also no education "
bad,"NOV Brandt in Conroe,  TX has grown accustomed to constantly laying off employees.  So much that they actively avoid making new employees feel welcome or wanted there.  They will constantly change work hours to accommodate production needs."
bad,"I worked hard for nearly 5 years, dedication committed to deliver exceptional results always ready to support and help people in other areas of production"
bad,"The manager was unprofessional and had his favorites.  I overheard gossiping between the manager and other employees.  I would not work here, it is too chaotic."
bad,"There is poor management and to much hostility"
bad,upper management will tell you one thing and then do the exact opset they cover their own self are out for themselves look for reasons to downsize very high turnover rate
bad,"The most greedy company i have ever seen in my life.  Company cares more about if the managers get their bonus, and will work the hourly people to death to meet that goal.  Staff can go years without a raise, and the company healthcare continues to get worse and worse."
bad,work was good just the branch that i was at was a little too small home town. It was very political and all about who you know. Would like a job with more movement up.
bad,"Management is not professional, job was disorganized, after a two weeks I had not been trained for the job.  Slow at everything.  Discouraging.  Unfair. The company should train managers on how to treat employees.  "
bad,"The credit department where I used to work has been  demolished by a woman who became the  director two and a half years  ago. When she took over the department, there were 24 employees, only three of those employees remain with  that department."
bad,"terrible shop to work for due to management issues, technician get horrible treatment even though they are the back bone to the shop. unapproved time off requests constantly."
bad,I worked there for 3 years if you apply with ANY company trying to better your life they will fire you. worked long hours everyday and missed out on so much home life with the 2 weeks on and 4 days off.
bad,Non structure environment with lack of leadership>Very racists environment with forced overtime. Team leaders lack the experience and knowledge to be respectful to their co workers.
bad,"Not kept clean, Staph Virus is everywhere. Managers are slave drivers. Would not recommend working here ever!  Overly strict on everything. Get in trouble for clocking in 1 minute late but only have two clocks for the WHOLE warehouse!"
bad,"The plant that I worked in operates 7 days a week, and if you miss ,even on the weekends, you will face disciplinary actions. There is no time for family or any kind of life, as you work 12 hours a day too."
bad,"Manager and employees do not show up for work. "
bad,The work was not bad i would always have something to do work wise. The people where not bad is was the lead and the favorite ones that i dont agree with but the facilitys was not bad at all.
bad,work in really bad conditions and never get moved up in the company because of favoritism and who you know. if you speak up you get less hours and irrelevant job duties till you quit or get laid off
bad,"conroe plant He will not give employees proper raises and treats the employees unfair due to all the advancements going to the ""friends"" of the boss."
bad,"I wish that it was possible to stay. Economy went down as did oil prices. All of my co workers were great to work with.  Management was great, co workers were amazing."
bad,Management has very poor employee relationship including communication skills. Poor planning skills. Leadership skills are not in the range of nonexistent.
bad,"great company to work for. while oilfield was booming, the pay was the best. company has great benefits and your duties and work ethic is noticed and praised. great supervisor. overall, the best work years I have had."
bad,If you love to kiss up to management for low pay and below industry standard benefits then this is the job for you. Management in Canada likes to keep you down and there is  no room for advancement. At the first sign of a drop in the economy they lay you off immediately even though they may have 10record years in a row everyone is disposable. It is a toxic work environment where if you don't agree with management then you will be let go. Other divisions within the company seem ok but stay away from downhole and distribution.
bad,"I wish I had never worked here. On a positive note, maybe all of the knowledge I acquired myself (because they offer no real training) will launch me into another O&G career"
bad,I was a Level 1 NDT Technician thank the Lord its over terrible pay terrible work life balance terrible management and NO advancement
bad,"Horrible work experience, management was unprofessional, they would come to work in reef shoes and a mouth full of dip.  Dip cups all over the office, and most workers would come in with dirty shirts and wrinkled clothing."
bad,"Machinist, (former employee), provo,Utah"
bad,"horrible place to work, horrible pay,"
bad,Nothing good about here no time off lots of overtime. managment dont care about employees unless your in the group!
bad,"the worst management ever.   They have lost mostly all of their clients and employees.  no leadership at all, no communication and miserable salaries."
bad,"1.Daily I am mainly working for variance control."
bad,You work 4 ten hour shifts. The pay is low for the work we perform. Treated me with little to no respect after i mentioned to them that i was from North. When i went full time i recieved $0.50 less than the employees going full time. and on top of that i got thrown onto 2nd shift without notice and was told to quit if i didnt like it.
bad,Company finds any reason to deny your expenses as a field tech. On call 100% of the time and management will not have your back. If you get hurt on the job they will put you under a microscope and write you up for anything and everything.
bad,A typical day at work is me arriving a six in the morning and arriving to start a line on production. bad management  and horrible ethnic  culture supposed to be cultruly appropriate but nov only hires spanish speakers.
bad,"Management never seen, supervisors who barely speak to you and don't know the tools, only in a supervisory position because they came from a company that was bought over. No direction or leadership, can do what you want. Not treated very well, no infrastructure to help you do your job. Never seen a place where everyone is out for themselves more than here. I have always heard terrible things about NOV but didn't believe it until I seen it for myself. Please take my word, do not work for NOV, its reputation for treating staff bad is well merited."
bad,"I'm posting this because I just heard the same radio ad which had me apply for a job with NOV and thought I should relay my experience and thoughts of them. "
bad,This is a dead end job. There is no room for advancement. I was there for 5 years and was underpaid by $3/hr. Not once did I get a pay raise not even one to help with cost of living in California. Management is pretty terrible. Everyone expects you to do the workload of 3 individuals and then gets on to you when you don't complete it all. Pretty hostile work environment. Co-workers were jerks. If you have a company vehicle they take money out of your checks to pay for them. Not a very good thing when you're getting underpaid. They act as if your sole purpose in life is to work for them nonstop with no breaks. Terrible safety culture almost non existent. If you see an opening run the other way.
bad,"Coworkers are amazing, thank god because you couldn’t make it thru without them! Management is a JOKE! If you want to work at a place where if you do a good job then you are expected to do more and do others work and do not EVER expect a “pat on the back” because it will never happen.... Exactly why the turnover rate is thru the roof..."
bad,"The management in Abu Dhabi is horrible. Terrible working atmosphere , no backing from the supervisors and if anything goes wrong the full blame is on the Mechanical Technicians who go the field . Too many relatives working in the same company and backing is just for them"
bad,Company's new upper management is horrible.  They are very unconcerned about employee's morale.  Not suitable to run a company as large as NOV.
bad,"Sugarland plant very un - organized low pay, buddy system, management have no clue what ' s going on....Human resources is not for the employees very racist I would'nt recommend this job to my enemy stay away far away from this place....."
bad,buena relación con los superiores reuniones en sala de juntas para ver dudas y recomendaciones para mejorar el entendimiento y saber que se necesita mejorar para un mejor desempeño
bad,"Check up the personnel and operation.Take sample of cuttings and run retort to get %age of oil on cuttings.Write and send daily report.Attend morning and evening meetings.Supervise those working with me."
bad,"Comprised of 100s of companies forced into one due to M&A, NOV lacks a single culture that resembles the body of its workforce. Leadership has continuously failed to properly integrate new businesses and form a single work culture that thrives. Too much autonomy creates a work environment where employees are battling each other, not working with each other for common goals."
bad,"This place will give you high blood pressure , working atmosphere is very pressure able, they will make you clean floor too .................................!!!"
bad,"-inexperienced managers given leadership roles. Not earned by ability. "
bad,poor leadership. Poor training. Bad behavior is often rewarded. Long hours benefits are good but that's the only good thing i can say.There are few good people but not enough
bad,"Initially the job started ok, but after a few months I found that there were many  very abusive agents and managers who would purposefully try to undermine any efforts to do my job.  Once I tried to discuss any issues then it became apparent I was marked and any future was limited."
