rating,review
bad,This job is so stressful and most of the supervisors won’t even pay mind to what you do. Speaking for My supervisor who would not engage with her team. She would walk up your aisle and if you would ask for help sometimes she will help others she would say “im not here and walk away”. Other supervisor do care about their team but most just sit at there desk and don’t do anything at all.
bad,"the Milwaukee ,WI has horrible management and set me up for failure. Just another company treating their employees like numbers . Horrible horrible horrible"
bad,They don’t value you. They treat you like a robot not a human being. They give you and employee ID number and that is what you become to them . Just a number. The policy is backwards. The people I worked with at the company was great just not the company itself.
bad,"Compared to the stress of the job, and impossible work expectations, the pay is misserably low. Employees are boxed in super tight. They beg for work from home employee s but then try to say it is a privilege despite work numbers being the same between work from home and office. Toxic place."
bad,Management is terrible the expectation on how fast to get through the calls was ridiculous. If you spoke up asking about getting paid more because they had us doing more work you get fired.
bad,"This company has a horrrible reputation with their clients.  They do student loan, IRS, and state collections and a VERY aggressive.  I felt like I worked for the devil working here, they are not the least bit caring about anyone."
bad,It was not the same once we were bought out by Navient. We went from being a family oriented organization to strictly business. Having gatherings each month to encourage employee participation to only doing the bare minimum. To being free to empower employees to make good judgement decisions to micromanaging employees.
bad,Management is horrible. They dont trian properly and treat you like its your fault. If you need emergency surgery you better not go for it because they threaten your job. You don't work as a team everyone fight against each other . don't make the same mistake I did .... You'll thank me later!
bad,Too much micro managing going on. I was started there when pregnant and had to ask to use bathroom which was ridiculous. I have a Masters degree. Sad!
bad,THIS PLACE IS A JOKE!!! Nobody knows what’s every going on. They make you.  Harass  Borrowers. Everyone in management tells  you something different they only care about money and if you don’t make your goal they will fire you. They pay nice yes but go somewhere else and get your nice work ethic appreciated.
bad,No work/life balance unless you can dedicate over 80 working hours in ONE week!! They give you PTO but it is earned with how many hours you work and if you do not work at LEAST 60 hours a week you will never meet your numbers.
bad,"This is regarding the Milwaukee branch located in NAVIENT/ duncan solutions on Wisconsin avenue."
bad,"it's not fun. "
bad,I would rather go through the gas chamber at basic training again before I would work that job.  They make it where you have an 8 million dollar goal and your working current accounts you do not get credit for.  When hired they tell you about all these.top collectors but from what I seen it was the highest turnober rate I have ever seen. I would rather work at McDonald's. They ruin people's lives.especially borrowers
bad,This could be a good job but mgmt stresses and then stresses employees. Dirty environment so you're often sick because people come to work sick. Benefits are poor.
bad,"calls while working can go no longer then 4 minutes or it deducts from work monthly bonus also agent can not go to the bathroom or have any real emergency type event or bonus will be deducted and time is also taken away from break if you leave your desk for ANY reason."
bad,"Navient is not a place for someone that has a Family, because the pay is not good and they pay less than the minimum wage and also the hours that they provide are never enough"
bad,"This place is run by incredibly slimy MF liars. They are constantly hiding illegal behavior behind bad policy. They are settling lawsuits constantly. Nobody in leadership has any idea what they are doing. No job security, and no dignity in working here."
bad,"When I first started training i thought I was really going to love it! But after 5 months of system issues daily, multiple billing issues (THAT THEY WOULD NOT ADMIT TO CUSTOMERS) and having been told for over a month they would be changing our schedule it never happened and they only would give a 2 week notice. If you have kids or take the bus then your screwed out of the job. The corporation its self, AKA Riverlink is a money hungry electronic toll bridge that tricks travelers into thinking its a toll bridge with a booth to pay when there is not one. then they supposedly send a bill to the registered owner of the car, in a perfect world it doesn't sound so bad, but the fact that all my callers were calling in because they had $68 bill that was there first notice and as an agents you can only remove some of the false fees (see the moral problem) and to top of the cake I was trying to leave the company professionally, with a two week notice. After I preformed one week of my last two weeks they fired me...This company is NOT WORTH ANYONE'S TIME! I mean what should i have expected when I was in a training class with my new sup!!"
bad,"Ridiculous work procedures.  No cell phones, constant monitoring by supervisors.  Abusive customers and unrealistic sales goals.  Very unhappy co-workers who were allowed to date."
bad,"Terrible management, competitive teams, company only cares about numbers now their employees or families, bonuses suck, it's like being in high school."
bad,They pay their employees low wages and then make the ability to get a bonus difficult. They pinch pennies and the employees have to pay.
bad,"a very tough place to work. fast paced environment, managers were not very nice. human resources is very good. not a good place for people over 30 years of age to work."
bad,"It is just awful, I lasted a month outside of training. One girl forgot she had her phone on in the training room and turned it off, she got a final written warning for this, in a TRAINING ROOM with no sensitive material whatsoever insight. She never came back. They are continually hiring. I was micromanaged. The managers don't care, all it is about is money and not helping anyone. They watch your every move, you can't even just get up and go to the bathroom without asking. Everything must be clocked in, one minute after is considered late and an infraction. RUN AWAY FROM THIS JOB."
bad,There is no growth for your career and the company is not growing.  I manage over 21 people in the collections department.
bad,"I understand for security reason some measure has to be taken to protect the public information, but it would be nice to know before you are hired that on your first day you are assigned lockers, employees are not able to keep any kind of personal belongings including pocket book next to you, also its terrible for us with small children since we are not allowed to use our cell phones no where in the building not in the lunch are or even restrooms, if there is an emergency we have to wait for the supervisor to listen to there message to be told, salary is very low for the amount of work they ask for"
bad,"The hardest part of my job was trying to break through to the next level and build a career."
bad,was ok I did not like the management there at all. it seemed like they always had false management and were always firing managers.
bad,"•		"
bad,there no professionalism at all the staff worker they fight its the worst place I've ever work
bad,Most people don't make 90 days.the goals and quality expectations are too high. Mandatory overtime does not leave a good work-life balance. Management is not vetted correctly.
bad,I hated the job I hated I hate it the queue they kept putting me in they set goals for you that you can never meet and then won a write you up for not meeting them just so you couldn't bonus and they couldn't and didn't have to pay you more money
bad,"This is one of the worst places I have EVER worked! Management is NOT on the same page as each other. Everyone tells you to do something different. If you can find a job else where, I would HIGHLY recommend it! I have never worked in such a disrespectful, dirty and unorganized place! I hated it!!!!"
bad,"Started off ok, but quickly realized it's an environment that fosters unhealthy competition and fuels interdepartmental feuds between co-workers. Management is there but not present. Shows favoritism. You're just a butt in a seat there. They let go anyone and everyone. For example a friend was just laid off after almost 7 years, because they did away with her position. With as high a turnover as this place and this industry (call center COLLECTIONS) has, you'd have thought they would have wanted to keep a top performing employee, who was dedicated, there for a really long time in industry standards and who was promoted twice in their tenure. But no. Horrible."
bad,"Worked in collections. 5 weeks, then you talk to people who didn't pay their student loans and try to get the money."
bad,"Navient branched out to start Xtend Health in Irving Tx, the doors opened late April 2019, from April to July we sat at a 3x3 Ft cubicle, in a loud noisy call center. They hired a Supervisor and Manager who knew nothing about running a start up Revenue Cycle Dept. Day to day we sat there with NO work from April to July. No training offered whatsoever. By the time everyone was able to log on to the clients portal all we did was make improper adjustments for there client in California (lol) they absolutely had NO clue how to properly teach or set in place policies and or procedures to properly work acts! They had no idea, we needed a fax machine, way to print claims, look up claims and so on! That place is like a train waiting to derail! They took On California’s medi-cal accts which are completely different from any other Medicaid program. It was so horrible to watch management in a so called training class to teach us medi-cal and they didn’t even know u had to have certain access to speak to an insurance rep. They fumbled the entire time! Not knowing how to properly run a CBO they lost good people! And still more are leaving. These two managers wouldn’t know how to bend over and tie there shoe! They have zero start up experience. When the client finds out all they’re doing is adjusting balances to this day, that contract will be lost! Word of advice, ditch those two incompetent leaders within the Irving office and hire Adequate leadership who can guide!"
bad,"You are monitored on every call, they have cameras on you. Employees are even followed into the break room so if you take a bathroom break and you want a water from the break room your wrote up for signing out for a bathroom break when you should have signed out for regular break. Hours are bad because there are no 8 to 5 jobs at Navient  you work 3 day shifts and 2 night shifts with mandatory Saturdays every month. Don't use leave time if your sick or else all that you worked for to advance is gone. You start back at the beginning with the other rookies and the bonuses are smaller in the beginning. Bad over all experience unless maybe your just out of high school."
