rating,review
bad,"I make good money, but I wouldn’t suggest this place to anyone at this time This place has gotten just sick!!! Don’t know who to trust in upper management so you just don’t express your concerns, it’s all around uncomfortable anymore. Corporate would have a field day with the things going on in this place. Upper management has become a joke. The men and women both in the office seem to have forgotten this is a work place and not a play ground. Ive always been told not to sleep with anyone where you make your money. Guess they never caught on to that rule growing up. Hiring new HR and safety etc. and I swear safety thinks she runs the place. All over all the men in the plant walking around with her clipboard barking rules and orders. But stops to talk to all the men in the plant. It's just disgusting. Senior workers afraid of losing they jobs to young punks who never show up half the time. Place needs major help. I won't be here too much longer that's for sure. Because there's a few of us that are about to explode! GET IT TOGETHER!!! Grow up!! Do your job and go home like you're supposed to!"
bad,Laid off without notice. Said too many workers at the time. Then a couple weeks later was hiring 20 plus people again. No phone call back. I showed up to work on time and nothing.
bad,Was looking for a stable place I could grow and get more experience and it just hasn't been the case. I want to feel like the employer is sympathetic to employee issues and questions.
bad,It was such a terrible place to work worst manager she was such a terrible person moral was low I was so happy when they shut it down that manager ran that place into the ground .
bad,"This company had a horrible culture and did not promote from within, period.  Yearly we would be subject to cuts and belt tightening, only to hear about the gross margin records being set at the end of the year."
bad,"When you get interviewed they promise you bucu over time, profit sharing benefits, ect. I know someone that has been with this company for 6 months.  They are lucky to get 40 hours a week, no profit sharing bonus, no Christmas bonus, NOTHING that they were promised. This company is a joke. Then to top it off employees were informed yesterday that things will only be getting worse so they can waist money on things that are not needed or pointless! How can a company screw their employees (the back bone of every company) and expect a good response.  In my opinion never, never NEVER stoop low enough to need this job."
bad,"Se trabaja con mucho stress debido al maltrato y malos modos de la Dirección Local."
bad,Grab any free samples you can and run.  Don't hang people out to dry when they go to bat for you with the local customer that impacts other areas of the business and bonuses
bad,very stressful place to work.they was very bad to the workers and threated poelpe bad .work their people everyday no break .it does pay good but is not worth it.
bad,They work you like a dog for the busy season then let you go. If you don't kiss butt and get in with the in crowd you will not advance at all. They keep the amazing people who deserve to be promoted stuck on their machines and let the people who can't make numbers and slack off be promoted to higher positions they are undeserving of. Don't get your hopes up working here. It's a sinking ship.
bad,"Not a good place to work, Supervisor want treat you right. Hot place to work, good lunch rooms. Not enough pay for the job that you do, Can't decide if you going to work 50 or 40 hours a week."
bad,"They only hired temporary workers for the season, instead of air conditioning they had giant fans that rotate which does make the air less stuffy but does nothing for the heat."
bad,"Easy to get hired, pass a hair follicle test and background check and you're in! Jobs are difficult and production based,  usually paying 7.25hr. You can make 10-13 hr after getting good enough at job to make the high production quotas. Raises are lump sum based .25 times a estimated 2000 hrs. No cost of living raises whatsoever! Not one through 20yrs. Hot, nasty work. Only for the desperate"
bad,Management was hard to get along with. Stressful environment to work in. not understanding at all they only cared about the numbers at the end of the day
bad,"Nice lace to work, before the new supervisors from macys came in and I'm pretty  sure they dont know what they are doing. safety is horrible, people are very dangous on the forklifts, and the leads and supervisors dont treat their employees fair."
bad,"Its the worse job, Management do not care about their employees. they pick and choose who can get a good position."
bad,"Poor management, double standards,care less how employees feel on the floor. Have big numbers and goals but nothing  to work with. Expect a lot out of there employees but give them little in return.."
bad,"They pay ok, their benefits have high deductibles, favoritism is all over there. If you know someone or if supervisors like you,  you'll do well "
bad,Very poor management. Treated people like you are just a number. Never had enough people to run the lines. They didn't care about anyone or never wanted to listen to you. Does not pay the hours you worked.
bad,I want to get to done to fast  and and do to many jods they will fier you if you get hurt and tell them they have a lead that will tell you to go faster when you are allready going fast the manager is trying to manage two buildings it is a big mess
bad,They don't respect you and won't let you use the bathroom or anything. They cuss you and scream at you all night. The team leads always are no where to be found. Every machine in there doesn't work and requires fixing every 30 minutes.
bad,management lacked a lot to be desired I really didn't like how they treated their employee's . Stayed with it though and stuck it out till something better came along
bad,"Newell Rubbermaid was a very positive and productive workplace. I learned a lot of internal company skills like production, packaging, quality, modeling, and layer. The company is very good for team work and would recommend any hard working person to work for them. They offer good starting pay for any all works able to get on and settle in a positions with the company. "
bad,Poor mgmt and company benefits would not work for again when manager compares herself to God and demands that level of respect. Hours were never consistent.
bad,mangers are very unprofessional they talk to you how ever they wont even if they are not you mangers. the work days are very long especially being a 12 hour shift they don't have enough people to carry the workloads in that place.
bad,"I was terminated for being in the hospital for two days, even after providing my hospital note on two separate occasions."
bad,"I've been working here for about six months now, and I haven't felt worse mentally or physically in my entire life. They start you off with promises of safety and how people will help you and how if you physically can't do a job, let someone know and you'd be switched. They harp on ergonomics and safe lifting techniques, but on the floor? All that goes out the window. Floor people don't care if you are like me and literally too short to reach into boxes sometimes. I'm short, but I'm certainly not outrageously so! The majority of people are over 5'8"", yet lack the ability to understand that shorter people have shorter arms! It's not for a lack of strength either. "
bad,The company is exactly what the title says... DRUGS and POOR WORKING CONDITIONS!! And don't ask a manager for help because you won't get it
bad,Employees were required not to communicate per management. There was very little effort to build a team and allowed employees to work as a cohesive group.
bad,I didnt work here for long i was a temp to hire. I go laid off due to cuts that the company had to make to reduce cost and a contract employee didnt mean as much as a direct employee at this place
bad,A typical day at work consisted of standing for 12 hours and making sure the machine work accordingly and also doing my other responsiblities with shipping and cleaning the product. I did not learn alot from this job because the management and the people where not well mannered. The hardest part of the job was dealing with the management because i was racially harrassed. I did not enjoy this job that was I resigned .
bad,The management to the supervisors treat you like a jail inmate. Blow the whistle when its time for break and act as if they are better then you because they have a different color vest on then you. It is not a good company to work for if you really want to succeed . I could go on and on for days about the company but its a waste. Glad I quit it felt like I was released from prison the day i walked out.
bad,"There were no supervision, no determined rules, and if you did not do your job right, without training then you were punished."
bad,Very favorites oriented.  No work/life balance mandatory overtime. Sometimes brought in to do jobs other than your own then criticized for not doing it well. Management is always looking for reasons to get rid of you if you are a long time senior employee.
bad,"Too much politics, very stressful environment... a lot of sharks there. No career planning or coaching.  Random overtime and frequent relocation of offices in Atlanta"
