rating,review
bad,Get blamed for everything and expected to kow tow to the culture there.  Get immediately scrutinized to the point that you feel uncomfortable to do the work.
bad,"So I'm a contractor at NEE but work in Cybersecurity like an employee. I have never worked for a manager so controlling, micromanaged, berating, insulting, and overall mean, unpleasant, unfair and horrible to others in my life as here. In the last 6 months 3 people left without having found another job and two others who did find new jobs first, for a 60% turnover in staff in 6 months about. The only reason I stay is because I have an adult child that needs me to care for him due some mental illness. If I was on my own I would walk out the door tomorrow. I search every day for a new job. I have been working for over 40 years, and as I approach 62 this man demands I fill out a daily activity log to account for ever minute I work, treating me like a child because Im in another office and he needs to control every minute of my day. Anyway, in 40 plus years of working for all kinds of people, some very good and others not so much and having been a manager of people in a few past jobs myself, this guy is light years ahead of anyone for being the worst person to ever manage people EVER, whom Ive come across and has no right being in charge of people. The fact that NEE allows this type of person to manage 9 to 10 people (depending on who quits this week) means that it's a company willing to tolerate extraordinarily poor managers or they are out of touch with how badd things are. Either way I will not and can not support working for a company that condones the mis treatment of staff."
bad,Solar site completed management staff has moved on to other locations.  Not the best place I've ever worked.  I would not recommend me saying anything additional since I was not happy there.
bad,"NextEra is quite open about its lack of concern for its employees. Expect to figure things out, with very little training or support. Employees appear unhappy for a reason. Pay is quite lower than industry average, and employees are viewed as dispensable by management. Bullying by fellow employees and management is quite common."
bad,"The Managers priorities were not about the skills the person has for the job, but for her insecurities.  This did not change despite the fact that their department lost a lot of money.  She verbalized that she hates skinny women."
bad,"excessive stress and nothing much to learn. "
bad,They were not interested in fixing wind turbines all they cared about was do temporary fixes  keeping there production numbers up  You don't fix things with glue and zip ties when comes to any mechanical issues !!!    I have been to other sites  all over the USA and yes they run there sites the same way.  I will never work for them again!
bad,"Good-old boy, buddy system. No one to speak your concerns with, all are friends and cover up for each others mistakes. Unfair treatment within the company. No room for career advancement, wrong people in key slots."
bad,"Huge turnover in management, unprofessional, no raise the entire time I was there, stressful.  No work/life balance, constantly worked long days and most weekends."
bad,"Went to an interview on Wed and actually stayed there for over 4 hours only to be emailed today that I wasn't selected for a $12 an hour position as a customer service Rep. I'm okay with that but the review is being written because this was the worst, most unprofessional interviewing process I have ever encountered. To take 4 hrs and 45 mins to interview for this particular position was an absolute waste of time. There was no organization when it came to the face to face interview. After seeing this and receiving the email today, I'm glad I dodged the bullet. To feel that its okay to keep people in an interview that long is inconsiderate and once again , profusely unprofessional."
bad,Interesting place to work.  Would need a tête-à-tête to discuss NextEra.
bad,Very hard to work for. Pay is horrible for field. They will find a way to screw you out of bouns and find a way to give you raise to a buddy. This is the good ol boy program!
bad,"I have nothing more to say. They are a horrible company to work for, that's why I jumped ship"
bad,How do you say this company experience was a political minefield Good luck notice all the above feedback came from former employees
bad,"People are leaving HR and no one is doing anything about it. They expect you to keep taking on more and do not care how many hours you work. They want to do your job and take on more and more ""special projects"" without additional compensation. The special projects never end so you really are doing 2-3 jobs at a time ALL THE TIME. If you want any sort of balance in your life or if you have a family DO NOT work here. "
bad,If you are over 50 need not to apply. You will not find anyone over 40 and need to know someone to be hired. They have a revolving door policy and are constantly hiring.
bad,"This is are fairly large company with quite a few departments and it is night and day across some of them.  (Non Nuclear) Specifically has abusive VPs and Managers. Having a long run here 20+ years to date and seeing the issues. I would not recommend a child or friend employment here. This is old school management mixed with a military influence. This department is grossly understaffed and underfunded and other departments are being asked to replicate this departments leadership. I have seen employees unfairly treated when they are no longer desired in an effort to get them to leave. Many have gotten sick, disabled or a few passed away later through health issues. There is very very little training in general and no effective training for management. Managers have been promoted to learn on the job causing arrays of problems from equipment and reliability to safety and personnel issues. This company plays the game better than any I have seen. They preach Work life balance, take charge of your career, employee engagement etc... but in reality its who you know and if your boss really likes you. Instead of asking people to change positions or maybe look for other employment they lie to you and document against you by setting you up to fail. Since the processes are weak and under developed its not hard to document minor gaps to terminate you as they are 'honestly' trying to improve you. There have been so many lawsuits but the company's excellent legal team sweeps them under the rug through settlements and gag orders. Now the CEO has a goal to be the number one Power Company in the"
bad,"Palo Iowa. The pay is good and overtime is mandatory. Work life balance is poor. The worst part of working there, are the managers. The security supervisor and manager have created a toxic environment. They will discipline and write people up for the dumbest things. The managers may be corrupt, they have been investigated by the FBI several times.. On top of all that the plant is closing next year so it’s a dead end end."
bad,"Hard place to work.  Challenging work environment due to just the nature of the industry,, the computer systems, constant auditors and then there are not many friendly people.  Good money.  Long hours.  But not a nice place to work."
bad,Some bad managers that are toxic. The competetive environment has produced a lot of back biting of high performing employees. Also the technical knowledge in some of the groups is very poor.
bad,Must shake the right hands. Only friends of management move up and get paid more. If they want you fired they will get you fired.
bad,"The women in management are TERRIBLE and ill-qualified. If they feel threatened, you will be forced to work in a hostile work environment and blacklisted from the entire company."
bad,FPL will fire any employee if they do not recover from an injury 100% even if it is there fault. They have created a 100% disposable work force within their company. 
bad,"Never would have believed it.  They were so persuasive in the interview process, but, it was so disappointing that they were just trying to sell me."
bad,"I worked at Next-Era-PBNP for ~10 years in the Chemistry Group. When on call, fine. But when others on call, I was called instead-hard to think clearly when called at 2:00-3:00 am Monday mornings. Many times when called, just told OPS I'll be in for work in 15 minutes. Then you spend your whole 8-10 hour shift at Next Era-PBNP with no overtime compensation. The people I worked with were great in OPS, Maintenance and HP. But if you weren't part of the ""good old boys club in Upper Management"", you were left out in the cold. Summation - all the worker bees, lower and middle management people were great. Upper Management really requires ""readjustments"".Also WAY TOO MANY PROCEDURES!"
bad,"They actually repremand you as if you are a child and punishes you based on feed back from calling back disgruntled customers. They do not allow us to help the customers by limiting us, then you get written up if the customer calls back to say they did not get what they wanted. They also always threaten to replace you based on calls they monitor and based on customer surveys they do.  Their customers are never happy and you have to pay for it in customer Service."
