rating,review
good,"I really enjoyed working at Nordstrom. It was a fun relaxed place to work during the non-sale months, and during the sale months it was hectic and kind of fun to try and keep up with a never ending line of customers. I enjoyed the managers there who always kept work fun and found ways to keep people busy. The hardest part was when there was nothing to do right after the sales. The most enjoyable part was how well everyone got a long in the department."
good,Nordstrom is a really great place to work. Management is awesome and the overall atmosphere is energetic and positive. Loved working there. You get a discount on clothes which is a plus.
good,I loved working at Nordstrom Rack. It was already my favorite store to shop at so spending some time as an employee was a bonus.  Most of my co-workers did their jobs so teamwork really made the dream work. Not much drama. Discount was cool. Nothing bad to say about it.
good,"The culture of the company is warm and the group of people they hire are exceptional. Everyone I worked with I'm still friends with in some way, shape or form. And the company itself is a great one to work for. Period."
good,"Fun workplace that is focused on both employee and customer satisfaction. Nordstrom invests in its employees through consistent training and rewards and recognition programs. The store has daily railies before opening hours to pump up the team. I loved this daily practice. I learned a lot about customer service, people management, inventory management and sales while working here."
good,"One of the best retail companies you can work for. Culture and atmosphere is great. Customer service driven, upper management is great. Depending on your job title you can advance pretty quickly."
good,If you are a people person you will make it far. You can easily make a lot of extra money since most departments work off commission. People are all nice and the customer is ALWAYS right!
good,"Loved the people I worked with, great support and training! Store manager and Human resources are very available and willing to answer questions. I found them to be understanding and willing to accommodate my schedule changes."
good,"Relatively good pay for an hourly customer service job.  Great company culture, Upward mobility (prefers to hire from within).  Rewarding customers is always an added bonus."
good,"wish i was still working there."
good,I feel honored to have Nordstrom experience as the foundation of my career. A company that truly values their employees and their customers with a culture of excellent customer service and servant leadership.
good,Everyone in the company is passionate about their work and things happening within the company. Great benefits and paid time off. Work/life balance is great.
good,If you work at a busy store with the right merchandise there is money to be made but if the store you are working does not meet the criteria then you will have a hard time making a real livable wage year round.
good,I loved my time there I was promoted 3 times in my 4yr stay!You're definitely given room to move up in the company. And you can even go help open new locations throughout the country!
good,"I enjoyed working here so much, from my co workers to the managers. It was a very relaxed environment and managers are pretty understanding for the most part."
