rating,review
bad,"Shocking company to work for. Very poor salary. Salary is not in line with the cost of living. Salary increases can be less than E2K. Management are terrible. Take little interest in the development of employees. If you raise a query about salary, you just get ignored. Employees treated like dirt. There is nepotism and politics ongoing in terms of promotions offered. Everything about the company is miserly. Don't go near the place unless you are badly stuck for a job."
bad,"Northern Trust does not value people, it is not an inclusive environment. Management does not support people and career growth. Too much concentration on off shoring."
bad,"Being an IT Project Manager at NTB will surely make the IT PM appreciate working a similar role at ANY other company; the grass is greener at any other company. Managers are only there to advance their career, they do not support the PMs but rather use PMs to throw under the bus when others do not pull their own weight. Work loads are crazy busy and unrealistic. You will be treated as a work horse and expected to work crazy hours; someone sends you and email at 2am then you better have all work required to reply to it and apply to it by 8am, same day. Do not work here, at least not as a PM in IT, if you have any self respect."
bad,Poor Management team in IMLG. This department was very political. Never recognize for hard work or dedication. The Department manager has less than a High School education. The team leader has a job history working in BEST BUY on the sale floor. They have no management skills or people skills. The Northern Trust Company needs to revemp the staff. Upper manager walks right by you and do not speak. This is not a good department to work in. Work load is extremely HIGH sometimes you have to eat at your desk due to high demand. No work life balance.
bad,Bad turn overs always worry about being fired each day because management plays favorites WORSE Hob ever! All they do each day is find something to yell at you and treat you like a dog.
bad,Terrible experience here. I was taken on for Co-op education and I received no training and very little help during my time here. It was my first role in a accounting firm and it completely turned me off the line of work I was studying for.
bad,"Cultural environment is spectacular, but is merely a facade hiding the result of NT reaping the benefits of the low pay scale that certain demographics are willing to accept. Unfortunately I am one of them (but not for much longer). Negotiate your salary as high as you can on the way in because that's as good as it will ever get at NT."
bad,Great foot in the door. Didnt see long term with the company but it helped transition into better position. Company wok culure is very outdated. Great entry level.
bad,"Management is flimsy, pay and benefits non-competitive and hours are long because departments are understaffed. Expectations are high but rewards are low."
bad,"Horrible working conditions, horrible tax planning. Upper level management incapable of following through on continuous improvements and rewarding employees for developing more efficient ways of working. Would not work here again and do not advise any one with experience to work here..."
bad,Stay clear of this company as the culture there is to work all hours even through lunch breaks to meet deadlines which are overwhelming at times ;no appreciation for working long hours and hard work and  where career advancement is non existent. Weak management that look their nose down on you and offer no support whatsoever . No wonder there is a very high turnover of staff
bad,"Probably the worst company I've have ever worked for in regards to Foreign exchange department. It is so unorganized, there is little to no room for career advancement. IF YOU HAVE 5-7 PLUS YEARS OF EXPERIENCE OUTSIDE NORTHERN IT MAYBE MORE ATTRACTIVE BUT if you are looking to start your career in finance this is not the place. managers get inferior to those who can do there job at a faster and more efficient rate. There is a lack of willingness to learn in this department. They are beyond sensitive in cash ops. and are very emotional where to be completely honest you need to leave your emotions at the door when your dealing in such a volatile and time sensitive market. Pay is horrendous, at all levels in foreign exchange operations... severely under paid. a bit embarrassing to say the least. This department does not embrace change very well and has a horrible learning curve issue. It;s said when some parts of management have no clue how to do your own job and is not really willing to learn."
bad,Poor pay .massive staff turnover.seriously overworked till stressed and you leave.poor training and severe constant monitoring.Management culture dismissive of staff turnover as a employers market at the minute.
bad,"50 years behind in technology and management, no more to sat than that it is a place out of time. You think you are on another planet that is all I have to say for the place called NT"
bad,"Archaic place to work at. Company culture was poor; not much room for advancement. However, operations was a good way to learn the business from the ground up."
bad,"When you are smart and can handle an impressive workload, they will work you until you can no longer maintain motivation. I was ahead of my managers in terms of knowlege of the area. Disappointing place."
bad,I really enjoy working for Northern Trust Company. I got a chance to learn alot about the company. I would really like to work for this company again.
