rating,review
bad,The culture has changed drastically and no long motivates employees in a positive way. Loyalty is not rewarded. It is difficult to be promoted and really aren't any career paths even though this is something they say exists.
bad,I was an independent distributor so I was investing in the company. I was opening a new area in Argentina and helped many distributor to communicate with local business. I enjoy the interpreter role of the whole deal.
good,"Very fun workplace, you get to speak with many customers, helped with my customer service skills. Really nice coworkers, and the management are really nice."
good,"Nu Skin's family first culture was one that would make any employee excited to come to work. in the last 12 months, the Technology org is in the middle of a major leadership and culture transformation and it's wearing everyone out. Talent is leaving and is not being replaced fast enough. Nu Skin's sales are not growing so it's uncertain that missing headcount will ever be filled, which means the extra work is probably here to stay."
good,"Well you get calls from distributors of the project, answer questions, fix issues and keep the customer happy. I liked the people I worked with but it was easy to feel like a face in the crowd there. I didn't feel like my suggestions for making the business better were taken seriously. Overall, it was a good college job that I would not go back to."
good,"A typical day at work for me would be handling the Translations inbox as this is my main responsibility. As soon as all requests are sent out for the day, I follow up on the ones that are due prior to today. Meticulous follow up is required for this job."
good,The LA team doesnt have a lot of resources to help distributors in South America. It was frustrating for them and us to try to figure out how to help them.
good,Good place to work . There is not chance to grow because positions are taken right away for people that have been working there longer. Bonuses are pretty good
good,"The best part about the position is you run your own schedule.  If you don't have a large network to tap into, it's challenging to get started.  They offer strong training and information sessions but high out of pocket expenses to start up business."
good,Empresa muy joven con graves problemas de management. muy pocas posibilidades de crecimiento en ciertos puestos
good,Nu Skin was great for pay as well as flexibility of job and all of the people that worked there are all friendly and helpful.   I would work there again if he opportunity arises.
good,The company does a good job caring for their employees as well as the community.  They have a wonderful force for good program that provides opportunities to help others in need.  The work environment is fun.
good,"Nu Skin is a great company to work with.  It's a strong company, especially internationally.  It's a very solid company with great benefits and a positive environment."
good,Most of the people are good and honest. It is a fun company to work for with good growth and development. There are a few key managers that are VERY difficult to work for and very dishonest.
good,The Operations department is given much more freedom to do what we want. We are not as micromanaged as the Sales Department. Management could learn to promote people who actually deserve the promotion rather than promoting friends
good,It was a descent place to work and they trained on forklifts. Reach lifts Order picker lifts and Turret lifts. Manager was great as well as team leader and supervisor
good,"Probably the most relaxed company I've worked at, with great work/life balance, and they treat employees quite well. "
