rating,review
bad,they were not flexible at all you had to work the schedule that they gave you and I left everyday feeling drained of life my wife often refereed as a zombie.
bad,"no standards for behavior.  I work with a bunch people with anger issues, who are complete socialpaths.  Litterally stalked my house for three months after I quit.  had to move to another state becuase they would not leave me alone.  "
bad,The company doesn't treat their employee decently.  The managers have their favorites and thus are treated better or mistakes are overlooked. No positive incentives or rewards for doing a great job.
bad,"Stressful as superior still contact you, ask for work stuffs from you on your sick days. Boss doesn't care about your wellbeing, work is the priority."
bad,It is like being in a soap opera at this place. Drama between employees no commadary at all. Know body knows what's going on yet knows everything. Terrible pay busting your butt 12 hours a night
bad,Management would take talk and rumors as truth without ever investigating the statements. They would pit people against one another to try to instill DISTRUST among team members. Some of the worst interpersonal management I have ever seen.
bad,"If you're not having drinks with the managers regularly, you're not going to advance. Also, company doesn't invest in any new technologies so your technical skills will get stale working at this place."
bad,In my working at a On Semiconductors company is very challenging but fun because they acquire a lot of working assignments both in long term and short term bases. I have practiced a lot of my accounting skills more on Advance accounting because of project billing and ventures.
bad,"Be prepared to be judged by ever-changing qualitative goals and expectations. If you are looking for a place where you are judged by results, this ain't it."
bad,Like most people say there is no room for advancement. The raises are a joke and they use a outdated bell curve system. They just announced to us this week that we have to take a mandatory 40 hours off for production and 80 for office workers. Management is a joke  has no real clue as to what’s going on or really how to manage at all. I’m sure more layoffs are coming.
bad,Company did not have a direction after business spin-off. No production timelines presented. Business moral seems low from managers to production. No commitments provided from upper managment
bad,"The company prides itself about being ethical. My experience is far from that, management talks about career advancement,  but the only advancement is for friends and operators from the photolithography team. Management is biased and expect the few hard workers to pick up the slack. Turn over is high due to a lack of management/HR conflict resolution and the work place has a hostile tone. Problem starters are protected because of their tenure leading to problems being ignored. The constant turn over and layoffs harm employee moral."
bad,Not a bad place to work however management were idiots. Refusal to work with employees with disabilities. Advancement based on annual reviews only. Reviews based on perception by management only not actual stats managers hardly in work area to judge work performance.  They hired managers from outside the fab who had no knowledge of the operators job and no knowledge of how equipment works. One manager told me I was stupid during a meeting with my peers.
bad,"Political Environment: Only game in town, cocky attitude, company growth by acquisition not by improvement to customer requirements, very poor forecasting capability, too far away from customer with very long lead times."
bad,"Wouldn't recommend to a friend.  No manufacturing, they buy old semiconductor wafer fabs and use them as cash cows.  If they don't perform, they close them and lay everyone off."
bad,So much work so little pay. Paid everyweek which ends is shortening your checks because of the 4 on 4 off schedule. Rude/bosey co-workers. Horrible medical insurance. Very high turnover rate.
