rating,review
bad,"mi experiencia laboral ahí fue horrible al punto que más de una vez me tocó ver a uno de los gerentes gritoneandose con las cajeras frente a todo mundo. Son rápidos para anotarte los retardos o faltas pero para que te valgan el tiempo extra ahí si de repente todo mundo es ciego, hay falta de personal por lo mismo que el ambiente laboral es tenso así que a veces tienes que dejar de hacer tu trabajo para hacer el trabajo de alguien más y además estar al pendiente de que no te saquen dinero de la caja, aunk todo mundo trae llave. Son poco claros con el horario, ya que te dicen que la salida es a las 10:30 pero si se tienen que quedar más tiempo (que es de siempre) no te pagan tiempo extra."
bad,"Seriously don't get stuck in the career stagnating tar that is Office Depot. Good ideas go there to die, and innovation is a rotting corpse that greed resides in. "
bad,"pesimo trato y prepotencia siempre no deja trabajar como es,ademas no dice las cosas de frente no da la cara al momento de dar las bajas se esconde y envia a representante juridico, mal trato al personal ejecutivo de las tiendas, y se ve reflejado en los resultados de cada una de las tiendas"
bad,Since new management at Office Depot last year there haven't been any black hired. Management say that they are fair but their not. For the heavy work load that u do does not compensate the pay that u r getting. Lots of heavy box lotsof desk too
bad,Stores are made up of cliques. Managers are very lazy and put their needs above the company and the associates. Worst company to work for. Would not recommend to anyone looking for a job.
bad,"Long story short.Want to be forced to scam people with underhanded sales tactics,work with uneducated management who do nothing to foster your development, be paid practically nothing but be told you matter. If that's what you want this is your company."
bad,I hated every minute of working there  horrible management at the senior level  and I was screwed out of my PTO  barely any raises  0/100 won’t recommend at all
bad,Mangers talk bad about workers always on their phone over all it’s ok but they don’t work with your schedule. Sometimes ask u to leave right when u clock in
bad,Had a really good team but we were always short staffed having to fill in multiple positions that you were not compensated for. Having to upsell to customers and rated on the amount of sales you got while not getting compensation.
bad,"When i first started with the company, I loved my job. However, it slowly started going downhill. And now with them getting rid of the client engagement position, my position. I'm out of a job, again. This happened almost a year ago with the furniture position, which was also my position. I don't want to be apart of a company that just throws their employees aside when they no longer have a use for them."
