rating,review
bad,"the manager favors family."
bad,21 years down the drain help build this company and for what never took off or took a lunch for what no respect for everything I did worked holidays gave up family time and there supposed to be a family company to bad they sold out to corporate  America and now the snowflakes win because you can’t manage them you might hurt there feelings
bad,They have white privilege in the company and they fired all the African Americans in the company. They also terminated plenty Latinos including me wrongfully
bad,"management give zero f**ks about their employees they preach they do but their just corporate puppets, they never back you up if you have an issue all they care is about is saving them self money."
bad,Solid company. They promoted within and stressed family. I do not regret my thirty years with that company.  I wish them well and I will miss the people that I worked with.
bad,You’re only as good as your last good deed. Nothing goes on punished. They will fire you for anything people losing their jobs here after 19 and 20 years for the stupidest stuff
bad,Alway talking down about other freight company... If u work for a union job before don't apply they won't hire u. Terminal manager such a liar. Alway making u sign something for safety everyday.
bad,"They are not the company they use to be.  Been there long time.  No bonuses for Supervisors, no room to move up.  Hire people from other trucking companys.  Not a place that recognizes hard work.  No room to move up unless u have family at corporate or no someone or job was made on gold course."
bad,"Last manager at this location was the pits.  He never knew what to due and always past the work on to someone else to do.  Supervisors ( one was a deacon) acted as though they cared, but would run and gossip to the manager with everything you thought was confidential.  I was told I wasn't doing part of my job, but the work never got put on my desk to be done. My cubicle was not in the same office as the others and the drivers would hand the work to the two guys that were over scheduling etc. and as I said never forwarded to me to do.  I didn't know that any was even turned in at any time.  My manager refused to even give me an annual cost of living raise due to this situation.  So, I didn't receive a pay raise for over 2 years.  I only hope that the corporate office is seeing their errors and can become the company I told it was when I started working for them over 6 years ago.  I have been retired for over a year and grateful to God that I don't have that stress on me any longer."
bad,All this company does is lie to it employees and customers worst freight company I ever worked for was lied to to come over this company from a competitor regret leaving other company
bad,Worked for them for close to 9 years. When I started it was a great company. They took good care of the drivers. Now they are more corporate. They run you into the ground. It got to a point I couldn't take it no more and I quit. I feel I wasted 9 years of my life. But quitting Old Dominion was one of the best things I have done.
bad,Unsafe place to work they will push it to the limit bad management specially dispatcher and terminal manager they won't comply with d.ot regulations like placar trailers with hazmat.
bad,"you work more than 60 hours per week no overtime is paid, you are expected to do more than 12 hours per day with only one 30 min break not paid, management is worthless they always change things to their convenience."
