rating,review
bad,Trash is poor they help u a little bit but don't tell anyone nothing when you ask questions about your work or what you suppose to  do they don't want you to be better than them
bad,"Great wages, decent work with tons of overtime. The bosses are terrible and care very little about you as a person. You can make a good amount of money working there but you have no life outside of that place."
bad,"Not a good place to work, no sick days, always forced over time and just not a good working relationship with management."
bad,"The positive reviews on here are a joke. This is a terrible place to work.  Management sucks.  All they do is lie to you.  The business is in the tank.  None of them know what they’re doing.  Top management sits around all day doing nothing.  Your work environment is going to be burning hot or freezing cold, extremely unsafe, and toxic.  Pays pretty well, and ok insurance but expensive."
bad,The management team had no clue how to do there jobs. Upper management just wanted numbers did not care about quality. Employees were just a number.
bad,"Don't do it! Put your application in somewhere else. The management here is a joke, and all they do is lie. They do not care about the employees at all. Overall ridiculous place to work!"
bad,"The new management team is a joke. Winchester is all about putting money in the upper managements pockets! They try to run the whole business from a keyboard. They would rather email than talk to u face to face.. no bonus! I worked in bullets.. very dirty!!! Lots of Lead, Greece, sweat an tears!! If you care about your work this place will stress you out! Run away if you have other options.."
bad,"If you don’t mind busting your hump while others sit in their truck and watch you... that is if they are not sleeping or watching videos on their phone. This is the place for you. However, if you have any self respect Stay away!"
bad,If it wasn't for the poor management i wouldn't be looking for another job. There is constant harassment and not much you can do about it. Other than that its a cool job.
bad,"I have never seen a worse managed workplace. It's getting worse and worse everyday. The management team consists of ""Yes Sir"" people, and former production workers who were injured. If you have a family, you will soon find that you will never see them. Olin could care less. You are their property. You cannot take a vacation day until you have been there for 10yrs. No sick days, or personal leave days. The Union is only good for the pay and benefits. Everything else, forget it. Olin owns them too. If you decide to get a job there, make sure you are single, with no kids or family to support. And, only set your life to 75% of the hourly rate you receive. That way, you don't get stuck. I have been there for 16yrs. I will be leaving there soon. I have already accepted a job offer elsewhere.  Most of the good employees are seeking employment elsewhere as well."
bad,Management is disrespectful. The hardest part of the job is the physical labor. 
bad,All Midland jobs were sent to Missouri. Poor management but great pay and benefits. Low morale. Never know if you'll have a job tomorrow. Alot of favorites by Management.
bad,"Terrible job culture and management. Great pay and benefits. If you need a job that pays, this is the job for you; however, expect to be miserable the moment you walk in the door."
bad,Needs new management.  Needs accountability for management.  Rules need to apply to everyone.  Employees morale tends to be negative and in general down all the time.
