rating,review
bad,"You’re just a number working here there’s no support working the off shifts. There’s tons of favoritism on all 3 shifts at the Shippensburg facility. A husband & wife run the show on an off shift & they both have ganged together more than once to make other team members life miserable to the point several have quit, which was their alterative motive. Upper management does nothing about it!"
bad,"Unless you are not an African American, you want be discriminated against but if you are then it's possible that they see you differently than others by not giving you the same opportunities."
bad,"not good, head over expects way too much from employees. But remember you still have to be customer focused. The take the fun out of helping the customer shop. The company is way too serious for a children's store right down to dress code"
bad,"This place is a joke!  VERY POOR management and leadership.  The typical day starts with about an hour of workers  wandering/ talking  on their phones and horsing around.   The production speed is just above crawling speed.  Most workers  ""are just trying to look busy"" . There is NO MANAGEMENT accountability .  They expect you to use your own tools, but don't order them or have them ready for use.   The waste of supplies is also unbelievable.   MGMT makes false promises they NEVER deliver.  Didn't ever see  that Management has the experience to lead or train.  The team leaders would leave without direction, tools or instructions to workers... therefore they are left to ""look busy over and over"" when in reality they weren't. Mass layoffs at every level are common which should say something about the management style.  The poor management and direction with this company made it hard to want to go back and work another day.  Too much horse play, gossip and  back scratching going on here!"
bad,"The company acts like they are progressive and take care of their people first but they do not.  The Oshkosh Defense department Human Resource team is an embarrassment to the profession as they are immature, cliquey and manage based upon popularity rather than fairness and objectivity.  The JLG division is far more professional."
bad,They treat the union employees as Expendables if they get injured at work they deny the injury and say it happened outside of work or was a pre-existing condition. They treat the coordinators as pawns  don't plan on having a good work life here.
bad,poor management they did not treat me fair just all round bad place to work.they targeted people never listened to more experienced people based on there jobs.
bad,Employer completely mis-led me to believe the salary and travel for this employment. Managers hired their own family members and some spoke to you as if you were dirt.
bad,"Hourly rate was not fair, too much overtime.  Was working 12 hours a day including weekends.  No job advancement, once you start working you will be at the same position for ever."
bad,Terrible job. There is no set Pay scale. 50-60 hour work weeks. Terrible health insurance. The pay is higher than some but not worth the stress. Would not recommend a job here to my worst enemy
bad,"Extremely sexist. I can't even begin to explain..."
bad,"They love to lie to their employees, Record breaking profits year after year but did away with Christmas bonus after making everyone think they were getting one. They also make you save your vacation days for shutdown week. The Orrville location upset so many people after announcing the companies shutdown that they have to install metal detectors and hire armed guards to deter angry employees. never seen anything like it. 600 people out of a job many of whom have worked there for years and bleed for that company. SICKENING. JLG = jokes lies and games"
bad,"They are closing their doors in Sept  so there is no future a typical day would be to come into a crappie  ran like dirt place ,the company onlyou cares about making money for the  corporation they make you work  7 days a week after they tell you they are closing the facility down,stay away from this place"
bad,Would not recommend this job. Very unprofessional work environment insides this training center. The management was very poor and insulting to the employees.
bad,The full time employees were not helpful in training the temporary workers. The line supervisor was never present during the shift.
bad,"this place is just one contradiction after another. They focus on appearance only. often referred to as ""Jokes, Lies and Games, Janitorial Learning Group and Just Lying Guys"". They paint a really nice picture during interview, but once you work there you find out that everything was a lie. Poor management. They'll do whatever they can to screw you out of a raise and if they cant find any reason they will make something up. They ""say"" that they care about their employees but do nothing at all to show it. All they care about is pushing products out the door. They ""say"" they care about quality yet there is absolutly NO quality control. After 2008 the place went straight down the toilet!"
bad,Management is a joke. The work is not bad. But HR doesn't do jack. High turn over rate because of management
bad,The Pay and Benefits are Good. The Safety program is retroactive. The management was young and inexperienced and not very accommodating to suggestions. Human Resources is very unprofessional and unorganized. Co workers were helpful but the more senior they were the less helpful and/or caring they were.
bad,"Oshkosh Corp South Plant Production is Union and they give jobs to union people who are not qualified - they need more education, experience, but these people are protected by the union. And the rest of us are not considered because of the union even though we are more educated and exererienced."
bad,"Alot of work to do and not enough appreciation for doing it, this company closed stores around the holidays with no placement for the employees."
bad,"I worked for Pierce for several years and when OTC stepped in, nobody was safe. They put their people in the places they wanted and then pushed the people that were good at their job right out the door by holding medical FMLA against attendance."
bad,"From my first day there I experience dissension and animosity from the direct employees. They felt cheated that they should answer a question. My predecessor was forced out because she believed in what she was doing was right and was chastised for it. I made one lousy phone call outside for privacy and got shown the door, while direct hires have verbal wars in the office dropping F-bombs! If you report bad behavior from one of the directs to their. manger, you get the door. Not a friendly and stable place to work! This place is off limits to anyone who has an once of self-respect in them!"
bad,This was one of the worst jobs I ever worked for. They wouldn’t let you have any days off. If they did they chose them for you. It was extremely long and boring days. I worked there for a while and was so miserable I decided to give my notice and the manager literally harassed me over the phone and verbally attacked me. Like please it’s a minimum wage job and the manager was fake and rude.
