rating,review
bad,"Lots of favoritism and unfairness. "
bad,Hours are bad if you have a family you want to see no time to learn new things to move around in the company management doesn’t care for your mental health
bad,bad place bad people bad food bad drinks food is always cold the breakfst was good at first then it turned nasty the hot coffe was to hot drink and you ha d to guzzle it down befor you go back
bad,"in my opinion this facility inparticular is a terrible place to work.the pay does not equal the hard work,the management is horrible and does not care about what you have to say,the team leads have nasty attitudes as if there better than you"
bad,"If you're working at a fast-food chain restaurant, good, stay there! It's better than working here. THat's the best way to sum it up. All the other reviews are wrong either. It's horrible management and for the salary, it's not even worth the stress. You will be happier working delivering packages at Amazon than this self proclaims great workplace."
bad,"Managers play favorites,give out easy work to some and harder for others making it almost impossible to meet production numbers and keep raising them weekly,also you get paid the same for being there a year as the people getting hired off the street with NO experience,old equipment always breaking down and down right rude supervision"
bad,They give 5 days of training 4 spent in the different sections of which you'll be picking the items from a list given to u  1 on machines such as forklifts then thats it youll be expected to be a pro after that so goodluck they only pay 11.25 a hour 40 hours guranteed all of which youll be on your feet 3/ 20 min breaks that youre expected to be back early from which barely feel like breaks
bad,"Avoid working for this shower of so and so's at all cost. I'd have more fun putting turds in a washing machine and watching them go round. Made a convicted s e x offend er a manager instead of sacking him because he can't go anywhere near schools or hospitals, you know, where there's kids...! Skanked me out of final wages. And managers break Heath & Safety rules and their polices all the time. Proper shady outfit. Avoid like a syphilitic whoore with dysentery. You'd probably have more fun with the whoore than working for these orrible cant's. Hours were rubbish! Some of the workers are alright, but mainly just divs... oh, weekends off is the only good thing to say about it."
bad,"Owens & Minor cares about money for corporate and not at all about its employees. Do not work here. It is a dead end job with no opportunity for advancement, at least on the warehouse side. They keep cutting corners to make more money for corporate and making lives more miserable for employees."
bad,At the beginning was okay but as time pass by things weren’t so good a lot of employees quit because of management a lot of people didn’t even make it to training
bad,This place is the biggest joke there is they dont train their employees right there for it reflects when a customer calls to check on status or has complicated questions we just dont know how to answer they get transferred around 10 times before they speak to the right person bathrooms are nasty no sick time management not there for you i feel really bad for our sick customers no one seems to care
bad,"Management doesnt know how to run the place and takes 10 breaks "
bad,Owens&minor used to be a good place to work but the clowns who run that place now are destroying it.  They are losing business and good people.  They treat the people who work hard like garbage and the slackers like gold.  A monkey could run that place better than those idiots
bad,At Owens minor you will never be good enough for the management they will tell you you are not good enough fo there.they don’t train people very well .
bad,They very dirty when I got the job I wasn’t even trained nobody go help you it’s not how they say it is run run far away and don’t look back this job only care for itself trust me I know I had to learn the hard way so I’m here to help you
bad,"I will never work there again. Don’t give raises, and run you around like a dog and don’t appreciate anything you do for them. Everything is a joke smh"
bad,Horrible place to work they hire people for management that couldn’t find there way out of a paper bag. You don’t get paid well enough for what they want you to do. If you work second shift you’ll work 12+ hours a night because they don’t have enough people and mangers are slack and don’t know how to mange there employees and if you work 1st shift you’ll be leaving enough freight on the floor for 2 days worth of work cause all they care about is second shift.
bad,I was told upon my interview we would work from 4pm to 12pm and rarely worked overtime.  I probably left at 12 once or twice while working there.  I had an appointment at the VA and tried to call in and no one answered and got reprimanded for no one manning the phones.  Moral is very low in the warehouse and I wouldn't
bad,"Management isn’t fair with all employees, they’re constantly doing wrong things with teammates. New employees are making more money than current employees who have years of experience and knowledge."
bad,"Company Is On Its Last Leg / Little To No Direction In Company / Senior & Middle Management Positions Filled By Individuals With Little To No Experience in Healthcare / Outdated Processes and IT Infrastructure / Little To No Cold Chain Distribution Capability To Service Customers / Company Mission is Vague & Changes Every Six Months / HR Department Heavily Focused On Sexual Orientation Presentations at Expense of General Business / LGBT Pride Posters plastered on ALL floors of corporate office as well as Elevators / Corporate Office frequently hosts Corporately-Sponsored Guest speakers to Promote Adolescent Homosexuality / Revolving Door In Several Departmental Areas Including Marketing, Category Management, & Sales / No Mobile Phones Provided to Middle or Senior Management Personnel and No Compensation For Mobile Phone Business Expenses. Avoid Working For This Company!"
bad,"bad manegment and very bad HR maneger no equality"
