rating,review
bad,"DO NOT WASTE YOUR TIME WORKING HERE."
bad,PC Connection is for the company and not its employees. There was no work home life balance when working here. Your position and growth is based on who you know and not what you know.
bad,"Worst place to work, very bad training, the supervisor or manager do not help you when you need assistance (DO NOT WORK THERE) "
bad,Extremely corrupted culture. It starts from the HR and ends with the Upper Management. Hiring process is totally broken. Psychological abuse is a norm in this company.Nothing would change even you inform the Upper Managemnt.
bad,"Worst place ever to work.  Would not recommend anyone to work here if you want growth.  Management is not worried about employee as growth, only for getting numbers out and only selected few people will grow with company"
bad,I worked there  as a temp but got ft hours then when that client was over they pick and choose who they want.they don't listen to you throws it under rug
bad,"Management said one thing, but did another. No support. Low moral. Account managers are king. No professionalism from VPs to HR. The most strangest place I've ever worked. Will miss some of the people, but not the office politics."
bad,"The favoritism at Connection is unreal! If your manager doesn’t like you, you’re not going to make it. They will tell you that you’ll make $100,000 after your 3rd year but that’s a lie. Base is 40k your first year, 38k your second year, 36k your 3rd year, 30k after 3 years. Who can survive on that?! The commission is bogus! The director sits in his office all day and has zero personality. He’s very unfair and a jerk!"
bad,Very low base salary to survive on when months are slow. No room for advancement after several attempts. You can lose your accounts anytime at companies discretion. No equal distribution of accounts when someone leaves. Accounts with good spend always go to firmly established reps doing well already. Rich get richer. Make you sign a non compete which prohibits you from working in the it industry for 18 months. Basically you starve for 18 months if this was your only field of expertise.
bad,"Lack of leadership or any clear strategy lead to infighting, political back stabbing, and a toxic culture.  Morale was about as low as can be measured."
bad,"The company environment is highly toxic.  Management lacks leadership skills and does not work together towards common goals. "
bad,"A typical day: No specific duties.  Management change processes and jobs on a daily basis."
bad,"Connection is a very ""Micro Managed"" company. They listen to your phone calls behind your back as well as plugging into your phone at your desk.  They scan your emails also. So, watch what you say to other co-workers. A typical day is making phone calls whether they are voice messages or not, long as you get them in. Management pays favoritism. It is, noticeable as well. Workplace culture is set up to fail. The hardest part of the job is to get the managers to help you because they are to busy helping their favorites. The best part is going home and vacation."
bad,I worked here for almost two years.  The supervisors were very disrespectful and unprofessional.  As well as the lead in hunan resources.  They harrassed me daiky and disrespected me as well as other agents.  It was a very bad work enviornment.
bad,"In less than 2 years I have seen over 40 people leave in the sales/account manager sector.  It is a revolving door.  Most likely because there is no training, lack of appreciation, sexism, favoritism, and from the very beginning they lie.  Don't be fooled by their promises of great commission, work from home opportunities, bonuses, promotions, training, structure or any kind of accountability from management because none of it exists...or  I guess I should say it may if they like you and you are a favorite...the culture is so sad perhaps from the revolving door of people coming and leaving.  It's hard to make friends when people only stick around for a few months.  Your pay goes down each year as an account manager and your commission...a mere 3% doesn't make up for it.  Oh and they take 2.5% of that 3% commission when you use services like the renewal team, which actually whether or not you use them or if they refuse to assist you...they still take the 2.5% commission from you.  They find every way possible to take commission from you."
bad,Connections give you a set pay and it’s very hard to advance/ get a promotion. Don’t voice your opinion you will lose hours not a great Place to advance in a career
bad,Selling and teaching people electronics.  Cashing customers out with thier purchases including electronics or from other parts of the store. Work all holidays besides Christmas.
bad,"Management is absolutely terrible. They hold you down and don't let you progress even after bending over backwards for them for 3 years. They don't promote any kind of positivity. No team outings, no team lunches, no team parties allowed, no recognition whatsoever. What they do promote is favoritism though. Certain departments are allowed to do certain things when other departments are not. Manager also doesn't practice what he preaches and goes against his own rules. Wouldn't even recommend this company to my enemies."
bad,"There continues to be a significant gap of communication between the administration and program levels, which creates additional challenges in the workplace."
bad,"The company itself is not a bad firm. There are quite a few positive and supportive people that work here. Unfortunately, the Services  PMO is a hostile work environment with an unsupportive, toxic culture. This culture is  caused by a lot of undermining and backstabbing, which several employees participate in. They are not entirely at fault for their behavior. The Manager of the Services PMO intentionally encourages this behavior to retain power and control over their department. They will throw anyone who poses a threat to their power / control under the bus (including go getter types, highly qualified types, type As, and men). They will use others to survive another day, never taking any sense of personal responsibility. They are completely untrustworthy. Besides this department, the rest of the company seems to be a decently healthy place. The Help Desk and WebSpoc departments are pretty cool, and run with positive, collaborative cultures. The managers of these departments are true leaders."
bad,Benefits and pay are awesome but come with a cost. There is a frat mentality.  Very clicky. If you go against the grain you are singled out. There is room to grow but the director has to give the ok. Which he usually doesnt. HR definitely doesnt have your back. You can complain to them all you want and they never do anything. Everyone plays favorites.
bad,The main objective is to sell hardware. That being said the consistently try to drill into all sales folks the it is really about creating a complete solution with a large emphasis on service.
bad,"Company has opportunities that can be lucrative, however they seem more concerned with how much time you spend at your desk vs. how much revenue you create."
bad,"Let me just preface this by saying I was a model employee who exceeded their sales targets consistently every month. Overall this company is great and I enjoyed the environment i was in and all my coworkers. It was like a little family, which turned out to be a curse to new employees. The starting salary is horrendous for a inside sales job ($32,500) with bridge payments ($10,000) that decrease every year for 3 years. The commission structure is set up to reward the longer tenured employees who have established Enterprise accounts. After grinding and creating a solid book of business and being on pace to bring in over a million dollars for the year, I had nothing to show for it. My best month I made $500 in commissions after selling close to 200k in products. After doing research into similar companies this is the worst commission structure for the type of work we do. The other problem is how close all the older tenured employers are. Most of the people in our office have been working together for over 5 years with no new hires. With that being said, there was a lot favoritism within management to give the active buying accounts to their closest friends instead of spreading out to people who consistently show up and work hard. The company has a great future, but they need to adapt to the times and compensate emoyees equally to what the competition is."
bad,"Good company overall that is moving in the right direction, although slowly.  It is a good place to be for scheduling flexibility where needed, and its nice not to have to do the Boston commute."
bad,Sales Managers have their favorites. If you stand up for yourself its frowned upon. HR never backs you up or keeps their word. Its like a good ol boys club. Not much room for advancement
bad,"Connection's Corporate Office in Merrimack should keep a close eye on this location.  It is a very toxic and hostile work environment.  Instead of collaboration, teams tend to back-stab each other and look for blame instead of solving issues."
bad,"Employer provides benefits that should be ""standard"" in 2017. Health Insurance, Dental, Vision, Gym Reimbursement, 401k, Stock Options, etc."
bad,"The training is 8 weeks and mostly do it yourself virtual training. You are rushed from one training to the next with alot of information being thrown at you and not given ample time to digest . You are expected to make calls before knowing much about what products and services are offered. Its more of a glorified telemarketing position . The sales manager being new was unable to support us when system questions arose because he was learning right along with us. He was overbearing, rude, impatient and not a motivator. I found it distractingly  noisy as you are in small cubicles in close proximity to others talking. "
bad,"Best part of the job was co-workers, pay wasn't good, most management was clueless on changes that was happening, and there was plenty of ""friend"" favoritism between management and CSR's. There was always drama and conversations that weren't fit for a work place. Job is extremely easy, yet very boring. However it seemed most working there couldn't grasp the most basic concepts of the job, but the few that could were expected to do their own job plus answer questions from numerous employees who didn't pay any attention in training. And if you were one of those who knew your job, if you were asked by another employee what to do but couldn't jump to answer them expect attitude not only from the co-worker but also supervisors."
bad,"Get ready to prospect. I would figure on 12-18 months to build a decent customer base. Focus on services, data center, and any software that can be invoiced."
bad,"A typical day involves solving email and sales case issues relating to cost and quote information to help sales cost the item correctly."
bad,"This can be a great place pending the economy is stable. The managers are great, provided that your sales are above the daily goal. If the economy dips the managers put you in a position that you fear your job. This place is hit or miss, with the right clients you will go far, the management is great, as long as you are a top performer."
bad,"The job site was unsustainable as the network had not been updated since 1989! "
bad,"The work was always hard, and the pay was low to start. But after a few years of proving myself, income started to follow the hard work. Had two very good years back to back."
