rating,review
bad,"I can't say much, but I feel that I / we are not valued in IT. If unhappy with your job you have 2 options, either get over it or go and look for another job. It's a great market out there today."
bad,"Forget all the talk of ""Safe, Affordable, and Reliable,"" The Company Executives and Leadership drive their people to the absolute edge of performance. Whether it is constantly shifting priorities or changing  organizational structure, OR, the constant turnstile of contract workers that are treated like dogs, there is no mistaking the real, and salient corruption of the entire organization, from top to bottom! Don't get me wrong: there are some great, sincere people in the Company. But this has shown to be of little significance, when countless numbers of catastrophes continue to happen. There is a sincere dysfunction happening here. I only hope that they can correct course before more of their customer's lives are lost."
bad,"If you are a driven IT professional you should look elsewhere.  You will not be welcome if you are too productive.  "
bad,Hired for my knowlege and experience only.  Just get the job done no matter what the cost.  No incentive other than salary.  .Company only uses people to fulfill their needs.
bad,bad management and unorganized they do not know whats going on and too busy to listen to back dated procedures. need to change the management and be ope minded
bad,I didn't like working here because everyone is fake especially management and the union IS A JOKE!!! All of the shop stewards work for PGE and are in a clique with management so YOU DO NOT GET HEARD!!!!
bad,Supervisors are not skilled to lead a team. Most employees lack ambition to perform above and beyond. Career advancements are not considered by job performance rather by years of service.
bad,The culture here is horrible and people have worked there for years and are set in their ways and unwilling to try new things and move the business forward.
bad,"There is no better training for line work than Pacific Gas & Electric, Hands on training from climbing poles to towers, splicing underground and overhead electrical transmission and distribution electrical systems"
bad,"I did not enjoy my time working as a Gas Operating Clerk for the short time I did for PG&E. There was no formal training involved whatsoever, which led to me being very confused about the job itself and what it actually entails."
bad,i enjoyed a lot working in this company. management support is good.
bad,"Do not like how they harm our environment. I have worked there I felt too long and no advancement, its like they kept dangling the carrot on the stick and never let the employee's have it at all."
bad,I would NOT recommend working in the Transmission or Gas Depart at PG&E.  Very bad Management.  Management too young and does know what she's doing.  Will set you up to FAIL!!!!!  Run far away from that department!!!!
bad,Technologically far behind.  Not using enterprise software as designed.  Focused solely on projected budgets not actual admin of work.
bad,"Very similar culture as the DMV or post office.  It may have been cutting-edge in the 60s an 70s but mid level management is antiquated in leadership skills and resistant to change. A very wrote method of orientation and training of “it’s the Pge way, make it happen”."
bad,"Ask a former vet, they fire them like crazy and don't accommodate for disabilities. They treat contractors as the enemy, not a team member. The driving factor for employees is to make money and do nothing,"
