rating,review
bad,Is a terrible company don't work there is no good for you. Supervisor is not a professional person and doesn't care about your hard work and the manager instigated.
bad,"Unfortunately, after over 20 years in the company i loved one manager left a very sour taste in my mouth by choosing to isolate, trap and discharge me ."
bad,"Management does not appear to respect employees from the beginning: many interviews, sometimes no communication afterward, no return phone calls after demanding time prior to hiring; the largest concern is sales and what the employee can do for the company rather than ensuring the company also fits into some of the employee's needs for better morale. It's hypocritical to ask that customer facing employees perform perfectly while hiring managers and branch managers have little to no people or communication skills, lack of etiquette, and lack of basic courtesy. Not everyone that applies to PNC carries a nothing more than a high school diploma and there are people in the workforce who would like to be treated with some form of dignity. If you live in Southern Maryland and you would like to be treated fairly and with respect, look and apply elsewhere. If you are simply looking for a paycheck and a learning stepping stone but do not care so much about how you are treated, go for it."
bad,"Honestly an awful place to work, it’s extremely stressful and know one helps you. Managers don’t care, and it’s very hard. You can’t take a bathroom break without getting yelled at."
bad,"Its becoming a product pushing company. Employees are under paid, unhappy which has a high turnover rate. Customer are affected by it and they will express their concerns through customer surveys which employees get an incentive on the overall branch performance, not individually. The goal is to reach out to others branches for help but they are barley staffed themselves. Upper management doesn't care about employees career path all they want to make sure you are getting Credit Card applications on a daily basis and investment referrals.It is all about what PNC can get. PNC make it seem better than what it is. If that was the case why are the branches not fully staffed with employees. Actions should line up with their words."
bad,The people in this position are horrible.. They tell you are able to ask questions if you need help and then when you do you are told by the manager that the people dont know your job because they are separate divisions within this job. The manager and team lead are just wishy washy and backstabbing people!
bad,Exempt employees are expected to work 50-60+ hours per week because hourly employees cannot.  Senior management at Brecksville/Pittsburgh Lending facility is inexperienced and/or unconcerned with customers or employees.
bad,Had a customer call and threaten to shot every single person in the head and kill them.  PNC bank did nothing.  Customer continues to call and come into the bank and harass  us.  Pnc didnt care at all about anyone's safety.
bad,"They expect you to push products on everyone even those who clearly don’t need it. I was put on warning for not offering to a 86yr old customer. Pay is not good when you think about what you bring home monthly. Management pushes everything on the team and still expects you to finish your work. Let me not start on the racist, sexist policy. Go anywhere else you’ll be so much better off."
bad,They don't know how to treat an employee.  They offten treat you like you  are nobody.  They are full of promises that they are not going to fullfill.  Don't work with them EVER!!! Manager don't know anything and then treat you like a dum person.  Shame on them.
bad,I just feel that PNC set to high of professional standards for such a low rate of pay. This job wasn’t a good fit for me. Very strict guidelines cookie cutter things I didn’t like.
bad,don't believe the lies - only protect their own - will make an example out of you - only selling you a dream - Racist - prefer hiring their own - only help their own - only promote their own
bad,"PNC is a company that even though they said they like to promote from within the company, they don't really like to have employees asking for promotions. I saw plenty of times and when it was my turn as expected i was decline as well."
bad,"This used to be a great company, up until consumer merged with mortgage and screwed up the entire system. Cut bonuses, fired management, put in incompetent management, no room for growth. This place is going downhill. If I could give zero stars I would. Worst place to work."
bad,"Management was asking staffs to break written guidelines.  Also upper management had their favorite managers and treated them differently than other managers.    The goals and expecations are unattainable, typically over 55% of the branches don't obtain their goals."
bad,"The location I was at made the entire corporation look bad when it comes to equality on race. The location I was placed at needs to be reviewed and monitored, not to mention shut down completely."
bad,Co workers are awesome management sucks I don't recommend anyone to go there .no raise in 2 years they want you to work 6 days a week  with no extra be.
bad,"Worked 3 years at this company.  Was a great employee, dependable, made sales goals but never received one raise.  We had an employee who caused problems with everyone but nothing was ever done about her in spite of numerous complaints.  DO NOT WORK HERE!!!!!"
bad,"no work life balance. "
bad,I would rather beg on a street corner then work for PNC they are the biggest back stabbing lying underhanded place. They allow bullies. The talk about employees when they are not around. They threat you.
bad,Stressfulenvironmnet with little or no feedback on job performance but incrediby high expectationsor performance.  Superiosrs demanding but give no guidance.
bad,"Interviewed with the recruiting department and it was the most humiliating experience I have ever had. Once I arrived, I was surprised to see that I had a group interview. The questions asked had no relation to the actual job and I wasted an entire day answering questions such as, ""what do you like to do on the weekend?"""
bad,"It would take me writing an op-ed or a book. In short, don't work here; there are many better alternatives and believe me you deserve better. Turnover and burnout accepted as the norm by upper management. Consistently understaffed and short resources. There is a reason big banks have the reputation they do. This place takes the cake for hypocrisy because public facing marketing tells one story but once you get in, it's the complete opposite. 100% turnover is commonplace. Don't believe me? Walk into any branch in the Atlanta Metro Region and survey how long people have worked there outside of management. Ask what turn over is like in general and if it's common to have turnover. Ask if the branch is fully staffed and how long it has been that way. There were branches that could not even open the doors on a consistent basis without redirecting employees from their regular home branch to cover others because of being short staffed. Too much to list but take my word for it, pass this one by for both employment and banking needs."
bad,"Conventional underwriters are discriminated against. Underwriter Managers will not defend or speak up for employees, bottom line they are a waste.  If you are a conventional underwriter do not work here you will be discriminated against."
bad,I was disrespected by the loan officer...she gaslighted me...she was the worst person I’ve ever worked for. She didn’t train me well at all and didn’t give me a chance.
