rating,review
bad,"Didn't work there long. I had to move, but $9.00 a hour for in home health care to a MS patient that couldn't walk or really do anything for herself wasn't enough money."
bad,"Pay is horrible. There is no chance of ever getting paid more then 9.40 an hour. No benefits, no paid vacation, no nothing extra for the nurses that actually do a great good. It’s ok if you don’t have real bills to pay."
bad,Poor culture. No support and extremely judgemental people work there. They preach building good culture but upper management surely does not practice it. Not inclusive at all. Would never recommend working there.
bad,The ladies at PPL have no personality they will put you in a job where you are treated like absolute trash and no one cares at all about your issues or being targeted at the workplace by racist blacks
bad,I didnt gwt paid all my money and i done more then i was paid to do .they was rude when you had to call them and the caseworker was really rude and didnt listen to what you had to say about the job and the person i was taking care of
bad,I worked for ppl if you're late or make a mistake on your timesheets this company don't care if you have bills to pay they hold your money for two weeks don't do anything to help except say I'm sorry ma'am. Smh will never recommend this company to anyone
bad,"A challenging role lack of Senior support - if things a re good they carry on with no acknowledgement but if wrong they will make a complete meal"
bad,I was very happy when my assignment ended at this job. I was hoping that they were not going to renew my contract. Everyone is scared of the boss and he is rude to the employees. Would not ever go back there again.
bad,Working for PPL Corporation was an interesting job. My responsibilities was answering the phone and assisting clients with any questions they had regarding their PPL bill.
bad,A typical day was poorly planned out. Do more with less and even when you think management will back you up they will not. This company will terminate you even for doing what you feel is acting in the best interest for publics safety while responding to emergency calls. This company will set you up for failure even if you follow there rules which management do not even know. Stay away and if you do go make sure you have back up plan.
bad,Horrible place with reorganization’s every 12-18 months and complete replacement of mgmt getting worse with every change. Current leader soulless shareholder out for his own wallet and doing everything to cut costs to sell business while grinding staff to bone. Hates certain depts because he doesn’t understand them and praises complainers who are real root. Cult environment where if you come over from healthcare practice you are hero even if weaker qualified than others and not able to contribute. Awful place and grave concern for disabled community they’re supposed to help
bad,"No vacation days, no sick days will not pay over one minute per shift. No 401k you have to clean up behind all familly yembers in or out of the household plus pets"
bad,Total incompetence from wall to wall. This is a perfect example of a company in a downward spiral.  Unfortunately the ratepayers will wind up footing the bill when the bottom drops out.
bad,This companies IT department went through 4 re-organizations in a 5 year period. Two of those the company made all IT employees apply and interview for their positions. The last re-org the IT department went from ~230 employees down to 150 after roughly 80 employees didn't get past the interview process. They started laying off employees last October 2018 and continue to this day. A person without a job was either left go right away or put on a TSA (temporary service assignment) where you did your old job until no longer needed which could have been 3 months to the end of 2019. The culture and management is so bad that employees that actually got re-hired with jobs are running out the door and they are filling those positions with contractors.
bad,"Pros"
bad,A typical day at work has you jumping through hoops reacting to the latest issue.  Workplace culture is undesirable and attempts to improve culture seemed to have back fired.  Vision is lacking.
bad,"procedural health matters not dealt with correctly."
