rating,review
bad,"Preferential treatment, unnecessary org changes resulting in layoffs, overpaid-under-qualified leadership, lack of direction, no brand cohesion, no cross division employee engagement"
bad,"I’ve worked for several companies, but this was my worse experience by far. My manager had no respect for her team members. I don’t recommend working for PL in their life insurance division in Aliso Viejo. I hear that the location in Newport has a different culture."
bad,"Worst company to work for."
bad,"I was hired on in October 2010 and went through a very extensive training stint that lasted 4 weeks to pass the series 6 license with a class of 12 people.  Once we all passed the series 6, two people were forced out.  ( I think they over hired thinking that some wouldn't pass the series 6) "
bad,"Everything seems OK when you first get there… Until it’s time for you to advance. Management claims that they want to promote from within, however when the time comes they never want to promote internal employees. They would rather bring in someone from the outside and have the fully capable people inside train the outside people. There are a select few who do care about you however they have no power to make any executive decisions. If you do not kiss butt,you will not get anywhere."
bad,"This company is a very risky option if you are thinking about working with them.  I had 4 interviews with them and they demonstrated a great deal of shady behavior during the interview process.  I was constantly provided conflicting information from different people. I was asked the same questions multiple times and they were non-responsive. It just felt very unorganized and unprofessional.  Just be careful, pay attention to the signs and proceed with caution."
bad,Management cared more about profits than their employees. The first three years our office was busy and when the market dropped in 2008 the customer service focus and contract processing accuracy declined. Management was more concerned about the benchmark numbers than their employees.
bad,"Pacific Life as a company is really amazing. The Minneapolis office is not representative of the company. Ineffective management, aggressive micromanagement, and constant tension made me move to another life carrier."
bad,It is hard to advance unless you are a part of the inner circle. Hard work sometimes pays off. They provide fun learning opportunities and participate in lots of charitable events.
bad,"Pacific Life should change their name to Petty Life. The employees constantly tattle tale on one another. The managers walk around with a chip on their should like their kings and queens and their employees are peasants. The culture at this company is just terrible. You're treated like a CHILD!! In order to advance with this company, you have to be really good at kissing butt."
bad,"The managers on my floor did not know what they were doing. They tried to create a team atmosphere but in the end they only worried about their own personal success.  Constantly tried to tell you that you would move on to a new role or to a different department, yet they put a stop to any chance you had once they found out you applied to another team. They do not communicate to you clearly and do not know the process they supposedly ""manage."" "
bad,"Great company, not so great people to work with. People have Passive Aggressive attitude which is quite hard to work with. Very quite and the walls of the cubicle are so big you could hardly see any one."
bad,"This employer offers great benefits, as a single mom with three children, take full advantage of what they offer to their employees. the management will make you feel like a slave."
bad,If you like sitting in a cubicle being micromanaged this is the place for you.
bad,People either do not want to leave their position because they have been here forever or they don't see a point in moving up a level. Management is partial to long term employees and gives step treatment to Contractors.
bad,Definitely not the greatest company to work for in Orange County. There is not much room for advancement and the pay is below industry standards.
bad,Local boys club mentality for any promotions or opportunities that opened up. Miserable micromanagement and yearly commission pay cuts based on rising goals
bad,Never believe what management tells you.  Upper Management in IT believes they are better than the people who report to them.  The culture is a save yourself at the expense of others.
bad,Company dynamic has shifted to a win at all costs environment.   managers lead by fear and threats.  very unethical in the RSD department. The money is not worth the stress.
bad,"The cloud transformation program is a rudderless ship, with little hope of reaching shore any time soon.  Unclear objectives, chronic waste on endless vendor engagements, and misleading management round things out."
