rating,review
bad,Ok pay if you can deal with the other nonsense .Bad management is the norm.No advancement potential. Very hot in the summer very cold in the winter. Us versus them mentality. No appreciation for hard work only inconsistent decision making and disingenuous leadership.
bad,The managements has favorites and if you are not on the list they treat you like you are worthless they treated me like i was nothing the day i started. I would not wish this place on my worst enemy
bad,Rarely have forty hour weeks and overtime is very scarce. Management targets any employee who asks questions and never stands up for their understanding or well-being. They raise their voice  and talk down to employees no matter how they are approached/the situation. Employees constantly aren't given answers by leadership and have to go to Human Resources. Retaliation from leadership is guaranteed and is extreme. They routinely question and hover over employees as they do their jobs. They target those who they don't like/want to quit or be fired. This seems to in order for them to make up a reason to fire them. Not a professional place to work.
bad,"Horrible place to work go to youtube type in pca deriider plant explosion, they dont car about employees thats for sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
bad,The supervisor didn't care about anyone. Was in the office a lot. They let us leave 20 minutes before shift ended. People ate on the floor and used their phones. They are based on a favoritism scale.
bad,"The will berate, abuse and purposely Injure you. From day one I worked my butt off a d got no recognition, only mistreatment, after my car accident they repeatedly put me in positions just to hurt me so I would quit."
bad,"Very high turnover rate, almost like a revolving door type of situation. Management is very dishonest pitting employees against each other to get what they want. Production over safety and no home/work ballence. Pay could really be better."
bad,"This was a terrible company to work for. To start, I hope you like to live your life their in the summer months, mostly 10 to 12 hour days and mandatory overtime on most Saturdays. Management is absolutely terrible, most of them have no clue how to manage anything. The moral of this workplace is the lowest I have ever seen. It is a true sweatshop in the summer, be ready to be soaked head to toe 10 minutes into your shift, on top of the corrugator it can get to 130-140 degrees in the summer and around 100-110 in the rest of the shop. They expect you to work miracles with equipment that hasn't been properly maintained since the 60's. When the machines break down they usually blame the operator for the break down when it is out of their control to why it broke down. They give you very little time to do any preventative maintenance on your machine. When the machines is finally running decent and you get good production numbers you never get recognized for the good work you do, but if you don't get those numbers they basically degrade you. So to end this review I will say that if you like working long hours, sweating all day and not being recognized for the good work you do, this is the best company to work for. If you like to work normal hours in a comfortable work environment and get appreciated for the work that you do, look elsewhere, this is definitely not the job for you."
bad,If you want to work 12 hours a day 7 days a week this is the place for you . When it was Columbus container it had a bad rep no one thought it could get worse then PCs came along and proved that wrong. No one in management has a clue how to treat people.
bad,Bad behavior is tolerated by management. If you’re protected class employee you can do whatever you want. Political correctness is out of control! HR will leave you in a bad situation rather than address bad behavior over political correctness. Stay clear!
bad,"You work five days a week from anywhere to 8-12 hours a day. Everything is quick, its hot inside. You must be prepared to work because the day can turn into a longer one"
bad,"Do not take a position at this mill, it is a total waste of your time and talent.  Not a happy place to work.  Lots of harassment, lots of managers that have inferiority complexes.  Managers have been there for years, and they don't mind throwing anyone under the bus to save themselves.  Very dishonest people to work with- if their investors knew what really went on at the mills, I don't think they would invest."
bad,Company doesn't care about their employees and will work you to death. Always worked weekends and had no family life. Poor management. Union sucked didn't help employees were for company.
bad,With the acquisition of Boise jobs are being eliminated and if you are not protected by someone in upper management you are a dead duck!  Unstable company at the moment.
bad,"company sucks junk machines unsafe work areas,coworkers are on drugs."
