rating,review
good,"I enjoyed working here, and I made a lot of new friends. It also helped me maintain good customer service habits, and has made it easier for me to conversate with people in other jobs."
bad,Co-workers are very rude and lazy. Managers are always locked up in the office doing nothing and get mad if we go to them for help. Lots if unappreciated favoritism!
bad,Management sucks co workers don't appreciate each other management belittles you if you make a mistake I got yelled at for being 2 minutes late one day
bad,I strongly recommend that you don't even give this place a thought skip over this and run! Don't even think about applying here they treat their employees like absolute garbage they could care less about you they view you as a way to get money not as a way of a person because they don't see you as a person they see you as a machine so whatever you do do not apply here!
bad,"If you want to be treated less than human work for Panera bread! Management had 3 different ways of doing things, and you were blamed for getting it wrong. None of the managers are on the same page!"
bad,I do not recommend working at Panera. There is no quality of life and managers are only used as labor. There is no help or direction given by upper level managers
bad,"Sucks, managers a child and employees are jerks ,  ten cent raises and they kick you out the door as to not get any extra time in ,even if you are not done with what you were doing . Racial divisions ."
bad,I hate working for that Panera. It has been one of the WORST experiences of my life. I wish I had NEVER started working there. The managers are liars! I have been off of the schedule since December. I was working there to help pay for school and they knew that. I kept asking for more hours and even adjusted my availability TWICE so that they could schedule me. I see why they have a high turnover rate. I absolutely hate that place.
bad,"I had a limited availability when I applied for the job and the managers knew this. I was never treated like an employee. I usually stayed past curfew , I am a minor, to clean up the store and I was not allowed to leave until a manager came and checked if the area was clean or not. I was usually scheduled to work during school which I could not make my shifts and had to get someone to cover my shifts. I never got a name tag or a temporary name tag. I was eventually let go because of my scheduling conflicts."
bad,"If you value your life in all aspects don't work here."
bad,"If there were zero stars available to choose to rate them... that's what they would receive from me.  It is the closest thing to slave labor to which I have ever been exposed.  I would be forced to work 10-12 hour days with barely time to go to the bathroom, eat, or even get a drink of water.  Breaks were few, if ever.  I could not leave until the work for the day was finished... usually starting at 3-4am until 1-3pm. Constant bigotry, favoritism, and racial discrimination allowed at All levels of employee interaction, including management. Employees are allowed to get high and come into work high every day!!  Gratitude was Never expressed, only berating if a mistake was made."
bad,"Panera is constantly trying to save as much money as possible. They will cut your hours and expect you to do the same amount of work in lesser time. "
bad,"I learned that no matter how hard you try, and how hard you work, you will never be appreciated. The managers have there favorites and if your not one dont expect any special treatment. Just know when you are a favorite you get away with murder, and drinking on the job. There is so much drama, everyone talks about everyone. Your suppose to get regular raises and you do but the favorites get the most money ."
bad,"Everything was great for the first month or so, but it didnt last very long. Management was so nit picky and demeaning. Constantly put in a situation with last minute catering orders that would sometimes make bakes go on for 10 or 11 hours. Regardless of the situation you were never given any help with your bake. . Little to no breaks throughout the night, you were lucky if you could sit down for 10 minutes while things were in the oven without fear of not being finished in time."
bad,"Panera Bread was my first job and it was relatively unpleasant. There's a lot of problems with management. They hired a 19-year-old to be a manager, the current general manager of the store has been accused of s*xual misconduct several times, and no legal action or firing has taken place. Please avoid working at this location if you can, especially if you're a young woman."
bad,Worst job I have ever had in my life!  And I was a manager.  Completely unorganized.   The area director must  suck dick to keep his job because he hasn’t a clue how to do it.
bad,"I had spent 5 years of my life with this company. Within those 5 years they wrongfully terminated me twice. Once during a LOA from a nearly fatal car accident I was the recipient of in which I needed 6 months rehab. Yes I did all the paperwork, was approved and then found out later when I went back to work they had fired me. Got the job back. I had been moved to 3 different stores in which drama surrounded me like a black cocoon that upper management refused to free me of. I became trainer after 4 years, finally. Only needed one signature from an Asst. Manager to become a superviser, but she told me no because she simply didn't like me. I transferred to my final store in which the open door policy told everyone my private reported incidences to HR over the years. I was physically assaulted and became unemployed for 7 months."
bad,Poor training practice.horrible  manage ment..Unfair work practice and very prejudice. Always set up to fail...I called employment services when the problems start happening called three different times and the never ever ever even call back courtesy call.
bad,It was okay just the management was trash but the experience was good for a first job. Food is good and the discounts we received was good just does not give you enough hours.
good,"I enjoyed working here, and I made a lot of new friends. It also helped me maintain good customer service habits, and has made it easier for me to conversate with people in other jobs."
bad,I worked there for four years I was happy for a bit but they do not value their employees. They accused me of vandalism and fired me with no proof. Later they fired several other great employees for the same reason and none of us were guilty. They do not value their workers and you are expendable to thdm.
bad,Panera is underpaying employees but yet overworking them. They do not respect anyone's personal life nor are they humane &' ethical to anyone's situation which may affect ones job performance.
bad,While working at Panera there's been many ups and downs but I overall enjoyed the experience and time I had. My coworkers were pretty cool and my managers were very understanding.
bad,Unorganized expired food under payed terrible hours to much for so little pay they expect so much out of you will never ever recommended anybody to work there they like to hire minors  it's not a place for a person that's has responsibilities it's a job for teenager
bad,"While working for Panera Bread I met tons of great friendly people! On the other hand the management was another story. Harrassment, disrespect, belittlement. Unfair. Raises were always promised but were never given. In my 2 and a half years i should have made a total of $1.00 raise. But i was only given .10 cents."
bad,The managers didn’t care about anything but you getting to work and even if I was scheduled 5 to 2 they would make me clock out at 1 and I paid for my own ubers to get to work every morning because they switched me to bakery opener which you have to be there for 5 in the morning and I needed the job so I did it until I found something way better they didn’t care about your needs or anything to do with employees horrible !
bad,They are the worst company to work for ever in life they are just the worst the managers are bad they go on a lot of smoke breaks not managed very well at all!!!
bad,I feel threatened everytime that I come to work. Unfriendly work environment.  Unfair judgement on employees. Unclean work environment. Corpret should seriously evaluate there mngt staffing.
bad,"No one is happy. Negative environment. Apparently you motivate and lead employees by treating them poorly. Only job I have ever not given notice, in 30 years in the workforce!"
bad,I have worked with this company over 3 years and they run you into the ground and don't pay you enough I have nothing to show for all my time being there
bad,Management was messy they all was not professional it was a great environment up until the management changed I would only recommend this job for someone that is in high school
bad,"The job I hold as Team Trainer is a empty ,place holder,position designed to “encourage” me to continue my tireless work for an unappreciative company, for which I am paid barely 2/3 of other employees in the same position in different occupations. The average pay for an associate trainer at a competing place of business is on average $1.50 higher than that of what Panera is paying"
bad,"The time that I worked there I witness the Managers Harass Hispanics and Blacks. People quit a lot because of the same reason. They play with your hours and money. If they are in a bad mood they will yell at you call you names. I really don't know how this Managers still have their jobs. ""They are bullies""."
bad,Panera bread was not a employee friendly company Management will allow the customers to be rude to the employees disrespectful Also as an employee I was threatened by customers on a couple of occasions  and management did nothing about it
bad,"Very bad company to work for, just isnt supportive over anything you do. Need a flexible schedule? Forget it. They will work you raw even if you have school."
bad,Mucho favoritismo  te piden ser parte de la solución y no del problema les das soluciones  y te lo toman a mal por eso me corrieron
bad,"Wow this company is very messed up from district on down,  District mgr in ann arbor cant even spell or use computer.  General Manager is a liar and covers up horrible management situations...racism,...hostile work environment, retaliation, lies what a mess..  I promise the customer is the last in line as far as importance.  Just get the money"
bad,If your looking for an opportunity to improve yourself and if you need to pay bills stay as far away as possible from panera not only do they give you at most 5 hours a week but they also post the schedule the week of the schedule so it's impossible to work another job so I just told the manager I quit through text to save gas because I didn't make enough to fill my tank per week.
good,"I enjoyed working here, and I made a lot of new friends. It also helped me maintain good customer service habits, and has made it easier for me to conversate with people in other jobs."
bad,"i was with Panera almost 2 yrs then when i push myself to get my job done and it tweeks my knee up and have to call out i get in trouble for it or the fact that i have seen a baker throw a baking sheet full of bagels and still have a job, or a baker who can stick baking racks in the bathrooms and Cuss out the G.M at the store and still have a job... i busted my butt doing my job and i get thrown out like im trash. i dont know how many times my boss asked me on my days of to come cover anothers bakers shift because they called out. this company i feel as if the boss i was working under is a sexist boss only 4 female bakers out of 20+ of us. and the male baker get away with things that arent right but i had a real reason to call out but yet i get fired this company isnt the greatest to work for."
bad,They fired me for no reason without saying anything to me about it. Was let go didn’t receive a phone call on when to come back in or time with me being a new hire. Totally unprofessional.
bad,"The management team was very toxic and rude to the staff. Very underpaid and very understaffed, working here  was a nightmare. I, personally, would not recommend working here."
bad,"It wasn't the job for me, I dont handle having management yell at me over the smallest mistakes well and even if you initially are told that they'll work around your school schedule the moment it inconveniences them they get upset"
