rating,review
bad,If your a store manager don't plan on having a life outside of work. High expectations and low pay. Workweek is a minimum of 50 hours but that usually ends up to be at least 65-70 hours do to the low hours you are allowed to schedule the front desk.
bad,Absolutely loved being able to interact with the public and meeting new people but the management was horrible. This position taught me a lot about what I would not be like if I was to ever become a manager. Working with the public is hard but to be able to open yourself to appreciate the differences in people takes you a long way.
bad,"This company merge with Circle K in 2014. It is no longer in business. See Circle K review. "
bad,"I was sicker than a dog and they made me come in anyway then complained about everything i did. I went completely through the checklist the manager left me, and the manager told the district manager that i refused to do anything that night"
bad,"Uncaring management, poor pay and benefits, this job was simply a means to an end. Would not recommend for anyone seeking fulfillment..was definitely just a paycheck."
bad,People who work here only look out for themself. They do not care to help anyone. From corporate to management.  Employees only care about heir paycheck and making sure they put the blame on someone else for their wrong doing.
bad,This company is dishonest.  Does not pay you what they say they will.  Will no pay overtime if you work it.  People walk out in the middle of shifts.  Husband of owner tries to be the boss.  Horrible work place environment
bad,this is the worst place to ever work for. The manager leaves brand new hires to tend to entire store by them self after only an hour of training on the register and the drop machine. When they are call for assistance they don't answer or just turn off the phone.
bad,Manager was horrible! Showed up only for set up and 2 more times within 10 days. It took her at least 7 hours to respond about anything work related. She was rude and a bully when it came to selling the product. Payroll was horrible. Only received my 2nd check om time. The 1st and 3rd ones were at least 2 weeks late. They canceled the roadshow during work hours without a notice.
bad,"awful place to work at. All the managers are nasty to the staff and don't care about your safety you work 10-12 hours all by yourself in a gas station, just waiting to be robbed"
bad,"I worked as Asst Mngr and was told I would be on graveyard shift for a little while and then move to second shift.  That never happened.  No one wanted graveyard and I got stuck with it.  The 2nd employee that worked with me was not interested in working.  I ended up doing most of the restocking, cleaning, emptying of garbage, etc.  "
bad,I learned a lot and the people were nice.  I would have loved to stay on board.  Most enjoyable part of the job was getting to work in your own space but still be apart of a team.
bad,"People would often clock in to work whenever they felt like it."
bad,Overall this is a difficult position and working graveyard shift is very hard to adjust to.
bad,The position that was initially applied for was a station clerk making more money than the position I actually obtained and the monies I eventually received.
bad,"worst employer ever, don't care about their employees or their employees family"
bad,No benefits other then free soda
bad,"My manager did not give me 3 of my paychecks, it was some roadshow company that went state to state. Horrible costumer service and horrible management"
bad,"what a joke. Stupid management, stupid procedures, stupid policies. Working corporate support for the Pantry was the most soul crushingly awful position I've ever had. My co-workers were OK, but the management and other salaried staff were total guffs."
bad,"The management was absolutely horrible, and the hours were ridiculous."
bad,"Loads of customer service and inconsistent scheduling of my hours was a weight-loss program, so who needs they gym?"
bad,"The Pantry claims to have honesty as one of their main values that they stand for. They hire a manager that has done nothing but lie his way into his position, and when called on it, my hours were cut to nothing. Trying to get in touch with someone in corporate office was just a joke. I was promised a return phone call about 3 months ago. They are NOT an honest company to work for."
bad,"I have nothing good to say. It was horrible and I don't recommend anyone working there ever. The hours were long, management was horribly inept, pay was pathetic, responsibilities far outpaced the compensation. Favoritism among the staff, no loyalty or cohesion, and overall the worst job experience I have ever had. I resigned and the supervisor still pressured me into working one more day."
bad,"Totally a republican-centered company.  As a white female in management, it's funny how execs would assume I was Republican and talk candidly about 'those people' and 'idiot democrats'."
bad,I would not recommend it as a long term job.There is a generally a pretty fast turnover rate.
bad,"I started this position under the pretense I would be trained for assistant management within 3 months. At about 7 months I started to get a bit concerned. I spoke with my fellow employee (working ther for 5+ years) and was told he'd been being baited by the same routine for years. I also found the current assistant manager garnishing my hours for his own benefit and time schedule. After multiple complaints about prior/post shifts not doing their most basic work duties I found the manager of the location didn't instill ANY discipline in her employee's at all. The work remained undone leaving it for me to clean (as always). When I approached the manager about these infractions it was met with a cavalier attitude and resulted in fake ""complaints"" (that were never brought to my attention up to that moment). This place is the living definition of a ""horrible job,"" stay away guys! The $8 an hour ISN'T WORTH IT."
bad,everyone watches each other and tattles. Doing the job accurately and efficiently does not count
bad,"It was one of the worst jobs I've ever had. The management was that bad. There was inconsistent management from store to store, the DM would lie, it would send emails and then coming to the store in a race the email say that he never sent them. Absolutely awful."
bad,no loner open was bought out they no longer operate and has been bought my circle k no longer work due to being bought out so I rally don't know what to say
bad,"A typical day consists of the MGR and AM showing up half a hour to a hour late, and blaming others. Avoiding their own job duties, and assigning them off to others. Each employee is responsible for the previous shifts work not completed. Which translates to  being responsible for others who are not doing their jobs."
bad,"I work the overnight shift which is from 11pm to 7am.  My duties include but not limited to, cleaning, stock, customer service, inventory, merchandising, and paperwork."
bad,Not a functional environment. Sort of like our government: a lot deflecting responsibility and team work within groups or departments.
bad,The Pantry is a cheap company that values profits over employees.  I on numerous occasions worked 45-60 days straight without a day off.  I worked without breaks and I was fired for complaining about work on twitter.  The Pantry is the worst company in the world.
bad,"the pay is horrible, the managers are incompetent and make up there on rules.  had to deal with a lot of drunk customers as well as rude customers.  not the safest place to work at night but local law enforcement was always close by in the vicinity"
bad,The last manager I had was a thief and no one believed me when I tried to tell the District Manager and Regional Manager. In the end he got caught and lost his job due to him stealing a lot of money from the company.
bad,The Pantry is a good place to work if cooking is your passion. The environment is stressful and somewhat unprofessional with the advice and training given.
bad,"The management staff were never on the same page. They often overworked employees with little to no appreciation. Some employees were treated with more respect than others. Also, racial slurs were never adequately disciplined."
bad,Company has good benefits but is bringing in college grads that no nothing about convenient store work and trying to let them run the districts. That is what cost them the company and forced them into selling to Circle K.
bad,Planned weekly circle time activities and assisted lead teacher with daily activities
bad,Contractor or employer misrepresented the job.  It was presented as IT but spend a lot of time doing paper work.  Company does 0 investing in its employees.
bad,"A customer cussed me out and I got fired for not apologizing, My manager let me go after I clocked in to work. It was the greatest day I remember at the job"
bad,"In this job I learned that, you have to smile regardless of how you feel."
bad,this job is great for students wanting extra cash
bad,While working at the pantry my role was just to ensure the dish area was clean. After six or eight months of working I was put on as a cook and my job was to keep area clean as possible while ensuring my orders got made correctly and quickly.
bad,"It's like being a bartender without the tips. Management ignores important issues regarding employee safety, and time-cards are changed without notice, or consent. When concerns are voiced, management and higher ups laugh at it, because they know we can't do anything about it if we expect to keep our jobs. I am currently actively looking for a position in almost any other field than this one."
bad,"I started as a dishwasher then busser, now a cook. Still being paid as a dishwasher. The restaurant is old and falling apart, managment is never there. The co-workers are great."
bad,"This is a hard fast paced job; that many people couldn't survive doing. The owners are not very kind to their female employees, and often times you are yelled at for things that are out of your control. The owner is also very bi-polar so the things he wants from one day to the next is always differing. An example is one day if you have a complaint for a customer they might tell you to discount their meal. Where a different day with the same complaint they might tell you to tell them to never come back into the restaurant again."
bad,"I worked the 2nd shift 3-11 in a dangerous, high crime area. I was robbed repeatedly towards the end of my employment and the management would not schedule a second person for my shift to make it safer even though my sales were high enough for management to do so. I was a hard worker and was never able to receive a raise more than 10 cents. However I did enjoy the work and my regular customers."
bad,Pay is rotten. Raises are pretty much non existent. Benefits were cut to minimum and cost twice as much. Management doesn't have a clue. Shifts are swinging shifts so you can't plan anything with your family. Overtime is non existent. Employee input or suggestions have no value. Certs will not help you because the systems are so old and out dated that most people have never used them. 
bad,I learned to work with a variety of cultures and people. The hardest part of the job was scheduling everyone to their timelines. The part I enjoyed most was working with customers and gaining their respect through excellent customer service.
bad,"I was hired at min wage and did not receive a raise until min wage was raised, very small kitchen  easy to clean hard part was trying to clean the end day list and clock out otherwise manger will be upset for hours."
bad,Job is made for people in their late teens or early twenties. Not a terrible job but not something for people that want something different or better in their lives
bad,There was not a written manual with rules so that rules could be changed frequently without any notice.  The job was very stressful and did not have good leadership.
bad,Could not keep employees or even get too many reliable employees.  Someone was always calling in so the manager (me) had to fill in at all hours of day or night.  It was very stressful and I couldn't plan my life.
bad,Low opportunity for advancement.  The company lacks internal communication throughout the organization as a whole.  There is a very low work life balance.
bad,"Fast paced, room for improvement. Pay level is inadequate for market, good place to meet different people. Not enough people on job to perform duties as needed. Learned Management skills by performing duties."
bad,"I love this job, but when it comes down to upper management all they see is numbers. When your numbers are good or even great you still don't get any respect. I worked there for 3 months as a manager and never got an assistant manager. They would allow me to occasionally borrow an assistant from another store so I could have a day off. I was told that the store was fully staffed before I took the job. There was many times that I had to cover 3rd and 1st back to back.   "
bad,Very unsafe job due to working alone at all times. The management is awful they are only out for themselves and that's not right.
bad,"Daily reconciliation, deposits, inventory, ordering, vendors."
bad,A typical day at The Pantry was ok. I've learned alot here because this was my first job upon graduating high school. The management is great and friendly. The co workers where great to get along with and help eachother out. The hardest part of the job was serving a busy line of customers during lunch hour.The most enjoyable part of the job was getting to know the customers.
bad,"The pantry was an okay job for me to get off my feet. The customers that I handled were all great, but the hours I had to work did not work with my schedule and the managers would not work with me."
bad,"I was the cashier and clean up guy!"
bad,Great company to work for. Benefits are great. Time off is great. Boss is great. Culture is great. No complaints from me none at all.  Work hard and see what happens..  Place is solid
