rating,review
bad,"This company only cares about the bottom line, they don't care about their people or their families. They don't care about family/work life balance. Especially in their aerospace facilities where their employees are grosly underpaid for working on airplane components. Upper management will tell you what you want to hear to avoid dealing with the issue. I was a tenured employee workedg way up thru the ranks and the constantly screwed me over at every turn.thru the ranks"
bad,"Company is filled with non graduates."
bad,"Parker hannifin Hiawatha iowa second shift weak lead and fail supervising ."
bad,"On a typical work day I performed maintenance on an inferior system"
bad,Being notified 2 days before the next work week that you no longer have a job is absolutely ridiculous. Production was super slow for 6 months or more and if they knew they were going to let people go they should have notified employees sooner.
bad,They are very unfair they treat there people like they don't care about them. Parker is a very bad place to work. I would never advise anybody to work for them they are very unfair. That was the worst place I ever worked.
bad,People try to backstab you constantly for their own gain. They expect you to work overtime. They take advantage of you and purposely don’t promote or sign on from their agency company unless you threaten to leave in some cases. Very toxic and drama work environment.
bad,Sink or swim culture. No direction from management. No advancement opportunities. If you aren't in a certain click you will not make it as a salary employee.
bad,"They hired people with engineering degrees from accredited Canadian universities to work in the assembly line and pay them with minimum wage. It says a lot about this company. There is no chance for advancement and they just make you work in the manufacturing facility despite your qualification."
bad,I really don't have a review this was a job through a temp service and the only reason they hired me was because I was a veteran. didn't really have a need for my experience
bad,I worked 8 months at a temp was told i would be hired after 3 months never happened. They brought in more temps then said they were over staffed and let me go.
bad,I didn’t get the proper training then put me on night shift. Then they let go because lack Of performance   I feel they set me up  fail  So no I wouldn’t recommend this job or place to anyone
bad,Will not recommend this job to anyone due to extremely poor management and this stress this causes on everyone. I highly recommend looking somewhere else first before applying here.
bad,If u are new u will not be respected no matter how hard u work the team leader will lie on u and they will not try to find out the truth u don't matter
bad,"Claim to be a family company, got denied taking one day off for funeral preparations for my grandmother. No proper directions to make work bearable. Absentee management."
bad,I would not recommend this company anybody this company has poor judgment character they laid off and 2014 mostly laid off all the good employees and kept the lazy ones but I guess that's what they value more lazy employees the plant manager likes to sleep around
bad,Bad place to work. manger of warehouse is rude and never there when needed.People work there have been there for a long time and they can not stand for new people to start
bad,They do not care about there workers the where all rude didn’t care about if the workers are hurt they lie about how long Saturday working in my training they said maybe 2 more months that was lie
bad,"Supervisor was a disaster, not being professional at all."
bad,"poor management had a lot of conflicting views, unsafe workplace no supervision no proper training no standards, not a clean working environment. very discouraging place."
