rating,review
bad,"Terrible company, you’re underpaid and overworked and they treat all employees poorly! High turnover rate, customers get frustrated because of the negative environment and lack of teamwork and positivity, if you are treated terrible by management no one cares not even the GM😔."
bad,"I had to go to school that’s why I quit but party city wasn’t bad at all good working environment pretty peaceful, so it’s not bad at all so if you looking to work go ahead"
bad,They dont care about you and most of the employees make fun of you for not knowing stuff. No training at all. They want you to know everything from start. They're sexiest making women work register and men in back. They wont allow men up front because we dont attract customers.
bad,Fun place to work friendly co-workers very busy during the holidays especially during Halloween if you like hosting or throwing parties it's nice to see the new stuff
bad,"It was definitely a good old boys club in Senior Leadership  "
bad,"From my first day to my last, management road me. i have over 27 years experience and management there had less than 10... due to their lack of experience they have made bad choices with design, applications and infrastructure.. When i pointed out all these holes in design and security I was forced out... Never work for a retail company! standards and security mean nothing to them its all about profits not the employees..."
bad,This job sucks terrible pay and no hours would not recommend this job to anyone because u can move up To a lead position and only make 1 $extra like that is horrible
bad,this was a great after school job. it is great if you are looking for something while in school. I would not suggest trying to live off of the hourly rate.
bad,Company expects things to be done  but does not give enough manpower to compete task. They don't  care about the employees just their bonus. Upper management have their clicks
bad,"It was my first job, great for high school grads with no work experience. It will make you a better person and you will not become a shopzilla wanting to see everyone's manager. Get in and get out. You're a number not a person to the company."
bad,"If you want a manager that doesn’t care about your flexibility or you at all, then work here. We dont get paid enough to deal with the customers there  they are a whole different breed"
bad,Highly toxic environment. Not worth the pay or the stress. Health care is horrible and expensive. Cashiers are lucky to get 20hrs/week at minimum wage during non-peak seasons (so outside October).
bad,"They are very unorganized, they care for the customers I worked there during Halloween worst job ever they want all employees to clean up the whole store every night knowing it’s only 7 of us"
bad,Don’t know about other locations but the St. Clairsville one should be avoided at all costs. The store manager does not do their job but expects everyone else to do their jobs to the max. The district management and HR lets them get away with everything as they have been reported on numerous occasions and nothing has been done.
bad,1 day work week hrs and management very bad store is bad place to work. Store is never clean don't no work hrs bad place if u looking to live off of management gets all the hrs while associate get non at all unfair place to work
bad,Party City does not care about it's employees. Often times you wonder how the managers made it so far into the company. Corporate hires everyone from failed company's to run stores and they expect them to keep this company afloat. It's terrible.
bad,"Working there sucks.  they are closing no point in applying or having any future with the company, don't listen to employees. I only work there to help my friend"
bad,"No matter how hard I worked, or how good I was with customers it was never enough. Doing everything to get a promotion and doing all the right things got me nowhere. I wasted an entire year of my life there."
bad,I was general manager. I had very poor upper management no. work between 15 to 18 hrs per day for 28+ days long! Until I was injured no workers comp!!
bad,Corporate makes this company unbearable to work for with their unrealistic expectations of employees. They’d cut hours and still expect us to get an unreasonable amount of work done in an unrealistic time frame with one associate and manager. I like who I work with just not the Dm and up in the company. They don’t know what working in their stores is really like to set the goals they make for us.
bad,"Recieved hateful comments about my disabilities, wasn't properly trained, when told to stay at regrister even when slow I was called ""retarted"" & they told me they were going to fire me if I didnt ""pick up the pace"". Each store is different & the managers aren't the same, but the Party City on Dixie Highway was unacceptable."
bad,"Unfortunately the senior leadership had no idea how to run an effective retail company."
bad,"This is a terribly run company. Poor management, no common sense. They promote people with no experience nor do they actually train anyone. Hours and pay are awful. A total mess."
bad,"Manager at party city. nothing really bad to say, it was a J.O.B. "
bad,"While working here for over three years, stayed full time, stayed at eight dollars a hour. Would not recommend anyone to work here. This place is a joke."
bad,"I really did not enjoy working there, it was super boring and frustrating dealing with the management. I would not recommend working here because eventually they will go out of business."
bad,Treats their employees horribly. Screws up pay all the time!!!!! Takes off breaks off pay but don’t let you take breaks! Management is ridiculous and does not care about their employee.
bad,i personally didnt like my job experience the managers were very rude and act as i i was a child and i personally didnt appreciate it not onr bit ill never work there again
bad,The Management team doesn’t do anything when there is a problem going on in store. There are multiple things that could change to make Party City a better corporation.
