rating,review
bad,I wouldn't work form them if they were the late company on Earth. If you don't get paid enough they don't even worry about you. They say they give raise but IV never seen it. They don't fallow o.s.a regulation and they cry if they get there feeling hurts. All around bad company
bad,"For an experienced roughneck would have to be your last option, management cares nothing about the boots on the ground !!! The guys and gals in the field is what makes and breaks a company and when you sht  can em left and right your no better than the mom and pops company’s who pay minimum wage"
bad,"No room for growth and advancement. Good-ole-boy culture still exists and management doesn't try to change it. If you want an opportunity to start on the ground floor and move up, it's worth it."
bad,"Discrimination,racism,unsafe practices and if you say anything about it they get together cover it up and put Are you in a hostile work environment and hassle you until your run off"
bad,"This company is hard to work for and be satisfied. The only workers who seemed happy were mid level managers who never left the office. They are willing to sacrifice safety and well being in almost every aspect.To be fair, their aquisition company was a different corporation."
bad,This is a very dangerous place to work. Would not recommend anybody to work for this company. Patterson-UTI management are very disrespectful to you. Bad place to work
bad,"Constantly berated on job performance . Constant screaming and hollering from supervisors regardless of skill level. Attitudes changed when upline supervisors on floor or of in ear shot  all out terrible company to work for, ........................................................"
bad,"This by far was one of the hardest jobs I have ever had.  The pay and benefits were great, however, the traveling and hours are long.  You would work 12 to 13 days for two weeks, then have two weeks off, that was nice as times."
bad,Terrible dishonest place to work  filed bankruptcy shorted a lot of their employees out of pay just a terrible place to work fired people no reason brought people in from out of state worst place I've ever worked
bad,was a good place to work great benefits and good work hours. had a lot of overtime to offer its employees and had great benefits for their employees. great place to work
bad,"Poor living conditions, the mancamps are dumps. Extremely poor upper management, treat you like garbage unless your one of their buddies that they got jobs."
bad,"My typical day at work at  was to stay safe."
bad,"Poor management, poor crew running, safety of crew wasn't good. Bad company the sold out real quick after I started working for them."
bad,I liked this company at girst but later in my career I would come to see the poor management and unfair treatment of employees. Hiring friends for advancement before eligible employees that deserve it.
bad,"After being an employee for 6 years, I got laid off when the oilfield crashed form one day to the next and without any benefits"
