rating,review
bad,"I accepted what was to be a part-time afternoon position in administration ?n in the past year.  My co-worker (or my on-site micro-manager) was my trainer, etc.  "
bad,Don’t do it they don’t appreciate employees they will let you die and leave you at your desk waiting for the police  they really did this nothing shows how you care if your working next to someone who is dead
bad,"This is my OPINION having worked for them for quite some time: Paychex is filled with disingenuous people. Coworkers care only about themselves and no one is your friend. Management in Talent Acquisition, where I worked is pathetic. If you are young and female you will receive preferential treatment, as all of management except the director is female. Management, as they all often do, think they know more than the employees, but in reality, they only got to management status because of the the ""good old girl"" syndrome. They are proficient liars and will throw you under the bus if given an opportunity. You will never be appreciated unless you are with the ""in-crowd"". They profess culture and values then treat people as disposable. Am I angry at the way I was treated, you bet! But from my perspective, this is the absolute truth. Watch you back in HR and Talent Acquisition."
bad,"Very poor salary and commission structure. "
bad,"You are obligated to participate in things you don't agree with; baby showers for people you don't know. There is a cult atmosphere. Either you are one of THEM or an outcast. Very unfriendly managers. This was in the Allentown, PA office. Do not judge all branches by one bad team. I learned a lot working for them the 2 week schooling in NY was very beneficial."
bad,"Leadership is a joke which is why we have so many people quit. In this place it’s all about playing the game. Work life balance is preached but not lived by my husband is very ill and I have to chose between him and the job right now, unfortunately because he has a brain issue and I need the insurance I am forced to keep this job"
bad,"I had a death n my family was off for 90 days returned to 371 clients,  when you ask for help you get wrote up. Some days I worked from 6am until 8pm never got a raise or bonus. Management is  very rude and condescending, the take care of each other not the employees that's why turn over rate is SO HIGH"
bad,"HIGH turn over rate! Managers don't know what they are doing. Sure they give you lunch every now and then, but when you're weighed down with 100+ clients, lunch doesn't mean anything. I had heard so many great things about the company, and then I started working there. BIGGEST MISTAKE OF MY LIFE! Supervisors don't know anything, but apparently they ""put out our fires all day."" Family oriented is a bunch of BS. They don't care about your family or any emergencies, they expect you to be at work 8-10 hrs per day. Your clients are your life... Do yourself a favor and DO NOT APPLY HERE. The compensation sounds nice, but for all the work you have to do, IT ISN'T WORTH IT! "
bad,Horrible company that loses customers often because they can't consistently deliver good customer service.  Regardless of which department you're working in you'll have to constantly put out fires caused by incompetent employees and managers.  The company's biggest competitor is much better to work for and I'd recommend that company if you want to work in payroll services.
bad,"If you're not one of the ""favorites"", don't expect to get a fair shot of pay increase, promotion, nothing. I was a contracted employee training new hires for 10 months that I was there and did not get offered a full time position with benefits during my 12 month experience being employed. I didn't receive any pays compensation for being a ""new-hire"" trainer and supervisors assistant, performing duties OUTSIDE the job description applied. "
bad,"very stodgy and old fashioned, far too buttoned up for present day office life.  the pay was quite poor too, i'd recommend looking elsewhere unless it's your first job out of college like mine"
bad,"extremely overloaded with accounts, extremely hostile and stressfull environment. Favortism everywhere, trainings over time have dropped and management doesn't care."
bad,This company is based strictly on favoritism and who is friends with supervisors. The protocols and procedures are not followed through carefully for the job safety of the employee. Very poor management skills from supervisor. If a supervisor sees you perform in better than them they fire you. Instead of lifting you and congratulating you they become enemies and team up with others to push you out. Do not apply
bad,"There are some great managers and some terrible, just like summer camp as a kid.  Just don't get stuck with a bad counselor."
bad,I would not recommend working at Paychex to anyone. I spent eight years working at this company and they provided no resources or efforts from management to help me advance in my career with Paychex.
bad,"The entire culture was prejudiced against individuals with disabilities. I returned to the office after a traumatic brain injury and was treated poorly by management until I was finally terminated."
bad,The department I worked in was stressful and high paced with little to no pay off. I also feel the management team did not have the best interest of the employees in mind
bad,"Very unprofessional. Makes staff work without breaks. Inappropriate discussions and inappropriate touching, and once you say something they will terminate you."
bad,Racist company unless your white then your ok racist racist racist Ummm more racist they over work you just horrible experience overall so yeah they're racist
bad,"Supervisors will never assist and will throw you under the bus. Lots of management favoritism. Crazy work load with no help. If you ask for help you get no relief. You are expected to work quickly on time and to each clients expectation with no mistakes even if you have multiple appointments at one time or a large work load. "
bad,In the interview they lie and tell you that you will get a raise after you complete each step to your training and that that the training can be completed every 2 weeks but yet the supervisors will not schedule you for the training unless you pretty much beg them. The workload is more than the compensation provided. You will be told in the interview that you will be dealing with clients that have 50 employees or less with 60% of your clients have well over 100 employees. The supervisors pick and choose who they want to help. You are suppose to meet with your supervisor once a week for a one on one to discuss you stats and I can tell you I have been with the company about 9 months and have had two one on ones but I have never seen my surveys and can't tell you what my stats are like because my supervisor has never provided them to me after asking for them several times. I think this company is a waste of time and the turn over is extremely high. Instead of promoting from within where they have senior specialists who have been here for 3 plus years they are hiring supervisors with less than 6 months of payroll experience that haven't even became senior specialists. This place is a joke there is no moral and the worst place to work.
bad,A typical day consist of monitoring and distributing payroll to company's all over New England. Along with providing excellent customer service.
bad,"The job at Paychex was horrendous to say the least. The workload is heavy, the pay is low, and management morale cease to exist. The location in Baton Rouge is operated by a small minded Manager and she leads the office with not so smart Supervisors. In the interview they sell you a dream and then you enter the job and receive less than basic employment. A raise is hard to attain and they are prejudice to whom they assist in making the job a great place to work. It is a glorified Call Center."
bad,"Given too many responsibilities with no training or support from management."
bad,"Expect to cold call 50 business' a day (B2B) and call 300 companies to try and set appointments.  It is like selling ice to an Eskimo.  Their product is identical to competing companies.  Its very difficult to find companies that want to change payroll companies because it is very involved, lots of data, and lots of personal information like Social Security code.  Management is a nightmare. I had the worst manager and he no longer works there.  He was hostile, unprofessional, inappropriate, and sexually harassed the few women who worked there.  Corporate is very different that satellite locations."
bad,"My experience was unfavorable. Management was unethical and horrendous in my department. I gave 110% along with some and it was not valued! So I can only imagine other departments had the same culture and values as they say, what a joke!  "
bad,"I would never work at this company again. Coming from the military and airport, i was used to having jobs that felt like a family. To my suprise as paychex is such a refutable company it is nothing short of the opposite. Paychex has established a cut throat culture and managed to reward said individuals partaking in these actions. Run by poor management, this company is on the decline and the turnover rate is reflective of just that."
bad,if you enjoy high levels of stress and little compensation this would be perfect for you.  Little to no growth with this company based on favoritism.
bad,Your day never ends and deal with people's money is very stressful. A typical day begins with a Paychex meeting or viewing your email. Next you are visiting CPA's and /or on appointments schedule. Sale force is a daily activity.
bad,"This place is great for a recent college grad who needs to start somewhere and get something on their resume. However, if you are looking for a career and upward mobility, this is not the place for you. Low salary (and it never goes up, unless you get a promotion, which is very very rare due to the structure set in place.) There is no work/life balance. You are basically out in the field from 8-5 (not including the amount of time you are in traffic. Depending on where your territory is, you could be leaving the house as early as 6:30 and not getting home until 7PM. Culture is horrible. There is no collaboration or teamwork. Reps are always disputing over accounts and leads, managers have favorites and switch leads in the system. Very unprofessional and (for lack of a better word) shady practices. If you're desperate for a job and need to put something on the resume, put in your time here and then move on to bigger and better things. It is very hard work, for low pay (if you compare to other companies in the same field and same job requirements.)"
bad,Fast Paced like any other job. Monday through Friday 8-5. hour lunch.
bad,The rate of turnover at Paychex is very high. Many of the glowing reviews here read as if they have been submitted by firms contracted to bolster Paychex's very negative image throughout many markets.
bad,"I worked for Paychex for almost 5 years and not only hated every single minute of it, but I am not literally worse off for it.  I cannot get a job within the HR field because Paychex is not really and HR company.  They are IT based.  The concept is one of an administrative assembly line, the culture is backstabbing, negative, and one that rewards all of the wrong behaviors.  Worst employer I have ever had."
bad,"It's simple: Bad from the top down. ""Big brother"" dictates how management exploits and abuses employees, and management happily obliges. It's like spinning in a hamster wheel being watched by a cruel dictator. My manager was actually overheard saying, ""we need more staff with strong backs and weak minds"" about my Payroll Specialist position, apparently due to the fact that we have to be chained to our chairs for up to 15 hours a day. Now here's the thing, being that Paychex is politically positioned to squash any negative feedback, I'm SURE this review won't be published. However, eventually Paychex will be exposed as the den of abuse that it actually is. All you businesses out there, go to a competitor if you want service! Do yourself a favor!!"
bad,"Paychex seemed like the ideal job for me i went through a very long hiring Process 3 interviews in 4 months. The environment was very tense because the staff that was there had been there for many years so everyone was very familiar with each other, so when i came in it was like don't speak to the new Employee....I took it upon myself to be nice and introduce myself to everyone and that turned out OK. The managers were Very unorganized one manger was informed about something but the other two weren't,that caused it to be very frustrating some days,The top Boss was VERY RUDE EVERYDAY she would never speak, walk right pass you in the hall and throw her nose up as if she were better than the staff.She was very unprofessional many days you could hear her screaming to the top of her lungs which was supposed to be a private conversation with her son about a electric bill at a pool hall which had nothing to do with Paychex! but she seemed to not care and we heard the whole convo..The distribution specialist worked with very big, loud and dangerous mail machines but on more than one occasion one of the workers was allowed to bring her son to work and he would run around as if he were home which i thought was very dangerous.The receptionist would walk around the office barefoot and spent more time in the managers office than at her front desk! and if you put anything in the employee refrigerator if you did not mark it with your name do not expect it to be there the next day there was an office food thief which was so annoying like who just steals peoples food.Overall it would have been"
bad,"The company's work model is outdated as with most product offerings. Thus, making the goal of becoming a multi-billion dollar company within two-three years unattainable, unrealistic, and primarily the responsibility of the client facing employees. In addition, the upper-level management is very disconnected from the lower-level employees. Most supervisors and managers here suffer from a lack of experience and subsequently, the suboordinate also suffer from the lack of guidance. There is no understanding of the job roles and what it takes to be successful in it. If there were, then the pay and benefits would be better. The one and only enjoyable part of this job is speaking to your clients on a day-to-day basis and continuing to cultivate those business relationships. It's by far, the most rewarding feeling ever. Once Paychex realizes how much significance the lower-level employees contribution is to the company, work life here will be better."
bad,"I literally walked out and quit yesterday after being there 4 years. In Operations you will receive inadequate training, be underpaid, little guidance by mgmt. team, and impossible workloads. It's helpful for knowledge only because you basically have to teach yourself everything. It's helpful for resumes and experience history. Beyond that it's a waste of your time and not very much room for advancement. The technology is old and constant technical issues. I would not recommend."
bad,"As others stated its not a good fit for true HR professionals. Its all about numbers and revenue, not truly concerned for the clients. Caseloads are ridiculous and unmanageable. Managers are micromanagers. Departments are disconnected, setting unrealistic goals. NO work/life balance. Have to work long hours to manage caseloads. Left a bad taste."
bad,This company was very limited in creating an environment to excel. It was a part-time position which was not enough to provide for a family with.
bad,"I was so glad to have gotten this job....at first. They boast opportunity for advancement and competitive wages. What they do not tell you is that you have to complete tedious coursework to get the raises, and they do not give you time to complete the work on the clock and you cannot do it off the clock. So, those raises are basically unattainable. I experienced many prejudices with this company as well. After 8 months of employment, they started to enforce an attendance policy that was NEVER discussed, and reprimanded me for not completing my tasks which I requested my supervisors help with for WEEKS and did not receive. After realizing that management was incompetent and could not provide the support, I got tired of constantly letting my customers down and looking like a fool bc I was being led by fools. I just left. BEST DECISION EVER !!!"
bad,"Low pay,supervisors cared how to please upper management only.If somebody didn't do their job,it was ok with a supervisor! "
bad,"I worked at a branch with a manager who was rarely in the office. A supervisor who was so micromanaging that she would stand behind you while on a call and talk over you. The pay isn't competitive at all for the work you do, and the entire company basically treats payroll specialists like they are the lowest of the low. I quit as soon as I could."
bad,"The only department that makes money at this company is in sales. The other departments are paid very low, the raises are a joke, people leave and they will not hire another person to fill their role, the moral is very low and depressing, managers are across the state so, you cannot meet with your manager face to face and there is no human resources available unless you contact their headquarters in New York."
bad,The best advice run as far as you can from this company.  It’s not what you know but who you know culture.  Usually the managers are nothing but a sham.  They put you thru a stressful hiring process. Then they send you away to training. To bring you back and start the cat and mouse game with the manager .
bad,Do not work here!  No work life balance and upper management just purely numbers driven. Claims to be ethical and act with integrity but they are far from that.
bad,"After working for Paychex I am glad to have experienced a role in corporate America. I was excited when I initially got the job because they are a large local employer and pillar of the community. After arriving in the office I realized that it was an educationally diverse landscape. I went through training and got along with people there and was exciting for actually doing the job. After the overextended and barely effective training program, I was placed on the floor and in a team. This was great a sense of camaraderie and feeling like I belonged to something. This was the exact opposite. The people on my team weren't as forward thinking as I am. Clearly not as motivated as I either. Eventually, some people were hired after me. These people were nice and I trained three of them closely. The people before me spent more time making fun of me than training me. I was happy to provide a good route for the people after me. I was not paid or truly recognized for my time spent training. Most of the conversations I heard revolved around gossip, drama, or entitlement. This is what after 9 months lead me to leave. I am fortunate to say that after leaving and taking a lower paying job my general level of satisfaction with life drastically improved and now I am on the best path that I could be on. Thanks Paychex for not leading me on to the guise of corporate America."
bad,"Stressful environment, overwork yourself to only be told that a clients payroll was messed up. No respect given by managers or clients. High turnover."
