rating,review
bad,"This company was previously known as united supply. We were top dog in our area for industrial Equipment supplies. Then Pepco came in, and it really feels like it’s falling apart"
bad,"When I first arrived I wasnt given hardly any training but was expected to know my job responsibilities (which are many) at the very onset. "
bad,Management is horrible. They speak of a culture that they dont follow. No meetings to resolve problems only individual  discipline for things that the group cant resolve.  Age discrimination is prevalent. The company will fire people who have been hospitalized and have Dr notes and they get sued often with no change.  Horrible company.  It is hard to transfer and as a temp you work for years and they never hire you.
bad,Management wants one thing but have never done it themselves.  When you submit something then they say it is wrong.  Managers will say in one on ones that they will help develop an individual but never do.  The individual is then blamed and marked against them in their review.
bad,Manager that run department have no to little time in the field experience. Take 8 year to become a A splicer.  They will move a 2 year man to Forman.
bad,"I did not like working here at all. What I experienced was that there was zero room for creativity or growth within a position. So what you are doing today, you might be doing for 20 years.Competition for other jobs is numerically rated and very difficult. The place is tightly controlled in every way I can think of. Like many corporations, the rich get richer... A LOT."
bad,"The minimum working hour per week is 48 hours and 56 hours for closing week each month."
bad,"Be prepared to work mandatory overtime but thanks to the union the pay is VERY GOOD. If you are a single mom THIS JOB WILL BE DIFFICULT because there's mandatory OT, and if your late more than 3 times your first year your fired. During my time to many family members being hired including the mother-in-law of a call center manager, and 2 - 3 other kids of other employees. Stay low for your first year to get Union Protection. Current management were once union employees and no the system very well."
bad,"Customers are upset when they get to you because they have been on hold for over an hour..the phone system could not understand what the customer is saying..the phone system is not set up to route the customer to the appropriate department."
bad,"Not your average call center"
bad,Helping customers with their bills and taking payments and helping them with saving programs
bad,"Typical call center environment but lacking diversity and work/life balance opportunities, as well as advancement opportunites."
bad,Has been a decent place to work.  Has great dental and vision benefits.  Currently employed and choose not to offer any further comments at this time.
bad,"Pepco Pays and the work is no walk in the park But the environment is very stressful. There is a lot of drama, the employees are hateful and rude along with the managers and the Reps are RUDE to customers.. No amount of money will allow me to work at such hateful,stressful, place again!"
bad,"started out answering phone, changed to online orders. People will lie, was good, my supervisor was nice, customers, going home"
bad,Employees and the public are often mislead as to the operations of the companies. Raises and compensation are limited for employees while management receives HUGE bonuses and then claims they are simply following the industry standards. Corporate bureaucracy limits the ability to quickly and effectively complete tasks and assignments prompting negative reviews from managers who are undereducated and out of touch with the industry. 
bad,"Need to focus more on the employee(s) work verses personal life, too much cattiness. Poor management, choose favorites over hardworking employees but over all a great place to work to move ahead with the right people behind you."
bad,"As a project team, we were tasked with helping to stand up the cyber security compliance program. The team was great."
good,Lay offs happen quickly. The overtime that is required sometimes interferes with other life activities.
good,Good place to work if you wanna make money. Didn’t really have a life/work balance. Worked there for ten years a lot of good times. If I had to come to work and just do that it would’ve been perfect. A lot of politics though and discrimination. I can only speak for the underground dept.
good,Great place to work until the Exelon merger. Good company to work for! Good benefits. Good vacation time. Good pay. Hope you make friends with the HR lady.
good,"I coveted this job.So when I got hired I was excited. However mangement which is mainly women is very ""katty"" they have their favorites and the best man for the job never trumps seniority. Also you go from probationary temp to probationary perm to a perm position....very long periods without job security"
good,"There's a lot that this company can learn about Agile methodology, hiring standards, and salary requirements.  The pending merger may help the management of information and technology."
good,"Changing programs, Busy days - Staff tunover, department constant changes."
good,"In many respects, PHI is behind the times. In terms of technology, communication and processes, the company needs a great deal of work. Job security is the best thing that PHI offers. If you come to work, perform your job, meet the company standards and requirements, you will have a job for as long as you would like."
good,The training department is not organized and there aren't enough opportunities for advancement. The manager seems overwhelmed and doesn't pay enough attention to the needs of the employees.
good,"Very Busy place of employment.  Easily accessible from subway, bus or public transit.  Near restaurants, hotels, entertainment and shopping.  Company should offer discount parking to temporary employees."
good,A typical day at work consisted of me sitting in my cubicle inputting data. While at PHI Holdings I became more proficient with Microsoft Office and I learned how to navigate different software programs like SAP and Oracle. Management was very loose in how they oversaw subordinates so unfortunately there was a lot of workplace gossip. This sometimes led to work not getting done and having to work in that environment everyday was honestly the hardest part of the job.  When work got behind management would simply schedule the whole department for mandetory overtime. When I left there employees were working 60 hour workweeks indefinitely. That is terrible if you have a family or care to have any kind of work /life balance. The work was straight forward for the most part after you learn how to do it.....maybe even a little redundant.  The building I worked in is in downtown DC and this along with the competitive pay were the most enjoyable parts of the job.
good,A stable place to work with good benefits. Some unionized positions
good,"Contractors dream job, able to work from home. "
