rating,review
bad,"Horrible company. Poor management. Not concerned with making ALL employees do their share of work. Your future depends on how much upper management likes you as a friend, not your work abilities. ""Team"" atmosphere does not exist. They will single out who they like, then put those person's work on the backs of the actual good workers. Long hours and nothing to show for it."
bad,The job is awful treat u very unfair tried hard.and noone even cares the say if u put in a w weeks ur fired unfair awful job awful management as well didn't get trained nothing
bad,"If you want to be used and abused PepsiCo is the place to work. I was in a contractual seasonal summer help warehouse position. They were telling us all that they would hire-in people that did a good job at the end of the summer. While Union employees in the warehouse were contractually obligated to work until the work was done, the summer seasonal contract was for 40/hrs week. But, they would pressure you and hold over your head if didn’t want to work more than 8hrs that you wouldn’t get hired in at the end of the summer. You would regularly work 70/hr work weeks and constantly be scrutinized for your work pace although you were out-working 90% of the union employees. And as summer help we were treated like second class citizens."
bad,"Leadership is consumed with form over substance, but the emperor has no clothes and even the form is terrible.  ""Transformation"" and other buzz words run amuck but just mean cost savings, with no one actually interested in doing things correctly.  The company has lost focus of its chips and soda cash cow and is consumed with diversity-inclusion-social-justice-rainbow pursuits."
bad,The managers could made the alot easier but just decided not to and let you struggle. No consistency when it comes to running the warehouse slot people got away with slot and others didn't.
bad,Worst place ever. Unless you like unfaithful people and slackers who dont care. They smoke weed weed and sleep with each other. This union is not strong backstabbers galore.
bad,"They have Horrible management "
bad,Terrible management who bend the rules to suit them. Very biased and only let their friends progress even if they are not skilled for the job. The workers are great but as per management destroy the place
bad,"They will get rid of you the first chance they get. You wont get raises and room for advancement is ""lateral"" promotions."
bad,"You will not be paid even remotely enough for as hard as you will be working. The risk of physical injury is HIGH to keep up with unrealistic demands. Poor management over the merchandisers at this location because they admittedly were using their position only as a stepping stone to get to a higher position and don't care about their employees that do the physical labor, you are never appreciated for your hard work. You may work as hard as everyone else but never be valued or even seen as an equal.You may work 8-14 hours and never have time for a lunch break. Part-timers get paid less than the full-timers for doing the same work and often working the same amount of hours but not technically considered full time even if working full time so you don't get benefits or the extra $4 an hour that the fulltimers get. You risk physical injury every day to get things done as quickly as possible, everything has to be PERFECT, if you miss one item out of the 10 pallets you are stocking you will get chewed out by multiple bosses. I worked hard and enjoyed the physical labor but not for what I was getting paid, I sometimes worked 14 hour days to get multiples stores with many pallets stocked, including the drive time. Never knew when I would be off work."
