rating,review
bad,"was a great Place to work, but when I had a family emergency back home in North Carolina I lost my Job for being gone to long when I kept her up to Date."
bad,"If you want to work a ton of hours and make good money doing it...become an operator. "
bad,Always short on my checks and never got reimbursement. Never received w2s or tax statements. Caught manager stealing cash multiple times. Work foreigners 80+ hours a week
bad,"As the years progressed the job and management decayed to the point that nobody could stand each other( management vs. hourly ) to the point that 99% of the workforce is retiring or getting out of that place at the earliest possible time,no matter the sacrifice.Sad situation indeed."
bad,Most people who were there honestly did not enjoy their day. The work is very redundant so it is a bit hard to enjoy the work day. It's mostly packaging and making sure the machines are doing their job.
bad,"My experience at Philip 66 helped me gain experience in public services but the overall experience was dissatisfying.  At typical day at work mainly consisted of handling two resisters at the same time while trying to assist customers in their purchases of our merchandise as well as alcohol and tobacco products.  My coworkers only helped with the day's work when it was convenient for them and were never disciplined in doing so.  Overtime, I began to notice that I stayed at a constant salary of 7.25 per hour without a raise and I never moved up from my position as a cashier.  Shortly thereafter, my manager began to give me somewhat of an unstable schedule.  Some work weeks consisted of my worked less than 17 hours in a week, and others consisted of a maximum 33 hours of work all while I was attending college when I specifically required a minimum of 20 hours and maximum 25 hours per work week.  In conclusion, my overall experience at at Philip 66 was relatively disappointing."
bad,The management says he hired for his convenience and doesn’t care if you have plans or not you work so he can have a life.  If someone doesn’t show you stay
bad,I would only suggest working for Phillips 66 if there were no other job opportunities available. The work environment at the store where I was employed was very unprofessional. There was also a lack of adequate pay for the duties performed. I felt very under appreciated.
bad,"a regular day at phillips 66 was a calllout or no show, we had to work constantly because we cared about our manager mike kelly who worked sometimes 85 hours a week for nothing, when the promoted an immature co worker to assistant manager was even worse.....she could barely understand english and couldnt understand the paper work so the store was a mess basically everyday."
bad,The owner did not provide a reasonable salary or a good work environment. Fellow employees stole from the store and the owner knew and continued to let it happen. He let the decent employees pick up the slack of the bad ones and treated his good employees poorly.
bad,I hated working in a gas station that allowed drunks to walk in and harass you of all hours of the night and also was very dirty and did not care about there employees
bad,"Fast paced environment many different racial backgrounds. Management never available. Pay was minimum. Only good thing was customer relationships that you would build and become friends."
